,xg,yg,halfdyup,halfdylow
0,212.81531999999999,248.43337316245018,7,7
1,213.81531999999999,248.44230786405473,7,7
2,214.81531999999999,248.45124256565924,7,7
3,215.81531999999999,248.46017726726376,7,7
4,216.81531999999999,248.46911196886828,7,7
5,217.81531999999999,248.4780466704728,7,7
6,218.81531999999999,248.48698137207734,7,7
7,219.81531999999999,248.49591607368185,7,7
8,220.81531999999999,248.50485077528637,7,7
9,221.81531999999999,248.5137854768909,7,7
10,222.81531999999999,248.52272017849543,7,7
11,223.81531999999999,248.53165488009995,7,7
12,224.81531999999999,248.54058958170447,7,7
13,225.81531999999999,248.54952428330898,7,7
14,226.81531999999999,248.5584589849135,7,7
15,227.81531999999999,248.56739368651805,7,7
16,228.81531999999999,248.57632838812256,7,7
17,229.81531999999999,248.58526308972708,7,7
18,230.81531999999999,248.5941977913316,7,7
19,231.81531999999999,248.6031324929361,7,7
20,232.81531999999999,248.61206719454066,7,7
21,233.81531999999999,248.62100189614517,7,7
22,234.81531999999999,248.6299365977497,7,7
23,235.81531999999999,248.6388712993542,7,7
24,236.81531999999999,248.64780600095872,7,7
25,237.81531999999999,248.65674070256327,7,7
26,238.81531999999999,248.66567540416779,7,7
27,239.81531999999999,248.6746101057723,7,7
28,240.81531999999999,248.68354480737682,7,7
29,241.81531999999999,248.69247950898134,7,7
30,242.81531999999999,248.70141421058588,7,7
31,243.81531999999999,248.7103489121904,7,7
32,244.81531999999999,248.71928361379491,7,7
33,245.81531999999999,248.72821831539943,7,7
34,246.81531999999999,248.73715301700398,7,7
35,247.81531999999999,248.7460877186085,7,7
36,248.81531999999999,248.755022420213,7,7
37,249.81531999999999,248.76395712181753,7,7
38,250.81531999999999,248.77289182342204,7,7
39,251.81531999999999,248.7818265250266,7,7
40,252.81531999999999,248.7907612266311,7,7
41,253.81531999999999,248.79969592823562,7,7
42,254.81531999999999,248.80863062984014,7,7
43,255.81531999999999,248.81756533144465,7,7
44,256.81532,248.8265000330492,7,7
45,257.81532,248.83543473465372,7,7
46,258.81532,248.84436943625823,7,7
47,259.81532,248.85330413786275,7,7
48,260.81532,248.86223883946727,7,7
49,261.81532,248.8711735410718,7,7
50,262.81532,248.88010824267633,7,7
51,263.81532,248.88904294428085,7,7
52,264.81532,248.89797764588536,7,7
53,265.81532,248.9069123474899,7,7
54,266.81532,248.91584704909442,7,7
55,267.81532,248.92478175069894,7,7
56,268.81532,248.93371645230346,7,7
57,269.81532,248.94265115390797,7,7
58,270.81532,248.95158585551252,7,7
59,271.81532,248.96052055711704,7,7
60,272.81532,248.96945525872155,7,7
61,273.81532,248.97838996032607,7,7
62,274.81532,248.9873246619306,7,7
63,275.81532,248.99625936353513,7,7
64,276.81532,249.00519406513965,7,7
65,277.81532,249.01412876674416,7,7
66,278.81532,249.02306346834868,7,7
67,279.81532,249.0319981699532,7,7
68,280.81532,249.04093287155774,7,7
69,281.81532,249.04986757316226,7,7
70,282.81532,249.05880227476678,7,7
71,283.81532,249.0677369763713,7,7
72,284.81532,249.0766716779758,7,7
73,285.81532,249.08560637958035,7,7
74,286.81532,249.09454108118487,7,7
75,287.81532,249.1034757827894,7,7
76,288.81532,249.1124104843939,7,7
77,289.81532,249.12134518599845,7,7
78,290.81532,249.13027988760297,7,7
79,291.81532,249.13921458920748,7,7
80,292.81532,249.148149290812,7,7
81,293.81532,249.15708399241652,7,7
82,294.81532,249.16601869402106,7,7
83,295.81532,249.17495339562558,7,7
84,296.81532,249.1838880972301,7,7
85,297.81532,249.1928227988346,7,7
86,298.81532,249.20175750043913,7,7
