,xyref,xgbound,dydx,dldp,xh,yh,ww
0,347.6173546093886,20,0.9266774992916749,8984.897337727913,20,1.110718104588265,9920.16442596701
1,549.2294353906113,195,0.009202030264829512,46.76137463896402,21,1.1199201348530947,9966.927780378965
2,,,,,22.0,1.1291221651179242,10013.691134790919
3,,,,,23.0,1.1383241953827536,10060.454489202875
4,,,,,24.0,1.147526225647583,10107.21784361483
5,,,,,25.0,1.1567282559124128,10153.981198026784
6,,,,,26.0,1.1659302861772423,10200.74455243874
7,,,,,27.0,1.1751323164420717,10247.507906850695
8,,,,,28.0,1.1843343467069012,10294.27126126265
9,,,,,29.0,1.1935363769717307,10341.034615674604
10,,,,,30.0,1.2027384072365601,10387.797970086558
11,,,,,31.0,1.2119404375013898,10434.561324498514
12,,,,,32.0,1.2211424677662193,10481.324678910469
13,,,,,33.0,1.2303444980310487,10528.088033322423
14,,,,,34.0,1.2395465282958784,10574.85138773438
15,,,,,35.0,1.2487485585607079,10621.614742146334
16,,,,,36.0,1.2579505888255373,10668.378096558288
17,,,,,37.0,1.2671526190903668,10715.141450970243
18,,,,,38.0,1.2763546493551963,10761.904805382197
19,,,,,39.0,1.2855566796200257,10808.668159794153
20,,,,,40.0,1.2947587098848554,10855.431514206108
21,,,,,41.0,1.3039607401496849,10902.194868618062
22,,,,,42.0,1.3131627704145143,10948.958223030017
23,,,,,43.0,1.322364800679344,10995.721577441973
24,,,,,44.0,1.3315668309441735,11042.484931853927
25,,,,,45.0,1.340768861209003,11089.248286265882
26,,,,,46.0,1.3499708914738324,11136.011640677836
27,,,,,47.0,1.3591729217386619,11182.774995089792
28,,,,,48.0,1.3683749520034914,11229.538349501747
29,,,,,49.0,1.377576982268321,11276.301703913701
30,,,,,50.0,1.3867790125331505,11323.065058325656
31,,,,,51.0,1.39598104279798,11369.828412737612
32,,,,,52.0,1.4051830730628097,11416.591767149566
33,,,,,53.0,1.4143851033276391,11463.35512156152
34,,,,,54.0,1.4235871335924686,11510.118475973475
35,,,,,55.0,1.432789163857298,11556.881830385431
36,,,,,56.0,1.4419911941221275,11603.645184797386
37,,,,,57.0,1.451193224386957,11650.40853920934
38,,,,,58.0,1.4603952546517864,11697.171893621296
39,,,,,59.0,1.4695972849166161,11743.935248033249
40,,,,,60.0,1.4787993151814456,11790.698602445205
41,,,,,61.0,1.4880013454462753,11837.46195685716
42,,,,,62.0,1.4972033757111047,11884.225311269114
43,,,,,63.0,1.5064054059759342,11930.98866568107
44,,,,,64.0,1.5156074362407637,11977.752020093025
45,,,,,65.0,1.5248094665055931,12024.51537450498
46,,,,,66.0,1.5340114967704226,12071.278728916934
47,,,,,67.0,1.543213527035252,12118.04208332889
48,,,,,68.0,1.5524155573000817,12164.805437740844
49,,,,,69.0,1.5616175875649112,12211.568792152799
50,,,,,70.0,1.5708196178297409,12258.332146564753
51,,,,,71.0,1.5800216480945704,12305.09550097671
52,,,,,72.0,1.5892236783593998,12351.858855388664
53,,,,,73.0,1.5984257086242293,12398.622209800618
54,,,,,74.0,1.6076277388890587,12445.385564212575
55,,,,,75.0,1.6168297691538882,12492.148918624529
56,,,,,76.0,1.6260317994187177,12538.912273036483
57,,,,,77.0,1.6352338296835474,12585.675627448438
58,,,,,78.0,1.6444358599483768,12632.438981860392
59,,,,,79.0,1.6536378902132065,12679.202336272348
60,,,,,80.0,1.662839920478036,12725.965690684303
61,,,,,81.0,1.6720419507428654,12772.729045096257
62,,,,,82.0,1.681243981007695,12819.492399508212
63,,,,,83.0,1.6904460112725244,12866.255753920166
64,,,,,84.0,1.6996480415373538,12913.019108332122
65,,,,,85.0,1.7088500718021833,12959.782462744077
66,,,,,86.0,1.718052102067013,13006.545817156031
67,,,,,87.0,1.7272541323318424,13053.309171567988
68,,,,,88.0,1.736456162596672,13100.072525979942
69,,,,,89.0,1.7456581928615016,13146.835880391896
70,,,,,90.0,1.754860223126331,13193.59923480385
71,,,,,91.0,1.7640622533911605,13240.362589215805
72,,,,,92.0,1.77326428365599,13287.125943627761
73,,,,,93.0,1.7824663139208194,13333.889298039716
74,,,,,94.0,1.791668344185649,13380.65265245167
75,,,,,95.0,1.8008703744504786,13427.416006863627
76,,,,,96.0,1.810072404715308,13474.17936127558
77,,,,,97.0,1.8192744349801375,13520.942715687535
78,,,,,98.0,1.8284764652449672,13567.706070099492
79,,,,,99.0,1.8376784955097967,13614.469424511444
80,,,,,100.0,1.8468805257746261,13661.2327789234
81,,,,,101.0,1.8560825560394556,13707.996133335355
82,,,,,102.0,1.865284586304285,13754.75948774731
83,,,,,103.0,1.8744866165691145,13801.522842159266
84,,,,,104.0,1.8836886468339442,13848.28619657122
85,,,,,105.0,1.8928906770987737,13895.049550983174
86,,,,,106.0,1.9020927073636031,13941.812905395129
87,,,,,107.0,1.9112947376284328,13988.576259807083
88,,,,,108.0,1.9204967678932623,14035.33961421904
89,,,,,109.0,1.9296987981580918,14082.102968630994
90,,,,,110.0,1.9389008284229212,14128.866323042948
91,,,,,111.0,1.9481028586877507,14175.629677454905
