,xyref,xgbound,dydx,dldp,xh,yh,ww
0,677.03785,20,1.4625605306220908,9013.78061847998,20,1.6178681074825736,9930.071616618388
1,266.3912,195,0.007765378843024142,45.81316863531515,21,1.6256334863255977,9975.886166525308
2,,,,,22.0,1.633398865168622,10021.70071643223
3,,,,,23.0,1.641164244011646,10067.51526633915
4,,,,,24.0,1.6489296228546702,10113.32981624607
5,,,,,25.0,1.6566950016976945,10159.14436615299
6,,,,,26.0,1.6644603805407185,10204.958916059912
7,,,,,27.0,1.6722257593837426,10250.773465966831
8,,,,,28.0,1.6799911382267667,10296.588015873753
9,,,,,29.0,1.6877565170697908,10342.402565780672
10,,,,,30.0,1.695521895912815,10388.217115687592
11,,,,,31.0,1.7032872747558392,10434.031665594513
12,,,,,32.0,1.7110526535988633,10479.846215501433
13,,,,,33.0,1.7188180324418876,10525.660765408355
14,,,,,34.0,1.7265834112849117,10571.475315315274
15,,,,,35.0,1.7343487901279357,10617.289865222196
16,,,,,36.0,1.7421141689709598,10663.104415129115
17,,,,,37.0,1.749879547813984,10708.918965036035
18,,,,,38.0,1.7576449266570082,10754.733514942956
19,,,,,39.0,1.7654103055000323,10800.548064849876
20,,,,,40.0,1.7731756843430564,10846.362614756797
21,,,,,41.0,1.7809410631860807,10892.177164663717
22,,,,,42.0,1.7887064420291048,10937.991714570639
23,,,,,43.0,1.7964718208721289,10983.806264477558
24,,,,,44.0,1.804237199715153,11029.620814384478
25,,,,,45.0,1.812002578558177,11075.4353642914
26,,,,,46.0,1.8197679574012013,11121.24991419832
27,,,,,47.0,1.8275333362442254,11167.06446410524
28,,,,,48.0,1.8352987150872497,11212.87901401216
29,,,,,49.0,1.8430640939302738,11258.693563919081
30,,,,,50.0,1.850829472773298,11304.508113826001
31,,,,,51.0,1.858594851616322,11350.322663732923
32,,,,,52.0,1.866360230459346,11396.137213639842
33,,,,,53.0,1.8741256093023704,11441.951763546764
34,,,,,54.0,1.8818909881453945,11487.766313453683
35,,,,,55.0,1.8896563669884185,11533.580863360603
36,,,,,56.0,1.8974217458314429,11579.395413267524
37,,,,,57.0,1.905187124674467,11625.209963174444
38,,,,,58.0,1.912952503517491,11671.024513081366
39,,,,,59.0,1.920717882360515,11716.839062988285
40,,,,,60.0,1.9284832612035392,11762.653612895207
41,,,,,61.0,1.9362486400465635,11808.468162802126
42,,,,,62.0,1.9440140188895876,11854.282712709046
43,,,,,63.0,1.9517793977326117,11900.097262615967
44,,,,,64.0,1.959544776575636,11945.911812522889
45,,,,,65.0,1.96731015541866,11991.726362429808
46,,,,,66.0,1.9750755342616841,12037.540912336728
47,,,,,67.0,1.9828409131047082,12083.35546224365
48,,,,,68.0,1.9906062919477323,12129.17001215057
49,,,,,69.0,1.9983716707907566,12174.984562057489
50,,,,,70.0,2.0061370496337805,12220.79911196441
51,,,,,71.0,2.013902428476805,12266.613661871332
52,,,,,72.0,2.021667807319829,12312.428211778251
53,,,,,73.0,2.029433186162853,12358.242761685171
54,,,,,74.0,2.0371985650058773,12404.057311592092
55,,,,,75.0,2.0449639438489013,12449.871861499012
56,,,,,76.0,2.0527293226919254,12495.686411405934
57,,,,,77.0,2.0604947015349495,12541.500961312853
58,,,,,78.0,2.068260080377974,12587.315511219775
59,,,,,79.0,2.076025459220998,12633.130061126694
60,,,,,80.0,2.083790838064022,12678.944611033614
61,,,,,81.0,2.0915562169070463,12724.759160940535
62,,,,,82.0,2.0993215957500704,12770.573710847455
63,,,,,83.0,2.1070869745930945,12816.388260754376
64,,,,,84.0,2.1148523534361185,12862.202810661296
65,,,,,85.0,2.122617732279143,12908.017360568218
66,,,,,86.0,2.1303831111221667,12953.831910475137
67,,,,,87.0,2.1381484899651912,12999.646460382057
68,,,,,88.0,2.1459138688082153,13045.461010288978
69,,,,,89.0,2.1536792476512394,13091.2755601959
70,,,,,90.0,2.1614446264942635,13137.09011010282
71,,,,,91.0,2.1692100053372876,13182.904660009739
72,,,,,92.0,2.1769753841803117,13228.71920991666
73,,,,,93.0,2.1847407630233358,13274.533759823582
74,,,,,94.0,2.1925061418663603,13320.348309730502
75,,,,,95.0,2.2002715207093844,13366.162859637421
76,,,,,96.0,2.2080368995524084,13411.977409544343
77,,,,,97.0,2.2158022783954325,13457.791959451262
78,,,,,98.0,2.2235676572384566,13503.606509358182
79,,,,,99.0,2.2313330360814807,13549.421059265103
80,,,,,100.0,2.239098414924505,13595.235609172025
81,,,,,101.0,2.2468637937675293,13641.050159078944
82,,,,,102.0,2.2546291726105534,13686.864708985864
83,,,,,103.0,2.2623945514535775,13732.679258892786
84,,,,,104.0,2.2701599302966016,13778.493808799707
85,,,,,105.0,2.2779253091396257,13824.308358706627
86,,,,,106.0,2.2856906879826497,13870.122908613546
87,,,,,107.0,2.293456066825674,13915.937458520468
88,,,,,108.0,2.3012214456686984,13961.752008427387
89,,,,,109.0,2.308986824511722,14007.566558334307
90,,,,,110.0,2.3167522033547465,14053.381108241229
91,,,,,111.0,2.3245175821977706,14099.19565814815
92,,,,,112.0,2.3322829610407947,14145.01020805507
93,,,,,113.0,2.3400483398838188,14190.82475796199
94,,,,,114.0,2.347813718726843,14236.63930786891
95,,,,,115.0,2.355579097569867,14282.45385777583
96,,,,,116.0,2.363344476412891,14328.26840768275
97,,,,,117.0,2.3711098552559156,14374.082957589671
98,,,,,118.0,2.3788752340989396,14419.897507496593
99,,,,,119.0,2.3866406129419637,14465.712057403513
100,,,,,120.0,2.394405991784988,14511.526607310432
101,,,,,121.0,2.402171370628012,14557.341157217354
102,,,,,122.0,2.409936749471036,14603.155707124273
103,,,,,123.0,2.41770212831406,14648.970257031193
104,,,,,124.0,2.4254675071570846,14694.784806938114
105,,,,,125.0,2.4332328860001082,14740.599356845036
106,,,,,126.0,2.4409982648431328,14786.413906751955
107,,,,,127.0,2.448763643686157,14832.228456658875
108,,,,,128.0,2.456529022529181,14878.043006565797
109,,,,,129.0,2.464294401372205,14923.857556472718
110,,,,,130.0,2.472059780215229,14969.672106379638
111,,,,,131.0,2.4798251590582536,15015.486656286557
112,,,,,132.0,2.4875905379012773,15061.301206193479
113,,,,,133.0,2.495355916744302,15107.115756100398
114,,,,,134.0,2.503121295587326,15152.930306007318
115,,,,,135.0,2.51088667443035,15198.74485591424
116,,,,,136.0,2.518652053273374,15244.55940582116
117,,,,,137.0,2.526417432116398,15290.37395572808
118,,,,,138.0,2.5341828109594227,15336.188505635
119,,,,,139.0,2.5419481898024463,15382.003055541922
120,,,,,140.0,2.549713568645471,15427.817605448841
121,,,,,141.0,2.5574789474884945,15473.632155355761
122,,,,,142.0,2.565244326331519,15519.446705262682
123,,,,,143.0,2.573009705174543,15565.261255169604
124,,,,,144.0,2.580775084017567,15611.075805076523
125,,,,,145.0,2.5885404628605913,15656.890354983443
126,,,,,146.0,2.5963058417036153,15702.704904890365
127,,,,,147.0,2.60407122054664,15748.519454797284
128,,,,,148.0,2.6118365993896635,15794.334004704204
129,,,,,149.0,2.619601978232688,15840.148554611125
130,,,,,150.0,2.627367357075712,15885.963104518047
131,,,,,151.0,2.635132735918736,15931.777654424966
132,,,,,152.0,2.6428981147617603,15977.592204331886
133,,,,,153.0,2.6506634936047844,16023.406754238807
134,,,,,154.0,2.658428872447809,16069.221304145729
135,,,,,155.0,2.6661942512908325,16115.035854052649
136,,,,,156.0,2.673959630133857,16160.850403959568
137,,,,,157.0,2.6817250089768807,16206.66495386649
138,,,,,158.0,2.6894903878199052,16252.47950377341
139,,,,,159.0,2.6972557666629293,16298.294053680329
140,,,,,160.0,2.7050211455059534,16344.10860358725
141,,,,,161.0,2.712786524348978,16389.923153494172
142,,,,,162.0,2.7205519031920016,16435.737703401093
143,,,,,163.0,2.728317282035026,16481.55225330801
144,,,,,164.0,2.7360826608780497,16527.366803214933
145,,,,,165.0,2.7438480397210743,16573.18135312185
146,,,,,166.0,2.7516134185640984,16618.995903028772
147,,,,,167.0,2.7593787974071224,16664.810452935693
148,,,,,168.0,2.7671441762501465,16710.625002842615
149,,,,,169.0,2.7749095550931706,16756.439552749536
150,,,,,170.0,2.782674933936195,16802.254102656454
151,,,,,171.0,2.790440312779219,16848.068652563376
152,,,,,172.0,2.7982056916222433,16893.883202470297
153,,,,,173.0,2.8059710704652674,16939.697752377215
154,,,,,174.0,2.8137364493082915,16985.512302284136
155,,,,,175.0,2.8215018281513156,17031.326852191058
156,,,,,176.0,2.8292672069943396,17077.14140209798
157,,,,,177.0,2.837032585837364,17122.955952004897
158,,,,,178.0,2.844797964680388,17168.77050191182
159,,,,,179.0,2.8525633435234123,17214.585051818736
160,,,,,180.0,2.860328722366436,17260.399601725658
161,,,,,181.0,2.8680941012094605,17306.21415163258
162,,,,,182.0,2.8758594800524846,17352.0287015395
163,,,,,183.0,2.8836248588955087,17397.843251446422
164,,,,,184.0,2.8913902377385328,17443.657801353344
165,,,,,185.0,2.899155616581557,17489.47235126026
166,,,,,186.0,2.9069209954245814,17535.286901167183
167,,,,,187.0,2.914686374267605,17581.1014510741
168,,,,,188.0,2.9224517531106295,17626.916000981022
169,,,,,189.0,2.9302171319536536,17672.730550887944
170,,,,,190.0,2.9379825107966777,17718.545100794865
171,,,,,191.0,2.945747889639702,17764.359650701786
172,,,,,192.0,2.953513268482726,17810.174200608708
173,,,,,193.0,2.9612786473257504,17855.988750515622
174,,,,,194.0,2.969044026168774,17901.803300422544
