,xg,yg,halfdyup,halfdylow
0,715.5173895487691,280.2438582852387,7,7
1,716.5173895487691,280.25165890414195,7,7
2,717.5173895487691,280.2594595230452,7,7
3,718.5173895487691,280.26726014194844,7,7
4,719.5173895487691,280.2750607608517,7,7
5,720.5173895487691,280.282861379755,7,7
6,721.5173895487691,280.2906619986582,7,7
7,722.5173895487691,280.2984626175615,7,7
8,723.5173895487691,280.30626323646476,7,7
9,724.5173895487691,280.314063855368,7,7
10,725.5173895487691,280.32186447427125,7,7
11,726.5173895487691,280.3296650931745,7,7
12,727.5173895487691,280.3374657120778,7,7
13,728.5173895487691,280.345266330981,7,7
14,729.5173895487691,280.3530669498843,7,7
15,730.5173895487691,280.36086756878757,7,7
16,731.5173895487691,280.3686681876908,7,7
17,732.5173895487691,280.37646880659406,7,7
18,733.5173895487691,280.38426942549734,7,7
19,734.5173895487691,280.39207004440055,7,7
20,735.5173895487691,280.39987066330383,7,7
21,736.5173895487691,280.4076712822071,7,7
22,737.5173895487691,280.4154719011103,7,7
23,738.5173895487691,280.4232725200136,7,7
24,739.5173895487691,280.4310731389169,7,7
25,740.5173895487691,280.4388737578201,7,7
26,741.5173895487691,280.44667437672337,7,7
27,742.5173895487691,280.45447499562664,7,7
28,743.5173895487691,280.46227561452986,7,7
29,744.5173895487691,280.47007623343313,7,7
30,745.5173895487691,280.4778768523364,7,7
31,746.5173895487691,280.4856774712396,7,7
32,747.5173895487691,280.4934780901429,7,7
33,748.5173895487691,280.5012787090462,7,7
34,749.5173895487691,280.5090793279494,7,7
35,750.5173895487691,280.51687994685267,7,7
36,751.5173895487691,280.52468056575594,7,7
37,752.5173895487691,280.5324811846592,7,7
38,753.5173895487691,280.54028180356244,7,7
39,754.5173895487691,280.5480824224657,7,7
40,755.5173895487691,280.555883041369,7,7
41,756.5173895487691,280.5636836602722,7,7
42,757.5173895487691,280.5714842791755,7,7
43,758.5173895487691,280.57928489807875,7,7
44,759.5173895487691,280.587085516982,7,7
45,760.5173895487691,280.59488613588525,7,7
46,761.5173895487691,280.6026867547885,7,7
47,762.5173895487691,280.61048737369174,7,7
48,763.5173895487691,280.618287992595,7,7
49,764.5173895487691,280.6260886114983,7,7
50,765.5173895487691,280.6338892304015,7,7
51,766.5173895487691,280.6416898493048,7,7
52,767.5173895487691,280.64949046820806,7,7
53,768.5173895487691,280.6572910871113,7,7
54,769.5173895487691,280.66509170601455,7,7
55,770.5173895487691,280.6728923249178,7,7
56,771.5173895487691,280.68069294382104,7,7
57,772.5173895487691,280.6884935627243,7,7
58,773.5173895487691,280.6962941816276,7,7
59,774.5173895487691,280.7040948005308,7,7
60,775.5173895487691,280.7118954194341,7,7
61,776.5173895487691,280.71969603833736,7,7
62,777.5173895487691,280.72749665724064,7,7
63,778.5173895487691,280.73529727614385,7,7
