,xg,yg,halfdyup,halfdylow
0,701.63081,266.647464035363,7,7
1,702.63081,266.658774628297,7,7
2,703.63081,266.67008522123103,7,7
3,704.63081,266.681395814165,7,7
4,705.63081,266.692706407099,7,7
5,706.63081,266.70401700003305,7,7
6,707.63081,266.71532759296707,7,7
7,708.63081,266.7266381859011,7,7
8,709.63081,266.7379487788351,7,7
9,710.63081,266.7492593717691,7,7
10,711.63081,266.7605699647031,7,7
11,712.63081,266.77188055763713,7,7
12,713.63081,266.78319115057116,7,7
13,714.63081,266.7945017435052,7,7
14,715.63081,266.80581233643915,7,7
15,716.63081,266.81712292937317,7,7
16,717.63081,266.8284335223072,7,7
17,718.63081,266.8397441152412,7,7
18,719.63081,266.85105470817524,7,7
19,720.63081,266.86236530110926,7,7
20,721.63081,266.87367589404323,7,7
21,722.63081,266.88498648697725,7,7
22,723.63081,266.8962970799113,7,7
23,724.63081,266.9076076728453,7,7
24,725.63081,266.9189182657793,7,7
25,726.63081,266.9302288587133,7,7
26,727.63081,266.9415394516473,7,7
27,728.63081,266.95285004458134,7,7
28,729.63081,266.96416063751536,7,7
29,730.63081,266.9754712304494,7,7
30,731.63081,266.98678182338335,7,7
31,732.63081,266.9980924163174,7,7
32,733.63081,267.0094030092514,7,7
33,734.63081,267.0207136021854,7,7
34,735.63081,267.03202419511945,7,7
35,736.63081,267.04333478805347,7,7
36,737.63081,267.05464538098744,7,7
37,738.63081,267.06595597392146,7,7
38,739.63081,267.0772665668555,7,7
39,740.63081,267.0885771597895,7,7
40,741.63081,267.09988775272353,7,7
41,742.63081,267.1111983456575,7,7
42,743.63081,267.1225089385915,7,7
43,744.63081,267.13381953152555,7,7
44,745.63081,267.14513012445957,7,7
45,746.63081,267.1564407173936,7,7
46,747.63081,267.1677513103276,7,7
47,748.63081,267.1790619032616,7,7
48,749.63081,267.1903724961956,7,7
49,750.63081,267.20168308912963,7,7
50,751.63081,267.21299368206365,7,7
51,752.63081,267.2243042749977,7,7
52,753.63081,267.23561486793164,7,7
53,754.63081,267.24692546086567,7,7
54,755.63081,267.2582360537997,7,7
55,756.63081,267.2695466467337,7,7
56,757.63081,267.28085723966774,7,7
57,758.63081,267.2921678326017,7,7
58,759.63081,267.30347842553573,7,7
59,760.63081,267.31478901846975,7,7
60,761.63081,267.3260996114038,7,7
61,762.63081,267.3374102043378,7,7
62,763.63081,267.3487207972718,7,7
63,764.63081,267.3600313902058,7,7
64,765.63081,267.3713419831398,7,7
65,766.63081,267.38265257607384,7,7
66,767.63081,267.39396316900786,7,7
67,768.63081,267.4052737619419,7,7
68,769.63081,267.41658435487585,7,7
69,770.63081,267.4278949478099,7,7
70,771.63081,267.4392055407439,7,7
71,772.63081,267.4505161336779,7,7
72,773.63081,267.46182672661195,7,7
73,774.63081,267.47313731954597,7,7
74,775.63081,267.48444791247994,7,7
75,776.63081,267.49575850541396,7,7
76,777.63081,267.507069098348,7,7
77,778.63081,267.518379691282,7,7
78,779.63081,267.52969028421603,7,7
79,780.63081,267.54100087715,7,7
80,781.63081,267.552311470084,7,7
81,782.63081,267.56362206301804,7,7
82,783.63081,267.57493265595207,7,7
83,784.63081,267.5862432488861,7,7
84,785.63081,267.59755384182006,7,7
85,786.63081,267.6088644347541,7,7
86,787.63081,267.6201750276881,7,7
87,788.63081,267.63148562062213,7,7
88,789.63081,267.64279621355615,7,7
89,790.63081,267.6541068064902,7,7
90,791.63081,267.66541739942414,7,7
91,792.63081,267.67672799235817,7,7
92,793.63081,267.6880385852922,7,7
93,794.63081,267.6993491782262,7,7
94,795.63081,267.71065977116024,7,7
95,796.63081,267.7219703640942,7,7
96,797.63081,267.7332809570282,7,7
97,798.63081,267.74459154996225,7,7
98,799.63081,267.7559021428963,7,7
99,800.63081,267.7672127358303,7,7
100,801.63081,267.7785233287643,7,7
101,802.63081,267.7898339216983,7,7
102,803.63081,267.8011445146323,7,7
103,804.63081,267.81245510756634,7,7
104,805.63081,267.82376570050036,7,7
105,806.63081,267.8350762934344,7,7
106,807.63081,267.84638688636835,7,7
107,808.63081,267.8576974793024,7,7
108,809.63081,267.8690080722364,7,7
109,810.63081,267.8803186651704,7,7
110,811.63081,267.89162925810444,7,7
111,812.63081,267.90293985103847,7,7
112,813.63081,267.91425044397243,7,7
113,814.63081,267.92556103690646,7,7
114,815.63081,267.9368716298405,7,7
115,816.63081,267.9481822227745,7,7
116,817.63081,267.95949281570853,7,7
117,818.63081,267.9708034086425,7,7
118,819.63081,267.9821140015765,7,7
119,820.63081,267.99342459451054,7,7
120,821.63081,268.00473518744457,7,7
121,822.63081,268.0160457803786,7,7
122,823.63081,268.02735637331256,7,7
123,824.63081,268.0386669662466,7,7
124,825.63081,268.0499775591806,7,7
125,826.63081,268.0612881521146,7,7
126,827.63081,268.07259874504865,7,7
127,828.63081,268.0839093379827,7,7
128,829.63081,268.09521993091664,7,7
129,830.63081,268.10653052385067,7,7
130,831.63081,268.1178411167847,7,7
131,832.63081,268.1291517097187,7,7
132,833.63081,268.14046230265274,7,7
133,834.63081,268.1517728955867,7,7
134,835.63081,268.1630834885207,7,7
135,836.63081,268.17439408145475,7,7
136,837.63081,268.1857046743888,7,7
137,838.63081,268.1970152673228,7,7
138,839.63081,268.2083258602568,7,7
139,840.63081,268.2196364531908,7,7
140,841.63081,268.2309470461248,7,7
141,842.63081,268.24225763905883,7,7
142,843.63081,268.25356823199286,7,7
143,844.63081,268.2648788249269,7,7
144,845.63081,268.27618941786085,7,7
145,846.63081,268.2875000107949,7,7
146,847.63081,268.2988106037289,7,7
147,848.63081,268.3101211966629,7,7
148,849.63081,268.32143178959694,7,7
149,850.63081,268.3327423825309,7,7
150,851.63081,268.34405297546493,7,7
151,852.63081,268.35536356839896,7,7
152,853.63081,268.366674161333,7,7
153,854.63081,268.377984754267,7,7
154,855.63081,268.389295347201,7,7
155,856.63081,268.400605940135,7,7
156,857.63081,268.411916533069,7,7
157,858.63081,268.42322712600304,7,7
158,859.63081,268.43453771893707,7,7
159,860.63081,268.4458483118711,7,7
160,861.63081,268.45715890480506,7,7
161,862.63081,268.4684694977391,7,7
162,863.63081,268.4797800906731,7,7
163,864.63081,268.4910906836071,7,7
164,865.63081,268.50240127654115,7,7
165,866.63081,268.5137118694752,7,7
166,867.63081,268.52502246240914,7,7
167,868.63081,268.53633305534316,7,7
168,869.63081,268.5476436482772,7,7
169,870.63081,268.5589542412112,7,7
170,871.63081,268.57026483414523,7,7
171,872.63081,268.5815754270792,7,7
172,873.63081,268.5928860200132,7,7
173,874.63081,268.60419661294725,7,7
174,875.63081,268.6155072058813,7,7
175,876.63081,268.6268177988153,7,7
176,877.63081,268.63812839174926,7,7
177,878.63081,268.6494389846833,7,7
178,879.63081,268.6607495776173,7,7
179,880.63081,268.67206017055133,7,7
180,881.63081,268.68337076348536,7,7
181,882.63081,268.6946813564194,7,7
182,883.63081,268.70599194935335,7,7
183,884.63081,268.71730254228737,7,7
184,885.63081,268.7286131352214,7,7
185,886.63081,268.7399237281554,7,7
186,887.63081,268.75123432108944,7,7
187,888.63081,268.7625449140234,7,7
188,889.63081,268.77385550695743,7,7
189,890.63081,268.78516609989146,7,7
190,891.63081,268.7964766928255,7,7
191,892.63081,268.8077872857595,7,7
192,893.63081,268.8190978786935,7,7
193,894.63081,268.8304084716275,7,7
194,895.63081,268.8417190645615,7,7
195,896.63081,268.85302965749554,7,7
196,897.63081,268.86434025042956,7,7
197,898.63081,268.8756508433636,7,7
198,899.63081,268.88696143629755,7,7
199,900.63081,268.8982720292316,7,7
200,901.63081,268.9095826221656,7,7
