,xg,yg,halfdyup,halfdylow
0,254.30372000000003,141.1801529404827,15,15
1,255.30372000000003,141.192920062905,15,15
2,256.30372,141.20568718532726,15,15
3,257.30372,141.21845430774954,15,15
4,258.30372,141.23122143017181,15,15
5,259.30372,141.2439885525941,15,15
6,260.30372,141.25675567501636,15,15
7,261.30372,141.2695227974386,15,15
8,262.30372,141.2822899198609,15,15
9,263.30372,141.29505704228316,15,15
10,264.30372,141.30782416470544,15,15
11,265.30372,141.3205912871277,15,15
12,266.30372,141.33335840955,15,15
13,267.30372,141.34612553197226,15,15
14,268.30372,141.35889265439454,15,15
15,269.30372,141.3716597768168,15,15
16,270.30372,141.3844268992391,15,15
17,271.30372,141.39719402166133,15,15
18,272.30372,141.4099611440836,15,15
19,273.30372,141.42272826650589,15,15
20,274.30372,141.43549538892816,15,15
21,275.30372,141.44826251135044,15,15
22,276.30372,141.4610296337727,15,15
23,277.30372,141.473796756195,15,15
24,278.30372,141.48656387861726,15,15
25,279.30372,141.49933100103954,15,15
26,280.30372,141.51209812346178,15,15
27,281.30372,141.52486524588406,15,15
28,282.30372,141.53763236830633,15,15
29,283.30372,141.5503994907286,15,15
30,284.30372,141.56316661315088,15,15
31,285.30372,141.57593373557316,15,15
32,286.30372,141.58870085799543,15,15
33,287.30372,141.6014679804177,15,15
34,288.30372,141.61423510283998,15,15
35,289.30372,141.62700222526226,15,15
36,290.30372,141.6397693476845,15,15
37,291.30372,141.65253647010678,15,15
38,292.30372,141.66530359252906,15,15
39,293.30372,141.67807071495133,15,15
40,294.30372,141.6908378373736,15,15
41,295.30372,141.70360495979588,15,15
42,296.30372,141.71637208221816,15,15
43,297.30372,141.72913920464043,15,15
44,298.30372,141.7419063270627,15,15
45,299.30372,141.75467344948498,15,15
46,300.30372,141.76744057190723,15,15
47,301.30372,141.7802076943295,15,15
48,302.30372,141.79297481675178,15,15
49,303.30372,141.80574193917406,15,15
50,304.30372,141.81850906159633,15,15
51,305.30372,141.8312761840186,15,15
52,306.30372,141.84404330644088,15,15
53,307.30372,141.85681042886316,15,15
54,308.30372,141.86957755128543,15,15
55,309.30372,141.8823446737077,15,15
56,310.30372,141.89511179612995,15,15
57,311.30372,141.90787891855223,15,15
58,312.30372,141.9206460409745,15,15
59,313.30372,141.93341316339678,15,15
60,314.30372,141.94618028581905,15,15
61,315.30372,141.95894740824133,15,15
62,316.30372,141.9717145306636,15,15
63,317.30372,141.98448165308588,15,15
64,318.30372,141.99724877550815,15,15
65,319.30372,142.01001589793043,15,15
66,320.30372,142.02278302035268,15,15
67,321.30372,142.03555014277495,15,15
68,322.30372,142.04831726519723,15,15
69,323.30372,142.0610843876195,15,15
70,324.30372,142.07385151004178,15,15
71,325.30372,142.08661863246405,15,15
72,326.30372,142.09938575488633,15,15
73,327.30372,142.1121528773086,15,15
74,328.30372,142.12491999973088,15,15
75,329.30372,142.13768712215312,15,15
76,330.30372,142.1504542445754,15,15
77,331.30372,142.16322136699767,15,15
78,332.30372,142.17598848941995,15,15
79,333.30372,142.18875561184223,15,15
80,334.30372,142.2015227342645,15,15
81,335.30372,142.21428985668678,15,15
82,336.30372,142.22705697910905,15,15
83,337.30372,142.23982410153133,15,15
84,338.30372,142.2525912239536,15,15
85,339.30372,142.26535834637585,15,15
86,340.30372,142.27812546879812,15,15
87,341.30372,142.2908925912204,15,15
88,342.30372,142.30365971364267,15,15
89,343.30372,142.31642683606495,15,15
90,344.30372,142.32919395848722,15,15
91,345.30372,142.3419610809095,15,15
92,346.30372,142.35472820333177,15,15
93,347.30372,142.36749532575405,15,15
94,348.30372,142.38026244817632,15,15
95,349.30372,142.39302957059857,15,15
96,350.30372,142.40579669302085,15,15
97,351.30372,142.41856381544312,15,15
98,352.30372,142.4313309378654,15,15
99,353.30372,142.44409806028767,15,15
100,354.30372,142.45686518270995,15,15
101,355.30372,142.46963230513222,15,15
102,356.30372,142.4823994275545,15,15
103,357.30372,142.49516654997677,15,15
104,358.30372,142.50793367239905,15,15
105,359.30372,142.5207007948213,15,15
106,360.30372,142.53346791724357,15,15
107,361.30372,142.54623503966585,15,15
108,362.30372,142.55900216208812,15,15
109,363.30372,142.5717692845104,15,15
110,364.30372,142.58453640693267,15,15
111,365.30372,142.59730352935495,15,15
112,366.30372,142.61007065177722,15,15
113,367.30372,142.6228377741995,15,15
114,368.30372,142.63560489662177,15,15
115,369.30372,142.64837201904402,15,15
116,370.30372,142.6611391414663,15,15
117,371.30372,142.67390626388857,15,15
118,372.30372,142.68667338631084,15,15
119,373.30372,142.69944050873312,15,15
120,374.30372,142.7122076311554,15,15
121,375.30372,142.72497475357767,15,15
122,376.30372,142.73774187599994,15,15
123,377.30372,142.75050899842222,15,15
124,378.30372,142.76327612084447,15,15
125,379.30372,142.77604324326674,15,15
126,380.30372,142.78881036568902,15,15
127,381.30372,142.8015774881113,15,15
128,382.30372,142.81434461053357,15,15
129,383.30372,142.82711173295584,15,15
130,384.30372,142.83987885537812,15,15
131,385.30372,142.8526459778004,15,15
