,xg,yg,halfdyup,halfdylow
0,640.00435,551.1031442421803,20,20
1,641.00435,551.1126533979942,20,20
2,642.00435,551.1221625538082,20,20
3,643.00435,551.1316717096221,20,20
4,644.00435,551.141180865436,20,20
5,645.00435,551.1506900212499,20,20
6,646.00435,551.160199177064,20,20
7,647.00435,551.1697083328779,20,20
8,648.00435,551.1792174886918,20,20
9,649.00435,551.1887266445058,20,20
10,650.00435,551.1982358003197,20,20
11,651.00435,551.2077449561336,20,20
12,652.00435,551.2172541119476,20,20
13,653.00435,551.2267632677615,20,20
14,654.00435,551.2362724235754,20,20
15,655.00435,551.2457815793894,20,20
16,656.00435,551.2552907352034,20,20
17,657.00435,551.2647998910173,20,20
18,658.00435,551.2743090468313,20,20
19,659.00435,551.2838182026452,20,20
20,660.00435,551.2933273584591,20,20
21,661.00435,551.302836514273,20,20
22,662.00435,551.312345670087,20,20
23,663.00435,551.3218548259009,20,20
24,664.00435,551.3313639817148,20,20
25,665.00435,551.3408731375289,20,20
26,666.00435,551.3503822933428,20,20
27,667.00435,551.3598914491567,20,20
28,668.00435,551.3694006049707,20,20
29,669.00435,551.3789097607846,20,20
30,670.00435,551.3884189165985,20,20
31,671.00435,551.3979280724125,20,20
32,672.00435,551.4074372282264,20,20
33,673.00435,551.4169463840403,20,20
34,674.00435,551.4264555398543,20,20
35,675.00435,551.4359646956683,20,20
36,676.00435,551.4454738514822,20,20
37,677.00435,551.4549830072962,20,20
38,678.00435,551.4644921631101,20,20
39,679.00435,551.474001318924,20,20
40,680.00435,551.483510474738,20,20
41,681.00435,551.4930196305519,20,20
42,682.00435,551.5025287863658,20,20
43,683.00435,551.5120379421797,20,20
44,684.00435,551.5215470979937,20,20
45,685.00435,551.5310562538077,20,20
46,686.00435,551.5405654096216,20,20
47,687.00435,551.5500745654356,20,20
48,688.00435,551.5595837212495,20,20
49,689.00435,551.5690928770634,20,20
50,690.00435,551.5786020328774,20,20
51,691.00435,551.5881111886913,20,20
52,692.00435,551.5976203445052,20,20
53,693.00435,551.6071295003192,20,20
54,694.00435,551.6166386561331,20,20
55,695.00435,551.6261478119471,20,20
56,696.00435,551.6356569677611,20,20
57,697.00435,551.645166123575,20,20
58,698.00435,551.6546752793889,20,20
59,699.00435,551.6641844352029,20,20
60,700.00435,551.6736935910168,20,20
61,701.00435,551.6832027468307,20,20
62,702.00435,551.6927119026446,20,20
63,703.00435,551.7022210584586,20,20
64,704.00435,551.7117302142726,20,20
65,705.00435,551.7212393700866,20,20
66,706.00435,551.7307485259005,20,20
67,707.00435,551.7402576817144,20,20
68,708.00435,551.7497668375283,20,20
69,709.00435,551.7592759933423,20,20
70,710.00435,551.7687851491562,20,20
71,711.00435,551.7782943049701,20,20
72,712.00435,551.7878034607841,20,20
73,713.00435,551.797312616598,20,20
74,714.00435,551.806821772412,20,20
75,715.00435,551.816330928226,20,20
76,716.00435,551.8258400840399,20,20
77,717.00435,551.8353492398538,20,20
78,718.00435,551.8448583956678,20,20
79,719.00435,551.8543675514817,20,20
80,720.00435,551.8638767072956,20,20
81,721.00435,551.8733858631095,20,20
82,722.00435,551.8828950189235,20,20
83,723.00435,551.8924041747374,20,20
84,724.00435,551.9019133305515,20,20
85,725.00435,551.9114224863654,20,20
86,726.00435,551.9209316421793,20,20
87,727.00435,551.9304407979932,20,20
88,728.00435,551.9399499538072,20,20
89,729.00435,551.9494591096211,20,20
90,730.00435,551.958968265435,20,20
91,731.00435,551.968477421249,20,20
92,732.00435,551.9779865770629,20,20
93,733.00435,551.9874957328769,20,20
94,734.00435,551.9970048886909,20,20
95,735.00435,552.0065140445048,20,20
96,736.00435,552.0160232003187,20,20
97,737.00435,552.0255323561327,20,20
98,738.00435,552.0350415119466,20,20
99,739.00435,552.0445506677605,20,20
100,740.00435,552.0540598235744,20,20
101,741.00435,552.0635689793884,20,20
102,742.00435,552.0730781352023,20,20
103,743.00435,552.0825872910164,20,20
104,744.00435,552.0920964468303,20,20
105,745.00435,552.1016056026442,20,20
106,746.00435,552.1111147584581,20,20
107,747.00435,552.1206239142721,20,20
108,748.00435,552.130133070086,20,20
109,749.00435,552.1396422258999,20,20
110,750.00435,552.1491513817139,20,20
111,751.00435,552.1586605375278,20,20
112,752.00435,552.1681696933417,20,20
113,753.00435,552.1776788491558,20,20
114,754.00435,552.1871880049697,20,20
115,755.00435,552.1966971607836,20,20
116,756.00435,552.2062063165976,20,20
117,757.00435,552.2157154724115,20,20
118,758.00435,552.2252246282254,20,20
119,759.00435,552.2347337840393,20,20
120,760.00435,552.2442429398533,20,20
121,761.00435,552.2537520956672,20,20
122,762.00435,552.2632612514811,20,20
123,763.00435,552.2727704072952,20,20
124,764.00435,552.2822795631091,20,20
125,765.00435,552.291788718923,20,20
126,766.00435,552.301297874737,20,20
127,767.00435,552.3108070305509,20,20
128,768.00435,552.3203161863648,20,20
129,769.00435,552.3298253421788,20,20
130,770.00435,552.3393344979927,20,20
131,771.00435,552.3488436538066,20,20
132,772.00435,552.3583528096207,20,20
133,773.00435,552.3678619654346,20,20
134,774.00435,552.3773711212485,20,20
135,775.00435,552.3868802770625,20,20
136,776.00435,552.3963894328764,20,20
137,777.00435,552.4058985886903,20,20
138,778.00435,552.4154077445043,20,20
139,779.00435,552.4249169003182,20,20
140,780.00435,552.4344260561321,20,20
141,781.00435,552.443935211946,20,20
142,782.00435,552.4534443677601,20,20
143,783.00435,552.462953523574,20,20
144,784.00435,552.472462679388,20,20
145,785.00435,552.4819718352019,20,20
146,786.00435,552.4914809910158,20,20
147,787.00435,552.5009901468297,20,20
148,788.00435,552.5104993026437,20,20
149,789.00435,552.5200084584576,20,20
150,790.00435,552.5295176142715,20,20
151,791.00435,552.5390267700855,20,20
152,792.00435,552.5485359258995,20,20
153,793.00435,552.5580450817134,20,20
154,794.00435,552.5675542375274,20,20
155,795.00435,552.5770633933413,20,20
156,796.00435,552.5865725491552,20,20
157,797.00435,552.5960817049692,20,20
158,798.00435,552.6055908607831,20,20
159,799.00435,552.615100016597,20,20
160,800.00435,552.6246091724109,20,20
161,801.00435,552.634118328225,20,20
162,802.00435,552.6436274840389,20,20
163,803.00435,552.6531366398528,20,20
164,804.00435,552.6626457956668,20,20
165,805.00435,552.6721549514807,20,20
166,806.00435,552.6816641072946,20,20
167,807.00435,552.6911732631086,20,20
168,808.00435,552.7006824189225,20,20
169,809.00435,552.7101915747364,20,20
170,810.00435,552.7197007305504,20,20
171,811.00435,552.7292098863644,20,20
172,812.00435,552.7387190421783,20,20
173,813.00435,552.7482281979923,20,20
174,814.00435,552.7577373538062,20,20
