,xyref,xgbound,dydx,dldp,xh,yh,ww
0,622.6469230404642,20,0.9068283734357011,9013.662708725167,20,1.09754523109175,9947.667184295704
1,553.7797348474446,195,0.009535842882802441,46.698100643954554,21,1.1070810739745525,9994.367408074231
2,,,,,22.0,1.1166169168573548,10041.067631852758
3,,,,,23.0,1.1261527597401573,10087.767855631286
4,,,,,24.0,1.1356886026229598,10134.468079409811
5,,,,,25.0,1.145224445505762,10181.168303188339
6,,,,,26.0,1.1547602883885646,10227.868526966866
7,,,,,27.0,1.164296131271367,10274.568750745391
8,,,,,28.0,1.1738319741541694,10321.268974523919
9,,,,,29.0,1.183367817036972,10367.969198302446
10,,,,,30.0,1.1929036599197744,10414.669422080973
11,,,,,31.0,1.2024395028025767,10461.3696458595
12,,,,,32.0,1.2119753456853792,10508.069869638026
13,,,,,33.0,1.2215111885681817,10554.770093416553
14,,,,,34.0,1.231047031450984,10601.47031719508
15,,,,,35.0,1.2405828743337866,10648.170540973606
16,,,,,36.0,1.250118717216589,10694.870764752133
17,,,,,37.0,1.2596545600993914,10741.57098853066
18,,,,,38.0,1.2691904029821939,10788.271212309188
19,,,,,39.0,1.2787262458649964,10834.971436087715
20,,,,,40.0,1.288262088747799,10881.67165986624
21,,,,,41.0,1.2977979316306012,10928.371883644768
22,,,,,42.0,1.3073337745134037,10975.072107423295
23,,,,,43.0,1.3168696173962062,11021.772331201822
24,,,,,44.0,1.3264054602790085,11068.472554980348
25,,,,,45.0,1.335941303161811,11115.172778758875
26,,,,,46.0,1.3454771460446135,11161.873002537402
27,,,,,47.0,1.3550129889274158,11208.57322631593
28,,,,,48.0,1.3645488318102184,11255.273450094457
29,,,,,49.0,1.3740846746930209,11301.973673872983
30,,,,,50.0,1.3836205175758232,11348.67389765151
31,,,,,51.0,1.3931563604586257,11395.374121430037
32,,,,,52.0,1.4026922033414282,11442.074345208563
33,,,,,53.0,1.4122280462242305,11488.77456898709
34,,,,,54.0,1.421763889107033,11535.474792765617
35,,,,,55.0,1.4312997319898355,11582.175016544144
36,,,,,56.0,1.4408355748726378,11628.875240322672
37,,,,,57.0,1.4503714177554403,11675.575464101197
