,xyref,xgbound,dydx,dldp,xh,yh,ww
0,624.2257898081962,20,0.9292005290161774,9013.569180642622,20,1.1184250576227657,9946.887954633161
1,541.4201019371951,195,0.009461226430329407,46.66385019352548,21,1.127886284053095,9993.553893332688
2,,,,,22.0,1.1373475104834245,10040.219832032215
3,,,,,23.0,1.1468087369137538,10086.885770731742
4,,,,,24.0,1.1562699633440832,10133.551709431269
5,,,,,25.0,1.1657311897744127,10180.217648130796
6,,,,,26.0,1.175192416204742,10226.883586830323
7,,,,,27.0,1.1846536426350713,10273.54952552985
8,,,,,28.0,1.1941148690654009,10320.215464229377
9,,,,,29.0,1.2035760954957302,10366.881402928904
10,,,,,30.0,1.2130373219260597,10413.547341628431
11,,,,,31.0,1.222498548356389,10460.213280327958
12,,,,,32.0,1.2319597747867186,10506.879219027485
13,,,,,33.0,1.241421001217048,10553.545157727012
14,,,,,34.0,1.2508822276473772,10600.21109642654
15,,,,,35.0,1.2603434540777068,10646.877035126066
16,,,,,36.0,1.269804680508036,10693.542973825593
17,,,,,37.0,1.2792659069383654,10740.20891252512
18,,,,,38.0,1.288727133368695,10786.874851224648
19,,,,,39.0,1.2981883597990242,10833.540789924175
20,,,,,40.0,1.3076495862293538,10880.206728623702
21,,,,,41.0,1.317110812659683,10926.872667323229
22,,,,,42.0,1.3265720390900126,10973.538606022756
23,,,,,43.0,1.336033265520342,11020.204544722283
24,,,,,44.0,1.3454944919506713,11066.87048342181
25,,,,,45.0,1.3549557183810008,11113.536422121337
26,,,,,46.0,1.3644169448113301,11160.202360820864
27,,,,,47.0,1.3738781712416595,11206.86829952039
28,,,,,48.0,1.383339397671989,11253.534238219916
29,,,,,49.0,1.3928006241023185,11300.200176919443
30,,,,,50.0,1.4022618505326478,11346.86611561897
31,,,,,51.0,1.4117230769629772,11393.532054318497
32,,,,,52.0,1.4211843033933067,11440.197993018024
33,,,,,53.0,1.430645529823636,11486.863931717551
34,,,,,54.0,1.4401067562539653,11533.529870417078
35,,,,,55.0,1.4495679826842949,11580.195809116605
36,,,,,56.0,1.4590292091146244,11626.861747816132
37,,,,,57.0,1.4684904355449535,11673.52768651566
38,,,,,58.0,1.477951661975283,11720.193625215186
39,,,,,59.0,1.4874128884056126,11766.859563914713
40,,,,,60.0,1.496874114835942,11813.52550261424
41,,,,,61.0,1.5063353412662712,11860.191441313767
42,,,,,62.0,1.5157965676966008,11906.857380013294
43,,,,,63.0,1.52525779412693,11953.523318712821
44,,,,,64.0,1.5347190205572594,12000.189257412349
45,,,,,65.0,1.544180246987589,12046.855196111876
46,,,,,66.0,1.5536414734179185,12093.521134811403
47,,,,,67.0,1.5631026998482476,12140.18707351093
48,,,,,68.0,1.572563926278577,12186.853012210457
49,,,,,69.0,1.5820251527089066,12233.518950909984
50,,,,,70.0,1.591486379139236,12280.18488960951
51,,,,,71.0,1.6009476055695653,12326.850828309038
52,,,,,72.0,1.6104088319998948,12373.516767008565
