,xyref,xgbound,dydx,dldp,xh,yh,ww
0,239.85585516426528,20,1.7212291979125423,8970.899874116527,20,1.896592209331036,9882.269407440657
1,151.51713817176923,195,0.008768150570924683,45.56672510437666,21,1.9053603599019606,9927.837884106862
2,,,,,22.0,1.9141285104728853,9973.40636077307
3,,,,,23.0,1.92289666104381,10018.974837439277
4,,,,,24.0,1.9316648116147346,10064.543314105482
5,,,,,25.0,1.9404329621856593,10110.111790771689
6,,,,,26.0,1.949201112756584,10155.680267437896
7,,,,,27.0,1.9579692633275088,10201.248744104101
8,,,,,28.0,1.9667374138984335,10246.817220770308
9,,,,,29.0,1.975505564469358,10292.385697436515
10,,,,,30.0,1.9842737150402827,10337.95417410272
11,,,,,31.0,1.9930418656112074,10383.522650768928
12,,,,,32.0,2.001810016182132,10429.091127435135
13,,,,,33.0,2.010578166753057,10474.65960410134
14,,,,,34.0,2.0193463173239814,10520.228080767547
15,,,,,35.0,2.0281144678949063,10565.796557433754
16,,,,,36.0,2.036882618465831,10611.36503409996
17,,,,,37.0,2.0456507690367554,10656.933510766166
18,,,,,38.0,2.0544189196076803,10702.501987432373
19,,,,,39.0,2.063187070178605,10748.070464098579
20,,,,,40.0,2.0719552207495298,10793.638940764786
21,,,,,41.0,2.0807233713204543,10839.207417430993
22,,,,,42.0,2.0894915218913788,10884.775894097198
23,,,,,43.0,2.0982596724623037,10930.344370763405
24,,,,,44.0,2.107027823033228,10975.912847429612
25,,,,,45.0,2.115795973604153,11021.481324095817
26,,,,,46.0,2.1245641241750777,11067.049800762024
27,,,,,47.0,2.133332274746002,11112.618277428232
28,,,,,48.0,2.142100425316927,11158.186754094437
29,,,,,49.0,2.1508685758878516,11203.755230760644
30,,,,,50.0,2.1596367264587766,11249.32370742685
31,,,,,51.0,2.168404877029701,11294.892184093056
32,,,,,52.0,2.1771730276006256,11340.460660759263
33,,,,,53.0,2.1859411781715505,11386.02913742547
34,,,,,54.0,2.194709328742475,11431.597614091675
35,,,,,55.0,2.2034774793134,11477.166090757883
36,,,,,56.0,2.2122456298843245,11522.73456742409
37,,,,,57.0,2.221013780455249,11568.303044090295
38,,,,,58.0,2.229781931026174,11613.871520756502
39,,,,,59.0,2.2385500815970985,11659.439997422709
40,,,,,60.0,2.2473182321680234,11705.008474088914
41,,,,,61.0,2.256086382738948,11750.576950755121
42,,,,,62.0,2.2648545333098724,11796.145427421328
43,,,,,63.0,2.2736226838807974,11841.713904087534
44,,,,,64.0,2.282390834451722,11887.28238075374
45,,,,,65.0,2.291158985022647,11932.850857419948
46,,,,,66.0,2.2999271355935713,11978.419334086155
47,,,,,67.0,2.308695286164496,12023.98781075236
48,,,,,68.0,2.3174634367354208,12069.556287418567
49,,,,,69.0,2.3262315873063453,12115.124764084774
50,,,,,70.0,2.33499973787727,12160.693240750981
51,,,,,71.0,2.3437678884481947,12206.261717417186
52,,,,,72.0,2.3525360390191192,12251.830194083392
53,,,,,73.0,2.361304189590044,12297.398670749599
54,,,,,74.0,2.3700723401609687,12342.967147415806
55,,,,,75.0,2.3788404907318936,12388.535624082013
56,,,,,76.0,2.387608641302818,12434.104100748218
57,,,,,77.0,2.3963767918737426,12479.672577414425
58,,,,,78.0,2.4051449424446676,12525.241054080632
59,,,,,79.0,2.413913093015592,12570.80953074684
60,,,,,80.0,2.422681243586517,12616.378007413045
61,,,,,81.0,2.4314493941574415,12661.946484079252
62,,,,,82.0,2.440217544728366,12707.514960745459
63,,,,,83.0,2.448985695299291,12753.083437411664
64,,,,,84.0,2.4577538458702155,12798.651914077871
65,,,,,85.0,2.4665219964411405,12844.220390744076
66,,,,,86.0,2.475290147012065,12889.788867410283
67,,,,,87.0,2.4840582975829895,12935.35734407649
68,,,,,88.0,2.4928264481539144,12980.925820742697
69,,,,,89.0,2.501594598724839,13026.494297408903
70,,,,,90.0,2.510362749295764,13072.06277407511
71,,,,,91.0,2.5191308998666884,13117.631250741317
72,,,,,92.0,2.527899050437613,13163.199727407522
73,,,,,93.0,2.536667201008538,13208.768204073729
74,,,,,94.0,2.5454353515794623,13254.336680739936
75,,,,,95.0,2.5542035021503873,13299.905157406141
76,,,,,96.0,2.5629716527213118,13345.473634072348
77,,,,,97.0,2.5717398032922363,13391.042110738555
78,,,,,98.0,2.5805079538631612,13436.61058740476
79,,,,,99.0,2.5892761044340857,13482.179064070968
80,,,,,100.0,2.5980442550050107,13527.747540737175
81,,,,,101.0,2.606812405575935,13573.31601740338
82,,,,,102.0,2.6155805561468597,13618.884494069587
83,,,,,103.0,2.6243487067177846,13664.452970735794
84,,,,,104.0,2.633116857288709,13710.021447402
85,,,,,105.0,2.641885007859634,13755.589924068207
86,,,,,106.0,2.6506531584305586,13801.158400734414
87,,,,,107.0,2.659421309001483,13846.726877400619
88,,,,,108.0,2.668189459572408,13892.295354066826
89,,,,,109.0,2.6769576101433326,13937.863830733033
90,,,,,110.0,2.6857257607142575,13983.432307399238
91,,,,,111.0,2.694493911285182,14029.000784065445
92,,,,,112.0,2.7032620618561065,14074.569260731652
93,,,,,113.0,2.7120302124270315,14120.137737397858
94,,,,,114.0,2.720798362997956,14165.706214064065
95,,,,,115.0,2.729566513568881,14211.274690730272
96,,,,,116.0,2.7383346641398054,14256.843167396477
97,,,,,117.0,2.74710281471073,14302.411644062684
98,,,,,118.0,2.755870965281655,14347.980120728891
99,,,,,119.0,2.76463911585258,14393.548597395096
100,,,,,120.0,2.7734072664235043,14439.117074061303
101,,,,,121.0,2.782175416994429,14484.68555072751
102,,,,,122.0,2.7909435675653533,14530.254027393716
103,,,,,123.0,2.7997117181362783,14575.822504059923
104,,,,,124.0,2.8084798687072032,14621.39098072613
105,,,,,125.0,2.8172480192781277,14666.959457392335
106,,,,,126.0,2.8260161698490522,14712.527934058542
107,,,,,127.0,2.8347843204199767,14758.09641072475
108,,,,,128.0,2.8435524709909017,14803.664887390954
109,,,,,129.0,2.8523206215618266,14849.233364057161
110,,,,,130.0,2.861088772132751,14894.801840723369
111,,,,,131.0,2.8698569227036757,14940.370317389574
112,,,,,132.0,2.8786250732746,14985.938794055783
113,,,,,133.0,2.887393223845525,15031.507270721988
114,,,,,134.0,2.89616137441645,15077.075747388193
115,,,,,135.0,2.9049295249873746,15122.644224054402
116,,,,,136.0,2.913697675558299,15168.212700720607
117,,,,,137.0,2.9224658261292236,15213.781177386814
118,,,,,138.0,2.9312339767001485,15259.349654053021
119,,,,,139.0,2.9400021272710735,15304.918130719227
120,,,,,140.0,2.948770277841998,15350.486607385434
121,,,,,141.0,2.9575384284129225,15396.05508405164
122,,,,,142.0,2.966306578983847,15441.623560717846
123,,,,,143.0,2.975074729554772,15487.192037384053
124,,,,,144.0,2.983842880125697,15532.760514050258
125,,,,,145.0,2.9926110306966214,15578.328990716465
126,,,,,146.0,3.001379181267546,15623.89746738267
127,,,,,147.0,3.0101473318384704,15669.465944048878
128,,,,,148.0,3.0189154824093953,15715.034420715085
129,,,,,149.0,3.0276836329803203,15760.60289738129
130,,,,,150.0,3.036451783551245,15806.171374047499
131,,,,,151.0,3.0452199341221693,15851.739850713704
132,,,,,152.0,3.053988084693094,15897.30832737991
133,,,,,153.0,3.0627562352640187,15942.876804046118
134,,,,,154.0,3.0715243858349437,15988.445280712323
135,,,,,155.0,3.080292536405868,16034.01375737853
136,,,,,156.0,3.0890606869767927,16079.582234044738
137,,,,,157.0,3.097828837547717,16125.150710710943
138,,,,,158.0,3.106596988118642,16170.71918737715
139,,,,,159.0,3.115365138689567,16216.287664043357
140,,,,,160.0,3.1241332892604916,16261.856140709562
141,,,,,161.0,3.132901439831416,16307.42461737577
142,,,,,162.0,3.1416695904023406,16352.993094041976
143,,,,,163.0,3.1504377409732656,16398.56157070818
144,,,,,164.0,3.1592058915441905,16444.13004737439
145,,,,,165.0,3.167974042115115,16489.698524040596
146,,,,,166.0,3.1767421926860395,16535.2670007068
147,,,,,167.0,3.185510343256964,16580.83547737301
148,,,,,168.0,3.194278493827889,16626.403954039215
149,,,,,169.0,3.203046644398814,16671.97243070542
150,,,,,170.0,3.2118147949697384,16717.540907371626
151,,,,,171.0,3.220582945540663,16763.109384037834
152,,,,,172.0,3.2293510961115874,16808.67786070404
153,,,,,173.0,3.2381192466825124,16854.24633737025
154,,,,,174.0,3.2468873972534373,16899.814814036454
155,,,,,175.0,3.255655547824362,16945.38329070266
156,,,,,176.0,3.2644236983952863,16990.951767368868
157,,,,,177.0,3.273191848966211,17036.520244035073
158,,,,,178.0,3.281959999537136,17082.08872070128
159,,,,,179.0,3.2907281501080607,17127.657197367487
160,,,,,180.0,3.2994963006789852,17173.225674033692
161,,,,,181.0,3.3082644512499098,17218.794150699898
162,,,,,182.0,3.3170326018208343,17264.362627366107
