,index,filepath,sci_ext_num,ROOTNAME,DATE-OBS,FILTER,PA_V3,SUBARRAY,POSTARG1,POSTARG2,EXPSTART,EXPTIME,IDCSCALE,ORIENTAT
0,0,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01juq/ie8a01juq_flt.fits,1,ie8a01juq,2020-02-11,F125W,257.169189,False,-28.613661,-32.611141,58890.37000088,349.232727,0.1282500028610229,-58.13986885272211
1,3,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01jvq/ie8a01jvq_flt.fits,1,ie8a01jvq,2020-02-11,G102,257.169189,False,-28.613661,-32.611141,58890.37443384,699.232483,0.1282500028610229,-58.13986885272211
2,11,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01jxq/ie8a01jxq_flt.fits,1,ie8a01jxq,2020-02-11,G102,257.169098,False,-27.26066,-31.40214,58890.38326458,699.232483,0.1282500028610229,-58.14010302100661
3,14,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01jyq/ie8a01jyq_flt.fits,1,ie8a01jyq,2020-02-11,G102,257.169006,False,-25.90766,-30.19314,58890.3920957,699.232483,0.1282500028610229,-58.14010302100661
4,7,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01k0q/ie8a01k0q_flt.fits,1,ie8a01k0q,2020-02-11,F125W,257.169189,False,-28.613661,-32.611141,58890.43630866,349.232727,0.1282500028610229,-58.13986885272211
5,17,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01k1q/ie8a01k1q_flt.fits,1,ie8a01k1q,2020-02-11,G102,257.169098,False,-27.596661,-32.248138,58890.4410657,699.232483,0.1282500028610229,-58.14010302100661
6,10,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01k3q/ie8a01k3q_flt.fits,1,ie8a01k3q,2020-02-11,G102,257.169098,False,-26.24366,-31.039141,58890.44989681,699.232483,0.1282500028610229,-58.14010302100661
7,6,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01k4q/ie8a01k4q_flt.fits,1,ie8a01k4q,2020-02-11,G102,257.169006,False,-24.890659,-29.827141,58890.45872755,599.232178,0.1282500028610229,-58.14010302100661
8,1,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xfq/ie8a02xfq_flt.fits,1,ie8a02xfq,2020-02-14,F140W,258.405701,False,-28.613661,-32.611141,58893.15022088,349.232727,0.1282500028610229,-56.90343900999653
9,20,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xgq/ie8a02xgq_flt.fits,1,ie8a02xgq,2020-02-14,G141,258.405701,False,-28.613661,-32.611141,58893.15466532,699.232483,0.1282500028610229,-56.90343900999653
10,12,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xiq/ie8a02xiq_flt.fits,1,ie8a02xiq,2020-02-14,G141,258.405701,False,-27.26066,-31.40214,58893.16349607,699.232483,0.1282500028610229,-56.90343900999653
11,13,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xjq/ie8a02xjq_flt.fits,1,ie8a02xjq,2020-02-14,G141,258.405609,False,-25.90766,-30.19314,58893.17232718,699.232483,0.1282500028610229,-56.9035318572074
12,2,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xlq/ie8a02xlq_flt.fits,1,ie8a02xlq,2020-02-14,F140W,258.405701,False,-28.613661,-32.611141,58893.21652866,349.232727,0.1282500028610229,-56.90343900999653
13,21,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xmq/ie8a02xmq_flt.fits,1,ie8a02xmq,2020-02-14,G141,258.405701,False,-27.596661,-32.248138,58893.2212857,699.232483,0.1282500028610229,-56.90343900999653
14,4,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xoq/ie8a02xoq_flt.fits,1,ie8a02xoq,2020-02-14,G141,258.405609,False,-26.24366,-31.039141,58893.23011644,699.232483,0.1282500028610229,-56.9035318572074
15,9,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xpq/ie8a02xpq_flt.fits,1,ie8a02xpq,2020-02-14,G141,258.405487,False,-24.890659,-29.827141,58893.23894755,599.232178,0.1282500028610229,-56.90367430361098
