,xyref,xgbound,dydx,dldp,xh,yh,ww
0,201.3387647130342,20,1.6002131354005238,8967.536347438676,20,1.7784411912179325,9882.798602479974
1,212.14741185492443,195,0.008911402790870437,45.76129576496578,21,1.7873525940088029,9928.561715232037
2,,,,,22.0,1.7962639967996734,9974.324827984103
3,,,,,23.0,1.805175399590544,10020.087940736168
4,,,,,24.0,1.8140868023814143,10065.851053488233
5,,,,,25.0,1.8229982051722846,10111.614166240297
6,,,,,26.0,1.8319096079631552,10157.377278992362
7,,,,,27.0,1.8408210107540257,10203.140391744428
8,,,,,28.0,1.849732413544896,10248.903504496493
9,,,,,29.0,1.8586438163357664,10294.666617248557
10,,,,,30.0,1.867555219126637,10340.429730000622
11,,,,,31.0,1.8764666219175075,10386.192842752687
12,,,,,32.0,1.8853780247083778,10431.955955504753
13,,,,,33.0,1.8942894274992481,10477.719068256816
14,,,,,34.0,1.9032008302901187,10523.482181008882
15,,,,,35.0,1.9121122330809892,10569.245293760947
16,,,,,36.0,1.9210236358718595,10615.00840651301
17,,,,,37.0,1.9299350386627299,10660.771519265076
18,,,,,38.0,1.9388464414536004,10706.534632017141
19,,,,,39.0,1.947757844244471,10752.297744769206
20,,,,,40.0,1.9566692470353413,10798.06085752127
21,,,,,41.0,1.9655806498262116,10843.823970273335
22,,,,,42.0,1.9744920526170822,10889.5870830254
23,,,,,43.0,1.9834034554079527,10935.350195777466
24,,,,,44.0,1.992314858198823,10981.11330852953
25,,,,,45.0,2.0012262609896934,11026.876421281595
26,,,,,46.0,2.010137663780564,11072.63953403366
27,,,,,47.0,2.0190490665714345,11118.402646785726
28,,,,,48.0,2.027960469362305,11164.16575953779
29,,,,,49.0,2.036871872153175,11209.928872289855
30,,,,,50.0,2.0457832749440454,11255.69198504192
31,,,,,51.0,2.054694677734916,11301.455097793983
32,,,,,52.0,2.0636060805257865,11347.218210546049
33,,,,,53.0,2.072517483316657,11392.981323298114
34,,,,,54.0,2.0814288861075276,11438.74443605018
35,,,,,55.0,2.090340288898398,11484.507548802245
36,,,,,56.0,2.0992516916892683,11530.270661554308
37,,,,,57.0,2.1081630944801386,11576.033774306374
38,,,,,58.0,2.117074497271009,11621.79688705844
39,,,,,59.0,2.1259859000618797,11667.559999810503
40,,,,,60.0,2.13489730285275,11713.323112562568
41,,,,,61.0,2.1438087056436204,11759.086225314633
42,,,,,62.0,2.152720108434491,11804.849338066699
43,,,,,63.0,2.1616315112253615,11850.612450818762
44,,,,,64.0,2.170542914016232,11896.375563570828
45,,,,,65.0,2.179454316807102,11942.138676322893
46,,,,,66.0,2.1883657195979724,11987.901789074958
47,,,,,67.0,2.197277122388843,12033.664901827022
48,,,,,68.0,2.2061885251797135,12079.428014579087
49,,,,,69.0,2.215099927970584,12125.191127331153
50,,,,,70.0,2.2240113307614546,12170.954240083218
51,,,,,71.0,2.232922733552325,12216.717352835281
52,,,,,72.0,2.2418341363431953,12262.480465587347
53,,,,,73.0,2.2507455391340656,12308.243578339412
54,,,,,74.0,2.259656941924936,12354.006691091476
55,,,,,75.0,2.2685683447158067,12399.769803843541
56,,,,,76.0,2.277479747506677,12445.532916595606
57,,,,,77.0,2.2863911502975474,12491.296029347672
58,,,,,78.0,2.295302553088418,12537.059142099735
59,,,,,79.0,2.3042139558792885,12582.8222548518
60,,,,,80.0,2.313125358670159,12628.585367603866
61,,,,,81.0,2.322036761461029,12674.34848035593
62,,,,,82.0,2.3309481642518994,12720.111593107995
63,,,,,83.0,2.33985956704277,12765.87470586006
64,,,,,84.0,2.3487709698336405,12811.637818612126
65,,,,,85.0,2.357682372624511,12857.40093136419
66,,,,,86.0,2.3665937754153816,12903.164044116254
67,,,,,87.0,2.375505178206252,12948.92715686832
68,,,,,88.0,2.3844165809971223,12994.690269620385
69,,,,,89.0,2.3933279837879926,13040.453382372449
70,,,,,90.0,2.402239386578863,13086.216495124514
71,,,,,91.0,2.4111507893697337,13131.97960787658
72,,,,,92.0,2.420062192160604,13177.742720628645
73,,,,,93.0,2.4289735949514744,13223.50583338071
74,,,,,94.0,2.437884997742345,13269.268946132774
75,,,,,95.0,2.4467964005332155,13315.032058884839
76,,,,,96.0,2.455707803324086,13360.795171636903
77,,,,,97.0,2.464619206114956,13406.558284388968
78,,,,,98.0,2.4735306089058264,13452.321397141033
79,,,,,99.0,2.482442011696697,13498.084509893099
80,,,,,100.0,2.4913534144875675,13543.847622645164
81,,,,,101.0,2.500264817278438,13589.61073539723
82,,,,,102.0,2.5091762200693086,13635.373848149293
83,,,,,103.0,2.518087622860179,13681.136960901356
84,,,,,104.0,2.5269990256510493,13726.900073653422
85,,,,,105.0,2.5359104284419196,13772.663186405487
86,,,,,106.0,2.54482183123279,13818.426299157552
87,,,,,107.0,2.5537332340236607,13864.189411909618
88,,,,,108.0,2.562644636814531,13909.952524661683
89,,,,,109.0,2.5715560396054014,13955.715637413747
90,,,,,110.0,2.580467442396272,14001.478750165812
91,,,,,111.0,2.5893788451871425,14047.241862917876
92,,,,,112.0,2.598290247978013,14093.00497566994
93,,,,,113.0,2.607201650768883,14138.768088422006
94,,,,,114.0,2.6161130535597534,14184.531201174072
95,,,,,115.0,2.625024456350624,14230.294313926137
96,,,,,116.0,2.6339358591414945,14276.057426678202
97,,,,,117.0,2.642847261932365,14321.820539430266
98,,,,,118.0,2.6517586647232356,14367.58365218233
99,,,,,119.0,2.660670067514106,14413.346764934395
100,,,,,120.0,2.6695814703049763,14459.10987768646
101,,,,,121.0,2.6784928730958466,14504.872990438525
