,Unnamed: 0,ww,cps,apcorr,drzblot_apcorr,sensitivity,wwperpix,flam,dateobs,flam_smooth
0,0,9880.737504922845,0.13773091906239765,0.9144437323656526,0.9528235293262453,1.0,45.53934160440258,0.003471164833425837,202001,0.0016916197072259212
0,0,9880.760854287331,0.2299713863398425,0.9144437238933848,0.8978949209676125,1.0,45.539190530904314,0.006150437337288863,201911,0.0016916197072259212
1,1,9926.276846527246,0.1385559665553786,0.9144437323656526,0.9528235293262453,1.0,45.5393416044044,0.003491958100929011,202001,0.0016916197072259212
1,1,9926.300044818236,0.20543608799236932,0.9144437238933848,0.8978949209676125,1.0,45.53919053090249,0.005494256507840925,201911,0.0016916197072259212
2,2,9971.81618813165,0.1027356016032912,0.9144437323656526,0.9528235293262453,32495714674779.37,45.53934160440258,7.967804460187194e-17,202001,0.0016916197072259212
2,2,9971.839235349138,0.201120473292052,0.9144437238933848,0.8978949209676125,32500912364664.89,45.539190530904314,1.6549806658468258e-16,201911,0.0016916197072259212
3,3,10017.355529736053,0.05160447233845966,0.9144437323656526,0.9528235293262453,42809599962838.91,45.5393416044044,3.038015350438563e-17,202001,0.0013760592678235817
3,3,10017.37842588004,0.10121879711407344,0.9144437238933848,0.8978949209676125,42813916375543.78,45.53919053090249,6.322784940279784e-17,201911,0.000816928600797326
4,4,10062.894871340457,0.09961815947224872,0.9144437323656526,0.9528235293262453,49905397449630.6,45.53934160440258,5.0307737554698696e-17,202001,0.0004994778643492435
4,4,10062.917616410943,0.08975992336529415,0.9144437238933848,0.8978949209676125,49907937467711.49,45.539190530904314,4.8099996601864297e-17,201911,7.405273532202775e-17
5,5,10108.43421294486,0.12890478247334736,0.9144437323656526,0.9528235293262453,53271506459935.41,45.5393416044044,6.09842719999693e-17,202001,7.518886573355237e-17
5,5,10108.456806941851,0.2103054298426501,0.9144437238933848,0.8978949209676125,53272865026629.59,45.539190530904314,1.0557877696304811e-16,201911,6.522630187561028e-17
6,6,10153.973554549264,0.10449954146077413,0.9144437323656526,0.9528235293262453,55853733698950.76,45.53934160440258,4.7152634932438765e-17,202001,7.053796405791791e-17
6,6,10153.995997472754,0.21521291866558712,0.9144437238933848,0.8978949209676125,55856496486175.23,45.53919053090249,1.0304498026612352e-16,201911,6.825162849557041e-17
7,7,10199.512896153668,0.1554443466060378,0.9144437323656526,0.9528235293262453,64617256935075.2,45.5393416044044,6.062757613042483e-17,202001,6.743928246569399e-17
7,7,10199.535188003656,0.2227313293482653,0.9144437238933848,0.8978949209676125,64624634551039.09,45.539190530904314,9.217547912864251e-17,201911,6.622105214239262e-17
8,8,10245.052237758073,0.1894411670558669,0.9144437323656526,0.9528235293262453,85394463688140.69,45.53934160440258,5.59098641473198e-17,202001,6.410531165452388e-17
8,8,10245.074378534558,0.2836056722666613,0.9144437238933848,0.8978949209676125,85406884215874.11,45.53919053090249,8.880843750976952e-17,201911,5.721394213158474e-17
9,9,10290.591579362474,0.17406507605244892,0.9144437323656526,0.9528235293262453,115207168240331.69,45.5393416044044,3.807815821697523e-17,202001,5.574065686418299e-17
9,9,10290.613569065465,0.17824123039501827,0.9144437238933848,0.8978949209676125,115221777894269.0,45.539190530904314,4.1371931226058175e-17,201911,4.806488114923482e-17
10,10,10336.130920966878,0.2012514697902419,0.9144437323656526,0.9528235293262453,146170623076780.38,45.53934160440258,3.4699463045549005e-17,202001,4.538684126846049e-17
10,10,10336.152759596369,0.20612929001110716,0.9144437238933848,0.8978949209676125,146184859581177.44,45.539190530904314,3.771112663341329e-17,201911,3.909243802221675e-17
11,11,10381.670262571279,0.2068622934215285,0.9144437323656526,0.9528235293262453,175102417000963.47,45.5393416044044,2.977371221071749e-17,202001,3.685325162987842e-17
11,11,10381.691950127271,0.20263311996716185,0.9144437238933848,0.8978949209676125,175118137798355.56,45.53919053090249,3.0946496991019676e-17,201911,3.100886777250713e-17
12,12,10427.209604175683,0.15687807673146506,0.9144437323656526,0.9528235293262453,212434915798424.28,45.53934160440258,1.8611447401693547e-17,202001,2.9774165491979504e-17
12,12,10427.231140658174,0.2476124538447253,0.9144437238933848,0.8978949209676125,212461329536570.4,45.539190530904314,3.116913744190727e-17,201911,2.7766272734353884e-17
13,13,10472.748945780088,0.2599711048000075,0.9144437323656526,0.9528235293262453,285648162621213.6,45.5393416044044,2.293704341996136e-17,202001,2.694239471639552e-17
13,13,10472.770331189078,0.33413109913128536,0.9144437238933848,0.8978949209676125,285692486526940.2,45.53919053090249,3.1278813831598106e-17,201911,2.5092801256833294e-17
14,14,10518.288287384492,0.3906283008449294,0.9144437323656526,0.9528235293262453,401497847275991.25,45.53934160440258,2.4520215078685295e-17,202001,2.4351698732922326e-17
14,14,10518.309521719979,0.3678072465922229,0.9144437238933848,0.8978949209676125,401559240361187.3,45.539190530904314,2.4496433131171384e-17,201911,2.3299370628268984e-17
15,15,10563.827628988896,0.4115615712993361,0.9144437323656526,0.9528235293262453,537844173154749.3,45.5393416044044,1.9285110892176317e-17,202001,2.3544135513251595e-17
15,15,10563.848712250883,0.5156355871226184,0.9144437238933848,0.8978949209676125,537911934996376.56,45.53919053090249,2.5636804848007028e-17,201911,2.2559666866624752e-17
16,16,10609.366970593299,0.4663629161708571,0.9144437323656526,0.9528235293262453,676827573701906.8,45.53934160440258,1.7365598578228813e-17,202001,2.21625764097284e-17
16,16,10609.387902781787,0.5472359432246081,0.9144437238933848,0.8978949209676125,676891862821788.5,45.539190530904314,2.1621584447696794e-17,201911,2.1012547095103374e-17
17,17,10654.9063121977,0.6404099094264724,0.9144437323656526,0.9528235293262453,833205846482447.6,45.5393416044044,1.937088783983296e-17,202001,2.0452988454775477e-17
17,17,10654.927093312692,0.6637704147364489,0.9144437238933848,0.8978949209676125,833281545208674.4,45.539190530904314,2.130386113650225e-17,201911,1.9951038986493936e-17
18,18,10700.445653802106,0.8796456682079055,0.9144437323656526,0.9528235293262453,1089935978770396.4,45.53934160440258,2.033998232901196e-17,202001,1.9711937494568227e-17
18,18,10700.466283843596,0.7568591608073107,0.9144437238933848,0.8978949209676125,1090078110064187.4,45.53919053090249,1.8569048394101508e-17,201911,1.896093648814972e-17
19,19,10745.984995406508,1.1437861549251296,0.9144437323656526,0.9528235293262453,1547429750034933.8,45.5393416044044,1.8628491370722846e-17,202001,1.8889230134226196e-17
19,19,10746.0054743745,1.062778450396239,0.9144437238933848,0.8978949209676125,1547684188459487.2,45.539190530904314,1.8365070035078404e-17,201911,1.834749680237551e-17
20,20,10791.524337010911,1.6677827464931227,0.9144437323656526,0.9528235293262453,2215142839259515.5,45.53934160440258,1.897498898007444e-17,202001,1.8048051620807712e-17
20,20,10791.544664905405,1.379689670946776,0.9144437238933848,0.8978949209676125,2215486533977462.8,45.539190530904314,1.6654994480993534e-17,201911,1.7554605719601302e-17
21,21,10837.063678615315,2.0501268731944777,0.9144437323656526,0.9528235293262453,2973581708852460.5,45.53934160440258,1.7375793777403432e-17,202001,1.7153011321928882e-17
21,21,10837.083855436309,1.8433162941004624,0.9144437238933848,0.8978949209676125,2973929080597331.5,45.53919053090249,1.6576828685070058e-17,201911,1.692858995844254e-17
22,22,10882.603020219718,2.2808239089839675,0.9144437323656526,0.9528235293262453,3670066817842374.5,45.5393416044044,1.5662517797339262e-17,202001,1.6661221033336925e-17
22,22,10882.62304596721,2.206378675844848,0.9144437238933848,0.8978949209676125,3670350016289967.0,45.539190530904314,1.6076990842587153e-17,201911,1.6428494464840592e-17
23,23,10928.142361824122,2.69059487456014,0.9144437323656526,0.9528235293262453,4271222637690239.0,45.5393416044044,1.5875956223231773e-17,202001,1.6094697007211287e-17
23,23,10928.162236498114,2.5430476440455316,0.9144437238933848,0.8978949209676125,4271466087475604.0,45.53919053090249,1.5922443954615305e-17,201911,1.5971208502154533e-17
24,24,10973.681703428529,3.123519264399312,0.9144437323656526,0.9528235293262453,4889348046268536.0,45.53934160440258,1.6100413395751714e-17,202001,1.5781760548736562e-17
24,24,10973.701427029016,2.8681105150248416,0.9144437238933848,0.8978949209676125,4889632139284190.0,45.539190530904314,1.568743319456115e-17,201911,1.5588923215200905e-17
25,25,11019.22104503293,3.5960449802272536,0.9338715953307394,0.9528235293262453,5614900842734292.0,45.53934160440258,1.580507778161873e-17,202001,1.5579492762782846e-17
25,25,11019.240617559919,3.2813232912089236,0.9338715953307396,0.8978949209676125,5615239681136027.0,45.539190530904314,1.5303216946152068e-17,201911,1.5409233348565917e-17
26,26,11064.760386637332,3.9839013444774367,0.9338715953307394,0.9587318943083244,6387662800753368.0,45.5393416044044,1.5296620925369225e-17,202001,1.5300092478073166e-17
26,26,11064.779808090825,3.7672934307124017,0.9338715953307394,0.9068433234946736,6387989942025338.0,45.53919053090249,1.5291866289805768e-17,201911,1.5133908553667504e-17
27,27,11110.299728241736,4.1817916261546815,0.9338715953307394,0.9651656278024944,7047741466315726.0,45.5393416044044,1.4455618016177823e-17,202001,1.5002001133704265e-17
27,27,11110.31899862173,4.275781489756287,0.9338715953307396,0.91685951773326,7047979200304941.0,45.539190530904314,1.5558782820740633e-17,201911,1.482713224492199e-17
28,28,11155.83906984614,4.385750256716511,0.9338715953307396,0.9679479492577376,7500722850748302.0,45.53934160440258,1.4204137286200914e-17,202001,1.4685209531208216e-17
28,28,11155.858189152632,4.35672114029187,0.9338715953307394,0.9306483567019792,7500868146154405.0,45.53919053090249,1.4675406647811514e-17,201911,1.4537937118947192e-17
29,29,11201.378411450545,4.525365792452595,0.9338715953307394,0.9705761835789576,7778626392736099.0,45.53934160440258,1.4094420786153024e-17,202001,1.4471080453994474e-17
29,29,11201.397379683534,4.550015784647644,0.9338715953307394,0.9388837596907506,7778714357744702.0,45.539190530904314,1.4649431776156088e-17,201911,1.4293758884363524e-17
30,30,11246.917753054946,4.532933913409017,0.9338715953307394,0.9723081187240984,7964542403893190.0,45.5393416044044,1.3763875417956135e-17,202001,1.423296900123944e-17
30,30,11246.93657021444,4.5561653150584105,0.9338715953307394,0.9443494152633992,7964610049467022.0,45.539190530904314,1.4243927930767225e-17,201911,1.3977765109184752e-17
31,31,11292.45709465935,4.618629537760516,0.9338715953307394,0.9771391786640179,8122588758060853.0,45.5393416044044,1.3683220411280809e-17,202001,1.392684527345318e-17
31,31,11292.475760745345,4.779973961260498,0.9338715953307396,0.950294193075886,8122652743924781.0,45.53919053090249,1.4561197610889305e-17,201911,1.3753618306987586e-17
32,32,11337.996436263755,4.616445146738789,0.9335343584781416,0.9823295462881544,8285797663682370.0,45.53934160440258,1.3341329023865307e-17,202001,1.3696738627270796e-17
32,32,11338.014951276245,4.650570370104492,0.9335341941484004,0.9576021790058828,8285867977377710.0,45.539190530904314,1.3786929301812911e-17,201911,1.3531346109219503e-17
33,33,11383.535777868157,4.5244702922694895,0.9331301746719172,0.9875758877821088,8454844887058566.0,45.53934160440258,1.2751540008139069e-17,202001,1.346600790889484e-17
33,33,11383.554141807152,4.738854504969299,0.9331300116830268,0.9667063570146112,8454910558288365.0,45.53919053090249,1.3644019093153604e-17,201911,1.3344594272422195e-17
34,34,11429.075119472558,4.626906715571186,0.9327259908656932,0.9915041961943872,8603348668121850.0,45.5393416044044,1.2769910016689984e-17,202001,1.3328607767023115e-17
34,34,11429.093332338052,4.7984571231867665,0.9327258292176532,0.9749111487561364,8603400950861709.0,45.539190530904314,1.346874430926833e-17,201911,1.3158171512245584e-17
35,35,11474.614461076962,4.71443017595937,0.9323218070594688,0.9936539710440796,8709855052175955.0,45.5393416044044,1.2830114077591867e-17,202001,1.3164875004015306e-17
35,35,11474.632522868955,4.730196453478516,0.9323216467522798,0.9805423859905108,8709886208157379.0,45.539190530904314,1.304515521438485e-17,201911,1.308490697616833e-17
36,36,11520.153802681367,4.781856261431477,0.9319176232532445,0.9948021988548528,8774529466055454.0,45.53934160440258,1.2908377929568127e-17,202001,1.3103574760366706e-17
36,36,11520.171713399859,4.948800541308105,0.9319174642869064,0.9838785858724736,8774551457261459.0,45.53919053090249,1.3507368851890927e-17,201911,1.3000542679844817e-17
37,37,11565.693144285771,4.740298949419758,0.93151343944702,0.9964823527101936,8839381690074802.0,45.53934160440258,1.2686398808336459e-17,202001,1.2986695769978376e-17
37,37,11565.710903930763,4.960710383799255,0.9315132818215328,0.9861730941965328,8839414613175685.0,45.539190530904314,1.3415067433332271e-17,201911,1.2888419274357956e-17
38,38,11611.232485890174,4.890687547861836,0.9311092556407958,0.9986088126073496,8948543786213926.0,45.5393416044044,1.2907280995496155e-17,202001,1.2847148359136735e-17
38,38,11611.250094461668,4.864407278444946,0.9311090993561594,0.989437602986726,8948598342534616.0,45.53919053090249,1.2956885634321212e-17,201911,1.2804549492358392e-17
39,39,11656.771827494578,4.834922395884297,0.9307050718345716,1.0003810240208348,9114750762407742.0,45.5393416044044,1.2510666207412815e-17,202001,1.2761680919131841e-17
39,39,11656.78928499257,4.839821077730835,0.9307049168907858,0.9929038193497564,9114823454919508.0,45.539190530904314,1.2617594008159134e-17,201911,1.2659260918854463e-17
40,40,11702.311169098984,4.898786626993916,0.9303008880283472,1.001232759666956,9322931864689694.0,45.53934160440258,1.2387702857443739e-17,202001,1.2632335647456562e-17
40,40,11702.328475523474,4.865005470659912,0.9303007344254124,0.99525238436741,9323016062594384.0,45.539190530904314,1.2376134010158424e-17,201911,1.2513511479295671e-17
41,41,11747.850510703383,5.093574606119891,0.9298967042221229,1.0015292597689118,9549385851882638.0,45.53934160440258,1.2576567679823065e-17,202001,1.2451020084195521e-17
41,41,11747.86766605438,5.012822843935669,0.9298965519600388,0.9967211959222292,9549469443738918.0,45.53919053090249,1.2436823624076085e-17,201911,1.23537919702998e-17
