,xyref,xgbound,dydx,dldp,xh,yh,ww
0,341.97032726526186,25,-1.3705664432950817,6411.056683333101,25,-1.0392123021036759,7023.294793120497
1,554.4913149374675,250,0.013254165647656233,24.48737360189765,26,-1.0259581364560195,7047.784317511993
2,,,,,27.0,-1.0127039708083634,7072.273841903489
3,,,,,28.0,-0.9994498051607072,7096.763366294985
4,,,,,29.0,-0.9861956395130509,7121.252890686481
5,,,,,30.0,-0.9729414738653948,7145.742415077977
6,,,,,31.0,-0.9596873082177385,7170.231939469472
7,,,,,32.0,-0.9464331425700823,7194.7214638609685
8,,,,,33.0,-0.933178976922426,7219.210988252464
9,,,,,34.0,-0.9199248112747698,7243.70051264396
10,,,,,35.0,-0.9066706456271136,7268.190037035456
11,,,,,36.0,-0.8934164799794573,7292.679561426952
12,,,,,37.0,-0.8801623143318011,7317.1690858184475
13,,,,,38.0,-0.8669081486841449,7341.658610209944
14,,,,,39.0,-0.8536539830364887,7366.148134601439
15,,,,,40.0,-0.8403998173888324,7390.637658992935
16,,,,,41.0,-0.8271456517411762,7415.127183384431
17,,,,,42.0,-0.8138914860935199,7439.616707775927
18,,,,,43.0,-0.8006373204458637,7464.106232167423
19,,,,,44.0,-0.7873831547982075,7488.595756558919
20,,,,,45.0,-0.7741289891505513,7513.085280950414
21,,,,,46.0,-0.760874823502895,7537.57480534191
22,,,,,47.0,-0.7476206578552388,7562.064329733406
23,,,,,48.0,-0.7343664922075825,7586.553854124902
24,,,,,49.0,-0.7211123265599263,7611.043378516398
25,,,,,50.0,-0.70785816091227,7635.532902907893
26,,,,,51.0,-0.6946039952646138,7660.022427299389
27,,,,,52.0,-0.6813498296169576,7684.511951690885
28,,,,,53.0,-0.6680956639693014,7709.0014760823815
29,,,,,54.0,-0.6548414983216452,7733.491000473877
30,,,,,55.0,-0.6415873326739889,7757.980524865373
31,,,,,56.0,-0.6283331670263327,7782.470049256868
32,,,,,57.0,-0.6150790013786764,7806.959573648364
33,,,,,58.0,-0.6018248357310202,7831.4490980398605
34,,,,,59.0,-0.588570670083364,7855.938622431357
35,,,,,60.0,-0.5753165044357078,7880.428146822852
36,,,,,61.0,-0.5620623387880516,7904.917671214348
37,,,,,62.0,-0.5488081731403953,7929.407195605843
38,,,,,63.0,-0.5355540074927391,7953.8967199973395
39,,,,,64.0,-0.5222998418450828,7978.386244388836
40,,,,,65.0,-0.5090456761974266,8002.875768780331
41,,,,,66.0,-0.49579151054977033,8027.365293171827
42,,,,,67.0,-0.4825373449021141,8051.854817563323
43,,,,,68.0,-0.46928317925445784,8076.344341954818
44,,,,,69.0,-0.4560290136068017,8100.833866346315
45,,,,,70.0,-0.44277484795914546,8125.323390737811
46,,,,,71.0,-0.4295206823114892,8149.812915129306
47,,,,,72.0,-0.41626651666383296,8174.302439520802
48,,,,,73.0,-0.4030123510161767,8198.791963912297
49,,,,,74.0,-0.38975818536852047,8223.281488303794
50,,,,,75.0,-0.3765040197208642,8247.77101269529
51,,,,,76.0,-0.3632498540732081,8272.260537086786
52,,,,,77.0,-0.34999568842555173,8296.75006147828
53,,,,,78.0,-0.3367415227778956,8321.239585869776
54,,,,,79.0,-0.32348735713023924,8345.729110261273
55,,,,,80.0,-0.3102331914825831,8370.218634652769
56,,,,,81.0,-0.29697902583492697,8394.708159044265
57,,,,,82.0,-0.2837248601872706,8419.197683435761
58,,,,,83.0,-0.2704706945396145,8443.687207827255
59,,,,,84.0,-0.2572165288919581,8468.176732218752
60,,,,,85.0,-0.24396236324430198,8492.666256610248
61,,,,,86.0,-0.23070819759664563,8517.155781001744
62,,,,,87.0,-0.2174540319489895,8541.64530539324
63,,,,,88.0,-0.20419986630133335,8566.134829784736
64,,,,,89.0,-0.190945700653677,8590.62435417623
65,,,,,90.0,-0.17769153500602086,8615.113878567727
66,,,,,91.0,-0.1644373693583645,8639.603402959223
67,,,,,92.0,-0.15118320371070837,8664.092927350719
68,,,,,93.0,-0.137929038063052,8688.582451742215
69,,,,,94.0,-0.12467487241539588,8713.07197613371
70,,,,,95.0,-0.11142070676773952,8737.561500525208
71,,,,,96.0,-0.09816654112008338,8762.051024916702
72,,,,,97.0,-0.08491237547242725,8786.540549308198
73,,,,,98.0,-0.07165820982477089,8811.030073699694
74,,,,,99.0,-0.058404044177114756,8835.51959809119
75,,,,,100.0,-0.0451498785294584,8860.009122482687
76,,,,,101.0,-0.03189571288180226,8884.49864687418
77,,,,,102.0,-0.018641547234145905,8908.988171265677
78,,,,,103.0,-0.00538738158648977,8933.477695657173
79,,,,,104.0,0.007866784061166587,8957.96722004867
80,,,,,105.0,0.021120949708822723,8982.456744440165
81,,,,,106.0,0.03437511535647886,9006.94626883166
82,,,,,107.0,0.047629281004135215,9031.435793223156
83,,,,,108.0,0.06088344665179135,9055.925317614652
84,,,,,109.0,0.07413761229944771,9080.414842006148
85,,,,,110.0,0.08739177794710384,9104.904366397644
86,,,,,111.0,0.1006459435947602,9129.39389078914
87,,,,,112.0,0.11390010924241634,9153.883415180637
88,,,,,113.0,0.12715427489007247,9178.372939572131
89,,,,,114.0,0.14040844053772883,9202.862463963627
90,,,,,115.0,0.15366260618538496,9227.351988355123
91,,,,,116.0,0.16691677183304132,9251.84151274662
92,,,,,117.0,0.18017093748069746,9276.331037138116
93,,,,,118.0,0.19342510312835381,9300.82056152961
94,,,,,119.0,0.20667926877600995,9325.310085921106
95,,,,,120.0,0.21993343442366609,9349.799610312602
96,,,,,121.0,0.23318760007132244,9374.289134704099
97,,,,,122.0,0.24644176571897858,9398.778659095595
98,,,,,123.0,0.25969593136663494,9423.26818348709
99,,,,,124.0,0.27295009701429107,9447.757707878585
100,,,,,125.0,0.28620426266194743,9472.247232270081
101,,,,,126.0,0.29945842830960356,9496.736756661578
102,,,,,127.0,0.3127125939572599,9521.226281053074
103,,,,,128.0,0.32596675960491606,9545.71580544457
104,,,,,129.0,0.3392209252525722,9570.205329836066
105,,,,,130.0,0.35247509090022855,9594.69485422756
106,,,,,131.0,0.3657292565478847,9619.184378619057
107,,,,,132.0,0.37898342219554104,9643.673903010553
108,,,,,133.0,0.3922375878431972,9668.163427402049
109,,,,,134.0,0.40549175349085353,9692.652951793545
110,,,,,135.0,0.41874591913850967,9717.14247618504
111,,,,,136.0,0.432000084786166,9741.632000576536
112,,,,,137.0,0.44525425043382216,9766.121524968032
113,,,,,138.0,0.4585084160814783,9790.611049359528
114,,,,,139.0,0.47176258172913466,9815.100573751024
115,,,,,140.0,0.4850167473767908,9839.590098142518
116,,,,,141.0,0.49827091302444715,9864.079622534016
117,,,,,142.0,0.5115250786721033,9888.56914692551
118,,,,,143.0,0.5247792443197596,9913.058671317007
119,,,,,144.0,0.5380334099674158,9937.548195708503
120,,,,,145.0,0.5512875756150719,9962.0377201
121,,,,,146.0,0.5645417412627283,9986.527244491495
122,,,,,147.0,0.5777959069103844,10011.01676888299
123,,,,,148.0,0.5910500725580408,10035.506293274486
124,,,,,149.0,0.6043042382056969,10059.995817665982
125,,,,,150.0,0.6175584038533533,10084.485342057478
126,,,,,151.0,0.6308125695010096,10108.974866448974
127,,,,,152.0,0.6440667351486655,10133.464390840469
128,,,,,153.0,0.6573209007963219,10157.953915231965
129,,,,,154.0,0.6705750664439782,10182.443439623461
130,,,,,155.0,0.6838292320916342,10206.932964014957
131,,,,,156.0,0.6970833977392905,10231.422488406453
132,,,,,157.0,0.7103375633869469,10255.912012797948
133,,,,,158.0,0.7235917290346032,10280.401537189446
134,,,,,159.0,0.7368458946822591,10304.89106158094
135,,,,,160.0,0.7501000603299155,10329.380585972436
136,,,,,161.0,0.7633542259775719,10353.870110363932
137,,,,,162.0,0.7766083916252278,10378.359634755428
138,,,,,163.0,0.7898625572728841,10402.849159146925
139,,,,,164.0,0.8031167229205405,10427.338683538419
140,,,,,165.0,0.8163708885681968,10451.828207929915
141,,,,,166.0,0.8296250542158528,10476.317732321411
142,,,,,167.0,0.8428792198635091,10500.807256712907
143,,,,,168.0,0.8561333855111655,10525.296781104404
144,,,,,169.0,0.8693875511588214,10549.786305495898
145,,,,,170.0,0.8826417168064777,10574.275829887396
146,,,,,171.0,0.8958958824541341,10598.76535427889
147,,,,,172.0,0.9091500481017905,10623.254878670386
148,,,,,173.0,0.9224042137494464,10647.744403061883
149,,,,,174.0,0.9356583793971027,10672.233927453377
150,,,,,175.0,0.9489125450447591,10696.723451844875
151,,,,,176.0,0.962166710692415,10721.21297623637
152,,,,,177.0,0.9754208763400714,10745.702500627865
153,,,,,178.0,0.9886750419877277,10770.192025019362
154,,,,,179.0,1.001929207635384,10794.681549410858
155,,,,,180.0,1.01518337328304,10819.171073802354
156,,,,,181.0,1.0284375389306963,10843.660598193848
157,,,,,182.0,1.0416917045783527,10868.150122585344
158,,,,,183.0,1.054945870226009,10892.63964697684
159,,,,,184.0,1.068200035873665,10917.129171368337
160,,,,,185.0,1.0814542015213213,10941.618695759833
161,,,,,186.0,1.0947083671689777,10966.108220151327
162,,,,,187.0,1.1079625328166336,10990.597744542825
163,,,,,188.0,1.12121669846429,11015.08726893432
164,,,,,189.0,1.1344708641119463,11039.576793325816
165,,,,,190.0,1.1477250297596027,11064.066317717312
166,,,,,191.0,1.1609791954072586,11088.555842108806
167,,,,,192.0,1.174233361054915,11113.045366500304
168,,,,,193.0,1.1874875267025713,11137.534890891799
169,,,,,194.0,1.2007416923502272,11162.024415283297
170,,,,,195.0,1.2139958579978836,11186.51393967479
171,,,,,196.0,1.22725002364554,11211.003464066287
172,,,,,197.0,1.2405041892931963,11235.492988457783
173,,,,,198.0,1.2537583549408522,11259.982512849278
174,,,,,199.0,1.2670125205885086,11284.472037240774
175,,,,,200.0,1.280266686236165,11308.96156163227
176,,,,,201.0,1.2935208518838208,11333.451086023766
177,,,,,202.0,1.3067750175314772,11357.940610415262
178,,,,,203.0,1.3200291831791335,11382.430134806757
179,,,,,204.0,1.33328334882679,11406.919659198255
180,,,,,205.0,1.3465375144744458,11431.409183589749
181,,,,,206.0,1.3597916801221022,11455.898707981245
182,,,,,207.0,1.3730458457697585,11480.388232372741
183,,,,,208.0,1.3863000114174149,11504.877756764236
184,,,,,209.0,1.3995541770650708,11529.367281155734
185,,,,,210.0,1.4128083427127271,11553.856805547228
186,,,,,211.0,1.4260625083603835,11578.346329938726
187,,,,,212.0,1.4393166740080394,11602.83585433022
188,,,,,213.0,1.4525708396556958,11627.325378721716
189,,,,,214.0,1.4658250053033521,11651.814903113212
190,,,,,215.0,1.4790791709510085,11676.304427504707
191,,,,,216.0,1.4923333365986644,11700.793951896203
192,,,,,217.0,1.5055875022463208,11725.2834762877
193,,,,,218.0,1.5188416678939771,11749.773000679195
194,,,,,219.0,1.532095833541633,11774.262525070691
195,,,,,220.0,1.5453499991892894,11798.752049462186
196,,,,,221.0,1.5586041648369457,11823.241573853684
197,,,,,222.0,1.571858330484602,11847.731098245178
198,,,,,223.0,1.585112496132258,11872.220622636674
199,,,,,224.0,1.5983666617799144,11896.71014702817
200,,,,,225.0,1.6116208274275707,11921.199671419665
201,,,,,226.0,1.6248749930752266,11945.689195811163
202,,,,,227.0,1.638129158722883,11970.178720202657
203,,,,,228.0,1.6513833243705394,11994.668244594155
204,,,,,229.0,1.6646374900181957,12019.15776898565
205,,,,,230.0,1.6778916556658516,12043.647293377146
206,,,,,231.0,1.691145821313508,12068.136817768642
207,,,,,232.0,1.7043999869611643,12092.626342160136
208,,,,,233.0,1.7176541526088203,12117.115866551632
209,,,,,234.0,1.7309083182564766,12141.605390943128
210,,,,,235.0,1.744162483904133,12166.094915334625
211,,,,,236.0,1.7574166495517893,12190.58443972612
212,,,,,237.0,1.7706708151994452,12215.073964117615
213,,,,,238.0,1.7839249808471016,12239.563488509113
214,,,,,239.0,1.797179146494758,12264.053012900607
215,,,,,240.0,1.8104333121424139,12288.542537292104
216,,,,,241.0,1.8236874777900702,12313.0320616836
217,,,,,242.0,1.8369416434377266,12337.521586075094
218,,,,,243.0,1.850195809085383,12362.011110466592
219,,,,,244.0,1.8634499747330389,12386.500634858086
220,,,,,245.0,1.8767041403806952,12410.990159249584
221,,,,,246.0,1.8899583060283516,12435.479683641079
222,,,,,247.0,1.903212471676008,12459.969208032575
223,,,,,248.0,1.9164666373236638,12484.458732424071
224,,,,,249.0,1.9297208029713202,12508.948256815565
