,xg,yg,halfdyup,halfdylow
0,143.38697,207.91485718239457,7,7
1,144.38697,207.92813932598312,7,7
2,145.38697,207.94142146957168,7,7
3,146.38697,207.95470361316026,7,7
4,147.38697,207.96798575674882,7,7
5,148.38697,207.98126790033737,7,7
6,149.38697,207.99455004392593,7,7
7,150.38697,208.00783218751448,7,7
8,151.38697,208.02111433110304,7,7
9,152.38697,208.03439647469162,7,7
10,153.38697,208.04767861828017,7,7
11,154.38697,208.06096076186873,7,7
12,155.38697,208.07424290545728,7,7
13,156.38697,208.08752504904584,7,7
14,157.38697,208.10080719263442,7,7
15,158.38697,208.11408933622297,7,7
16,159.38697,208.12737147981153,7,7
17,160.38697,208.14065362340008,7,7
18,161.38697,208.15393576698864,7,7
19,162.38697,208.1672179105772,7,7
20,163.38697,208.18050005416578,7,7
21,164.38697,208.19378219775433,7,7
22,165.38697,208.20706434134289,7,7
23,166.38697,208.22034648493144,7,7
24,167.38697,208.23362862852,7,7
25,168.38697,208.24691077210855,7,7
26,169.38697,208.26019291569713,7,7
27,170.38697,208.2734750592857,7,7
28,171.38697,208.28675720287424,7,7
29,172.38697,208.3000393464628,7,7
30,173.38697,208.31332149005135,7,7
31,174.38697,208.3266036336399,7,7
32,175.38697,208.3398857772285,7,7
33,176.38697,208.35316792081704,7,7
34,177.38697,208.3664500644056,7,7
35,178.38697,208.37973220799415,7,7
36,179.38697,208.3930143515827,7,7
37,180.38697,208.40629649517126,7,7
38,181.38697,208.41957863875984,7,7
39,182.38697,208.4328607823484,7,7
40,183.38697,208.44614292593695,7,7
41,184.38697,208.4594250695255,7,7
42,185.38697,208.47270721311406,7,7
43,186.38697,208.48598935670262,7,7
44,187.38697,208.4992715002912,7,7
45,188.38697,208.51255364387976,7,7
46,189.38697,208.5258357874683,7,7
47,190.38697,208.53911793105686,7,7
48,191.38697,208.55240007464542,7,7
49,192.38697,208.565682218234,7,7
50,193.38697,208.57896436182256,7,7
51,194.38697,208.5922465054111,7,7
52,195.38697,208.60552864899967,7,7
53,196.38697,208.61881079258822,7,7
54,197.38697,208.63209293617678,7,7
55,198.38697,208.64537507976536,7,7
56,199.38697,208.6586572233539,7,7
57,200.38697,208.67193936694247,7,7
58,201.38697,208.68522151053102,7,7
59,202.38697,208.69850365411958,7,7
60,203.38697,208.71178579770813,7,7
61,204.38697,208.72506794129671,7,7
62,205.38697,208.73835008488527,7,7
63,206.38697,208.75163222847382,7,7
64,207.38697,208.76491437206238,7,7
65,208.38697,208.77819651565093,7,7
66,209.38697,208.7914786592395,7,7
67,210.38697,208.80476080282807,7,7
68,211.38697,208.81804294641663,7,7
69,212.38697,208.83132509000518,7,7
70,213.38697,208.84460723359373,7,7
71,214.38697,208.8578893771823,7,7
72,215.38697,208.87117152077084,7,7
73,216.38697,208.88445366435943,7,7
74,217.38697,208.89773580794798,7,7
75,218.38697,208.91101795153654,7,7
76,219.38697,208.9243000951251,7,7
77,220.38697,208.93758223871365,7,7
78,221.38697,208.9508643823022,7,7
79,222.38697,208.96414652589078,7,7
80,223.38697,208.97742866947934,7,7
81,224.38697,208.9907108130679,7,7
82,225.38697,209.00399295665645,7,7
83,226.38697,209.017275100245,7,7
84,227.38697,209.03055724383356,7,7
85,228.38697,209.04383938742214,7,7
86,229.38697,209.0571215310107,7,7
87,230.38697,209.07040367459925,7,7
88,231.38697,209.0836858181878,7,7
89,232.38697,209.09696796177636,7,7
90,233.38697,209.11025010536494,7,7
91,234.38697,209.1235322489535,7,7
92,235.38697,209.13681439254205,7,7
93,236.38697,209.1500965361306,7,7
94,237.38697,209.16337867971916,7,7
95,238.38697,209.1766608233077,7,7
96,239.38697,209.1899429668963,7,7
97,240.38697,209.20322511048485,7,7
98,241.38697,209.2165072540734,7,7
99,242.38697,209.22978939766196,7,7
100,243.38697,209.24307154125052,7,7
101,244.38697,209.25635368483907,7,7
102,245.38697,209.26963582842765,7,7
103,246.38697,209.2829179720162,7,7
104,247.38697,209.29620011560476,7,7
105,248.38697,209.30948225919332,7,7
106,249.38697,209.32276440278187,7,7
107,250.38697,209.33604654637043,7,7
108,251.38697,209.349328689959,7,7
109,252.38697,209.36261083354756,7,7
110,253.38697,209.37589297713612,7,7
111,254.38697,209.38917512072467,7,7
112,255.38697,209.40245726431323,7,7
113,256.38697,209.41573940790178,7,7
114,257.38697,209.42902155149037,7,7
115,258.38697,209.44230369507892,7,7
116,259.38697,209.45558583866747,7,7
117,260.38697,209.46886798225603,7,7
118,261.38697,209.48215012584458,7,7
119,262.38697,209.49543226943314,7,7
120,263.38697,209.50871441302172,7,7
121,264.38697,209.52199655661028,7,7
122,265.38697,209.53527870019883,7,7
123,266.38697,209.54856084378739,7,7
124,267.38697,209.56184298737594,7,7
125,268.38697,209.57512513096452,7,7
126,269.38697,209.58840727455308,7,7
127,270.38697,209.60168941814163,7,7
128,271.38697,209.6149715617302,7,7
129,272.38697,209.62825370531874,7,7
130,273.38697,209.6415358489073,7,7
131,274.38697,209.65481799249588,7,7
132,275.38697,209.66810013608443,7,7
133,276.38697,209.681382279673,7,7
134,277.38697,209.69466442326154,7,7
135,278.38697,209.7079465668501,7,7
136,279.38697,209.72122871043865,7,7
137,280.38697,209.73451085402723,7,7
138,281.38697,209.7477929976158,7,7
139,282.38697,209.76107514120434,7,7
140,283.38697,209.7743572847929,7,7
141,284.38697,209.78763942838145,7,7
142,285.38697,209.80092157197,7,7
143,286.38697,209.8142037155586,7,7
144,287.38697,209.82748585914715,7,7
145,288.38697,209.8407680027357,7,7
146,289.38697,209.85405014632425,7,7
147,290.38697,209.8673322899128,7,7
148,291.38697,209.88061443350136,7,7
149,292.38697,209.89389657708995,7,7
150,293.38697,209.9071787206785,7,7
151,294.38697,209.92046086426706,7,7
152,295.38697,209.9337430078556,7,7
153,296.38697,209.94702515144417,7,7
154,297.38697,209.96030729503272,7,7
155,298.38697,209.9735894386213,7,7
156,299.38697,209.98687158220986,7,7
157,300.38697,210.0001537257984,7,7
158,301.38697,210.01343586938697,7,7
159,302.38697,210.02671801297552,7,7
160,303.38697,210.04000015656408,7,7
161,304.38697,210.05328230015266,7,7
162,305.38697,210.0665644437412,7,7
163,306.38697,210.07984658732977,7,7
164,307.38697,210.09312873091832,7,7
165,308.38697,210.10641087450688,7,7
166,309.38697,210.11969301809546,7,7
167,310.38697,210.13297516168402,7,7
168,311.38697,210.14625730527257,7,7
169,312.38697,210.15953944886112,7,7
170,313.38697,210.17282159244968,7,7
171,314.38697,210.18610373603823,7,7
172,315.38697,210.19938587962682,7,7
173,316.38697,210.21266802321537,7,7
174,317.38697,210.22595016680393,7,7
175,318.38697,210.23923231039248,7,7
176,319.38697,210.25251445398104,7,7
177,320.38697,210.2657965975696,7,7
