,xg,yg,halfdyup,halfdylow
0,217.16702,246.9349119926951,7,7
1,218.16702,246.9479299265303,7,7
2,219.16702,246.96094786036545,7,7
3,220.16702,246.9739657942006,7,7
4,221.16702,246.9869837280358,7,7
5,222.16702,247.00000166187095,7,7
6,223.16702,247.0130195957061,7,7
7,224.16702,247.0260375295413,7,7
8,225.16702,247.03905546337646,7,7
9,226.16702,247.05207339721161,7,7
10,227.16702,247.0650913310468,7,7
11,228.16702,247.07810926488196,7,7
12,229.16702,247.09112719871712,7,7
13,230.16702,247.1041451325523,7,7
14,231.16702,247.11716306638746,7,7
15,232.16702,247.13018100022262,7,7
16,233.16702,247.1431989340578,7,7
17,234.16702,247.15621686789297,7,7
18,235.16702,247.16923480172815,7,7
19,236.16702,247.1822527355633,7,7
20,237.16702,247.19527066939847,7,7
21,238.16702,247.20828860323365,7,7
22,239.16702,247.2213065370688,7,7
23,240.16702,247.23432447090397,7,7
24,241.16702,247.24734240473916,7,7
25,242.16702,247.26036033857432,7,7
26,243.16702,247.27337827240947,7,7
27,244.16702,247.28639620624466,7,7
28,245.16702,247.29941414007982,7,7
29,246.16702,247.31243207391498,7,7
30,247.16702,247.32545000775016,7,7
31,248.16702,247.33846794158532,7,7
32,249.16702,247.35148587542048,7,7
33,250.16702,247.36450380925567,7,7
34,251.16702,247.37752174309082,7,7
35,252.16702,247.39053967692598,7,7
36,253.16702,247.40355761076117,7,7
37,254.16702,247.41657554459633,7,7
38,255.16702,247.4295934784315,7,7
39,256.16702,247.44261141226667,7,7
40,257.16702,247.45562934610183,7,7
41,258.16702,247.46864727993702,7,7
42,259.16702,247.48166521377217,7,7
43,260.16702,247.49468314760733,7,7
44,261.16702,247.50770108144252,7,7
45,262.16702,247.52071901527768,7,7
46,263.16702,247.53373694911284,7,7
47,264.16702,247.54675488294802,7,7
48,265.16702,247.55977281678318,7,7
49,266.16702,247.57279075061834,7,7
50,267.16702,247.58580868445353,7,7
51,268.16702,247.59882661828868,7,7
52,269.16702,247.61184455212384,7,7
53,270.16702,247.62486248595903,7,7
54,271.16702,247.6378804197942,7,7
55,272.16702,247.65089835362934,7,7
56,273.16702,247.66391628746453,7,7
57,274.16702,247.6769342212997,7,7
58,275.16702,247.68995215513488,7,7
59,276.16702,247.70297008897003,7,7
60,277.16702,247.7159880228052,7,7
61,278.16702,247.72900595664038,7,7
62,279.16702,247.74202389047554,7,7
63,280.16702,247.7550418243107,7,7
64,281.16702,247.76805975814588,7,7
65,282.16702,247.78107769198104,7,7
66,283.16702,247.7940956258162,7,7
67,284.16702,247.80711355965138,7,7
68,285.16702,247.82013149348654,7,7
69,286.16702,247.8331494273217,7,7
70,287.16702,247.8461673611569,7,7
71,288.16702,247.85918529499205,7,7
72,289.16702,247.8722032288272,7,7
73,290.16702,247.8852211626624,7,7
74,291.16702,247.89823909649755,7,7
75,292.16702,247.91125703033273,7,7
76,293.16702,247.9242749641679,7,7
77,294.16702,247.93729289800305,7,7
78,295.16702,247.95031083183824,7,7
79,296.16702,247.9633287656734,7,7
80,297.16702,247.97634669950855,7,7
81,298.16702,247.98936463334374,7,7
82,299.16702,248.0023825671789,7,7
83,300.16702,248.01540050101406,7,7
84,301.16702,248.02841843484924,7,7
85,302.16702,248.0414363686844,7,7
86,303.16702,248.05445430251956,7,7
87,304.16702,248.06747223635475,7,7
