,xyref,xgbound,dydx,dldp,xh,yh,ww
0,213.2664425312598,25,-0.9117612366944665,6391.973614528848,25,-0.5877235916686248,6995.676537288719
1,266.34103854626767,250,0.012961505801033668,24.1460887164858,26,-0.5747620858675911,7019.824654199115
2,,,,,27.0,-0.5618005800665575,7043.972771109509
3,,,,,28.0,-0.5488390742655238,7068.120888019905
4,,,,,29.0,-0.5358775684644901,7092.269004930299
5,,,,,30.0,-0.5229160626634565,7116.417121840694
6,,,,,31.0,-0.5099545568624229,7140.565238751089
7,,,,,32.0,-0.49699305106138914,7164.713355661484
8,,,,,33.0,-0.48403154526035547,7188.861472571879
9,,,,,34.0,-0.4710700394593218,7213.009589482273
10,,,,,35.0,-0.45810853365828813,7237.157706392669
11,,,,,36.0,-0.44514702785725446,7261.305823303063
12,,,,,37.0,-0.4321855220562208,7285.453940213458
13,,,,,38.0,-0.4192240162551871,7309.602057123853
14,,,,,39.0,-0.4062625104541535,7333.750174034248
15,,,,,40.0,-0.3933010046531198,7357.898290944643
16,,,,,41.0,-0.38033949885208607,7382.046407855038
17,,,,,42.0,-0.36737799305105245,7406.194524765432
18,,,,,43.0,-0.35441648725001884,7430.3426416758275
19,,,,,44.0,-0.3414549814489851,7454.490758586222
20,,,,,45.0,-0.3284934756479514,7478.638875496617
21,,,,,46.0,-0.3155319698469178,7502.786992407012
22,,,,,47.0,-0.30257046404588417,7526.935109317406
23,,,,,48.0,-0.28960895824485045,7551.083226227802
24,,,,,49.0,-0.2766474524438167,7575.231343138196
25,,,,,50.0,-0.2636859466427831,7599.379460048592
26,,,,,51.0,-0.2507244408417495,7623.527576958986
27,,,,,52.0,-0.23776293504071577,7647.675693869382
28,,,,,53.0,-0.22480142923968205,7671.823810779776
29,,,,,54.0,-0.21183992343864844,7695.971927690171
30,,,,,55.0,-0.19887841763761482,7720.120044600566
31,,,,,56.0,-0.1859169118365811,7744.26816151096
32,,,,,57.0,-0.17295540603554738,7768.416278421356
33,,,,,58.0,-0.15999390023451376,7792.56439533175
34,,,,,59.0,-0.14703239443348015,7816.712512242146
35,,,,,60.0,-0.13407088863244643,7840.86062915254
36,,,,,61.0,-0.1211093828314127,7865.008746062935
37,,,,,62.0,-0.10814787703037909,7889.15686297333
38,,,,,63.0,-0.09518637122934548,7913.304979883725
39,,,,,64.0,-0.08222486542831176,7937.453096794119
40,,,,,65.0,-0.06926335962727803,7961.6012137045145
41,,,,,66.0,-0.05630185382624442,7985.749330614909
42,,,,,67.0,-0.043340348025210806,8009.897447525304
43,,,,,68.0,-0.030378842224177083,8034.045564435699
44,,,,,69.0,-0.01741733642314336,8058.193681346094
45,,,,,70.0,-0.0044558306221097466,8082.341798256489
46,,,,,71.0,0.008505675178923866,8106.489915166883
47,,,,,72.0,0.02146718097995759,8130.638032077279
48,,,,,73.0,0.03442868678099131,8154.786148987673
49,,,,,74.0,0.047390192582024926,8178.934265898069
50,,,,,75.0,0.06035169838305854,8203.082382808463
51,,,,,76.0,0.07331320418409226,8227.230499718858
52,,,,,77.0,0.08627470998512599,8251.378616629252
53,,,,,78.0,0.09923621578615949,8275.526733539647
54,,,,,79.0,0.11219772158719321,8299.674850450043
55,,,,,80.0,0.12515922738822693,8323.822967360438
56,,,,,81.0,0.13812073318926066,8347.971084270832
57,,,,,82.0,0.15108223899029438,8372.119201181227
58,,,,,83.0,0.16404374479132788,8396.267318091623
59,,,,,84.0,0.1770052505923616,8420.415435002016
60,,,,,85.0,0.18996675639339533,8444.563551912412
61,,,,,86.0,0.20292826219442883,8468.711668822807
62,,,,,87.0,0.21588976799546256,8492.859785733202
63,,,,,88.0,0.22885127379649628,8517.007902643596
64,,,,,89.0,0.24181277959753,8541.156019553991
65,,,,,90.0,0.2547742853985637,8565.304136464387
66,,,,,91.0,0.26773579119959723,8589.45225337478
67,,,,,92.0,0.28069729700063095,8613.600370285176
68,,,,,93.0,0.2936588028016647,8637.748487195571
69,,,,,94.0,0.3066203086026982,8661.896604105965
70,,,,,95.0,0.3195818144037319,8686.04472101636
71,,,,,96.0,0.3325433202047656,8710.192837926756
72,,,,,97.0,0.34550482600579935,8734.34095483715
73,,,,,98.0,0.35846633180683307,8758.489071747545
74,,,,,99.0,0.3714278376078666,8782.63718865794
75,,,,,100.0,0.3843893434089003,8806.785305568335
76,,,,,101.0,0.397350849209934,8830.93342247873
77,,,,,102.0,0.4103123550109675,8855.081539389124
78,,,,,103.0,0.42327386081200125,8879.22965629952
79,,,,,104.0,0.43623536661303497,8903.377773209915
80,,,,,105.0,0.4491968724140687,8927.525890120309
81,,,,,106.0,0.4621583782151024,8951.674007030704
82,,,,,107.0,0.4751198840161359,8975.8221239411
83,,,,,108.0,0.48808138981716964,8999.970240851493
84,,,,,109.0,0.5010428956182034,9024.118357761889
85,,,,,110.0,0.5140044014192369,9048.266474672284
86,,,,,111.0,0.5269659072202706,9072.414591582678
87,,,,,112.0,0.5399274130213043,9096.562708493073
88,,,,,113.0,0.552888918822338,9120.710825403468
89,,,,,114.0,0.5658504246233718,9144.858942313864
90,,,,,115.0,0.5788119304244053,9169.007059224257
91,,,,,116.0,0.591773436225439,9193.155176134653
92,,,,,117.0,0.6047349420264727,9217.303293045048
93,,,,,118.0,0.6176964478275062,9241.451409955444
94,,,,,119.0,0.6306579536285399,9265.599526865837
95,,,,,120.0,0.6436194594295737,9289.747643776233
96,,,,,121.0,0.6565809652306074,9313.895760686628
97,,,,,122.0,0.6695424710316411,9338.043877597021
98,,,,,123.0,0.6825039768326746,9362.191994507417
99,,,,,124.0,0.6954654826337083,9386.340111417812
100,,,,,125.0,0.708426988434742,9410.488228328206
101,,,,,126.0,0.7213884942357756,9434.636345238601
102,,,,,127.0,0.7343500000368093,9458.784462148997
103,,,,,128.0,0.747311505837843,9482.93257905939
104,,,,,129.0,0.7602730116388767,9507.080695969786
105,,,,,130.0,0.7732345174399105,9531.228812880181
106,,,,,131.0,0.786196023240944,9555.376929790576
107,,,,,132.0,0.7991575290419777,9579.52504670097
108,,,,,133.0,0.8121190348430114,9603.673163611365
109,,,,,134.0,0.8250805406440449,9627.82128052176
110,,,,,135.0,0.8380420464450786,9651.969397432156
111,,,,,136.0,0.8510035522461123,9676.11751434255
112,,,,,137.0,0.8639650580471461,9700.265631252945
113,,,,,138.0,0.8769265638481798,9724.41374816334
114,,,,,139.0,0.8898880696492133,9748.561865073734
115,,,,,140.0,0.902849575450247,9772.70998198413
116,,,,,141.0,0.9158110812512807,9796.858098894525
117,,,,,142.0,0.9287725870523142,9821.006215804919
118,,,,,143.0,0.941734092853348,9845.154332715314
119,,,,,144.0,0.9546955986543817,9869.30244962571
120,,,,,145.0,0.9676571044554154,9893.450566536103
121,,,,,146.0,0.9806186102564491,9917.598683446498
122,,,,,147.0,0.9935801160574826,9941.746800356894
123,,,,,148.0,1.0065416218585164,9965.89491726729
124,,,,,149.0,1.01950312765955,9990.043034177685
125,,,,,150.0,1.0324646334605836,10014.191151088078
126,,,,,151.0,1.0454261392616173,10038.339267998474
127,,,,,152.0,1.058387645062651,10062.487384908869
128,,,,,153.0,1.0713491508636848,10086.635501819263
129,,,,,154.0,1.0843106566647185,10110.783618729658
130,,,,,155.0,1.0972721624657522,10134.931735640053
131,,,,,156.0,1.1102336682667855,10159.079852550447
132,,,,,157.0,1.1231951740678192,10183.227969460842
133,,,,,158.0,1.136156679868853,10207.376086371238
134,,,,,159.0,1.1491181856698867,10231.524203281631
135,,,,,160.0,1.1620796914709204,10255.672320192027
136,,,,,161.0,1.175041197271954,10279.820437102422
137,,,,,162.0,1.1880027030729878,10303.968554012816
138,,,,,163.0,1.2009642088740216,10328.116670923211
139,,,,,164.0,1.2139257146750553,10352.264787833607
140,,,,,165.0,1.2268872204760886,10376.412904744002
141,,,,,166.0,1.2398487262771223,10400.561021654397
142,,,,,167.0,1.252810232078156,10424.709138564791
