,xyref,xgbound,dydx,dldp,xh,yh,ww
0,192.81532,20,1.5296691303597418,8966.934704837762,20,1.7083631624501951,9884.377335514804
1,246.72501,195,0.008934701604522664,45.870300682733024,21,1.7172978640547178,9930.249467048656
2,,,,,22.0,1.7262325656592403,9976.12159858251
3,,,,,23.0,1.735167267263763,10021.99373011636
4,,,,,24.0,1.7441019688682857,10067.865861650213
5,,,,,25.0,1.7530366704728084,10113.737993184066
6,,,,,26.0,1.7619713720773311,10159.610124717918
7,,,,,27.0,1.7709060736818538,10205.48225625177
8,,,,,28.0,1.7798407752863765,10251.354387785621
9,,,,,29.0,1.788775476890899,10297.226519319474
10,,,,,30.0,1.7977101784954217,10343.098650853326
11,,,,,31.0,1.8066448800999444,10388.970782387178
12,,,,,32.0,1.815579581704467,10434.84291392103
13,,,,,33.0,1.8245142833089898,10480.715045454883
14,,,,,34.0,1.8334489849135125,10526.587176988734
15,,,,,35.0,1.8423836865180352,10572.459308522586
16,,,,,36.0,1.8513183881225577,10618.331440056438
17,,,,,37.0,1.8602530897270804,10664.203571590291
18,,,,,38.0,1.869187791331603,10710.075703124143
19,,,,,39.0,1.8781224929361258,10755.947834657994
20,,,,,40.0,1.8870571945406485,10801.819966191846
21,,,,,41.0,1.895991896145171,10847.6920977257
22,,,,,42.0,1.9049265977496939,10893.564229259551
23,,,,,43.0,1.9138612993542163,10939.436360793403
24,,,,,44.0,1.922796000958739,10985.308492327254
25,,,,,45.0,1.9317307025632617,11031.180623861108
26,,,,,46.0,1.9406654041677844,11077.05275539496
27,,,,,47.0,1.9496001057723071,11122.924886928811
28,,,,,48.0,1.9585348073768296,11168.797018462665
29,,,,,49.0,1.9674695089813523,11214.669149996516
30,,,,,50.0,1.976404210585875,11260.541281530368
31,,,,,51.0,1.9853389121903977,11306.41341306422
32,,,,,52.0,1.9942736137949204,11352.285544598071
33,,,,,53.0,2.003208315399443,11398.157676131925
34,,,,,54.0,2.012143017003966,11444.029807665776
35,,,,,55.0,2.0210777186084883,11489.901939199628
36,,,,,56.0,2.030012420213011,11535.774070733481
37,,,,,57.0,2.0389471218175337,11581.646202267333
38,,,,,58.0,2.047881823422056,11627.518333801185
39,,,,,59.0,2.056816525026579,11673.390465335036
40,,,,,60.0,2.0657512266311016,11719.26259686889
41,,,,,61.0,2.0746859282356245,11765.134728402742
42,,,,,62.0,2.083620629840147,11811.006859936593
43,,,,,63.0,2.09255533144467,11856.878991470447
44,,,,,64.0,2.1014900330491924,11902.751123004298
45,,,,,65.0,2.110424734653715,11948.62325453815
46,,,,,66.0,2.1193594362582377,11994.495386072002
47,,,,,67.0,2.1282941378627602,12040.367517605853
48,,,,,68.0,2.137228839467283,12086.239649139707
49,,,,,69.0,2.1461635410718056,12132.111780673558
50,,,,,70.0,2.1550982426763285,12177.98391220741
51,,,,,71.0,2.164032944280851,12223.856043741263
52,,,,,72.0,2.1729676458853735,12269.728175275115
53,,,,,73.0,2.1819023474898964,12315.600306808967
54,,,,,74.0,2.190837049094419,12361.472438342818
55,,,,,75.0,2.199771750698942,12407.344569876672
56,,,,,76.0,2.2087064523034643,12453.216701410523
57,,,,,77.0,2.217641153907987,12499.088832944375
58,,,,,78.0,2.2265758555125097,12544.960964478227
59,,,,,79.0,2.235510557117032,12590.83309601208
60,,,,,80.0,2.244445258721555,12636.705227545932
61,,,,,81.0,2.2533799603260776,12682.577359079783
62,,,,,82.0,2.2623146619306,12728.449490613635
63,,,,,83.0,2.271249363535123,12774.321622147489
64,,,,,84.0,2.280184065139646,12820.19375368134
65,,,,,85.0,2.2891187667441684,12866.065885215192
66,,,,,86.0,2.298053468348691,12911.938016749044
67,,,,,87.0,2.3069881699532138,12957.810148282897
68,,,,,88.0,2.3159228715577362,13003.682279816749
69,,,,,89.0,2.3248575731622587,13049.5544113506
70,,,,,90.0,2.3337922747667816,13095.426542884452
71,,,,,91.0,2.3427269763713046,13141.298674418304
72,,,,,92.0,2.351661677975827,13187.170805952157
73,,,,,93.0,2.3605963795803495,13233.04293748601
74,,,,,94.0,2.3695310811848724,13278.915069019862
75,,,,,95.0,2.378465782789395,13324.787200553714
76,,,,,96.0,2.3874004843939174,13370.659332087565
77,,,,,97.0,2.3963351859984403,13416.531463621417
78,,,,,98.0,2.405269887602963,13462.403595155269
79,,,,,99.0,2.4142045892074857,13508.27572668912
80,,,,,100.0,2.423139290812008,13554.147858222976
81,,,,,101.0,2.432073992416531,13600.019989756827
82,,,,,102.0,2.4410086940210536,13645.892121290679
83,,,,,103.0,2.449943395625576,13691.76425282453
84,,,,,104.0,2.458878097230099,13737.636384358382
85,,,,,105.0,2.4678127988346215,13783.508515892234
86,,,,,106.0,2.4767475004391444,13829.380647426087
87,,,,,107.0,2.485682202043667,13875.252778959939
88,,,,,108.0,2.4946169036481898,13921.124910493792
89,,,,,109.0,2.5035516052527123,13966.997042027644
90,,,,,110.0,2.5124863068572347,14012.869173561496
91,,,,,111.0,2.5214210084617577,14058.741305095347
92,,,,,112.0,2.53035571006628,14104.613436629199
93,,,,,113.0,2.5392904116708026,14150.48556816305
94,,,,,114.0,2.5482251132753255,14196.357699696904
95,,,,,115.0,2.5571598148798484,14242.229831230756
