,xyref,xgbound,dydx,dldp,xh,yh,ww
0,343.71871921877715,20,0.9189517642105245,8984.641583545466,20,1.1031301257164,9920.115616167903
1,553.1280707812228,195,0.009208918075293771,46.771718454735264,21,1.1123390437916938,9966.889317799025
2,,,,,22.0,1.1215479618669875,10013.663019430145
3,,,,,23.0,1.1307568799422811,10060.436721061267
4,,,,,24.0,1.139965798017575,10107.21042269239
5,,,,,25.0,1.1491747160928687,10153.984124323511
6,,,,,26.0,1.1583836341681626,10200.757825954634
7,,,,,27.0,1.1675925522434563,10247.531527585754
8,,,,,28.0,1.1768014703187502,10294.305229216876
9,,,,,29.0,1.1860103883940438,10341.078930847998
10,,,,,30.0,1.1952193064693377,10387.85263247912
11,,,,,31.0,1.2044282245446314,10434.626334110242
12,,,,,32.0,1.213637142619925,10481.400035741364
13,,,,,33.0,1.222846060695219,10528.173737372486
14,,,,,34.0,1.2320549787705128,10574.947439003607
15,,,,,35.0,1.2412638968458065,10621.721140634729
16,,,,,36.0,1.2504728149211002,10668.49484226585
17,,,,,37.0,1.259681732996394,10715.268543896973
18,,,,,38.0,1.2688906510716877,10762.042245528093
19,,,,,39.0,1.2780995691469816,10808.815947159215
20,,,,,40.0,1.2873084872222753,10855.589648790337
21,,,,,41.0,1.296517405297569,10902.36335042146
22,,,,,42.0,1.3057263233728629,10949.137052052582
23,,,,,43.0,1.3149352414481568,10995.910753683704
24,,,,,44.0,1.3241441595234504,11042.684455314826
25,,,,,45.0,1.333353077598744,11089.458156945948
26,,,,,46.0,1.342561995674038,11136.231858577068
27,,,,,47.0,1.3517709137493317,11183.00556020819
28,,,,,48.0,1.3609798318246256,11229.779261839312
29,,,,,49.0,1.3701887498999192,11276.552963470434
30,,,,,50.0,1.3793976679752131,11323.326665101555
31,,,,,51.0,1.3886065860505068,11370.100366732677
32,,,,,52.0,1.3978155041258007,11416.874068363799
33,,,,,53.0,1.4070244222010944,11463.647769994921
34,,,,,54.0,1.416233340276388,11510.421471626043
35,,,,,55.0,1.425442258351682,11557.195173257165
36,,,,,56.0,1.4346511764269758,11603.968874888287
37,,,,,57.0,1.4438600945022695,11650.742576519408
38,,,,,58.0,1.4530690125775632,11697.51627815053
39,,,,,59.0,1.4622779306528568,11744.289979781652
40,,,,,60.0,1.4714868487281507,11791.063681412774
41,,,,,61.0,1.4806957668034446,11837.837383043896
42,,,,,62.0,1.4899046848787383,11884.611084675016
43,,,,,63.0,1.499113602954032,11931.384786306138
44,,,,,64.0,1.5083225210293258,11978.15848793726
45,,,,,65.0,1.5175314391046197,12024.932189568382
46,,,,,66.0,1.5267403571799134,12071.705891199505
47,,,,,67.0,1.535949275255207,12118.479592830627
48,,,,,68.0,1.545158193330501,12165.253294461749
49,,,,,69.0,1.5543671114057949,12212.026996092869
50,,,,,70.0,1.5635760294810885,12258.800697723991
51,,,,,71.0,1.5727849475563822,12305.574399355113
52,,,,,72.0,1.5819938656316759,12352.348100986235
53,,,,,73.0,1.5912027837069698,12399.121802617357
54,,,,,74.0,1.6004117017822637,12445.895504248478
55,,,,,75.0,1.6096206198575573,12492.6692058796
56,,,,,76.0,1.618829537932851,12539.442907510722
57,,,,,77.0,1.628038456008145,12586.216609141844
58,,,,,78.0,1.6372473740834388,12632.990310772966
59,,,,,79.0,1.6464562921587325,12679.764012404088
60,,,,,80.0,1.6556652102340261,12726.53771403521
61,,,,,81.0,1.6648741283093198,12773.31141566633
62,,,,,82.0,1.6740830463846137,12820.085117297453
63,,,,,83.0,1.6832919644599076,12866.858818928575
64,,,,,84.0,1.6925008825352013,12913.632520559697
65,,,,,85.0,1.701709800610495,12960.406222190817
66,,,,,86.0,1.7109187186857888,13007.17992382194
67,,,,,87.0,1.7201276367610827,13053.953625453061
68,,,,,88.0,1.7293365548363764,13100.727327084183
69,,,,,89.0,1.73854547291167,13147.501028715305
70,,,,,90.0,1.747754390986964,13194.274730346428
71,,,,,91.0,1.7569633090622576,13241.04843197755
72,,,,,92.0,1.7661722271375515,13287.82213360867
73,,,,,93.0,1.7753811452128452,13334.595835239792
74,,,,,94.0,1.7845900632881389,13381.369536870914
75,,,,,95.0,1.7937989813634327,13428.143238502036
76,,,,,96.0,1.8030078994387266,13474.916940133156
77,,,,,97.0,1.8122168175140203,13521.690641764279
78,,,,,98.0,1.821425735589314,13568.4643433954
79,,,,,99.0,1.8306346536646079,13615.238045026523
80,,,,,100.0,1.8398435717399018,13662.011746657645
81,,,,,101.0,1.8490524898151954,13708.785448288767
82,,,,,102.0,1.858261407890489,13755.559149919889
83,,,,,103.0,1.8674703259657828,13802.332851551011
84,,,,,104.0,1.8766792440410767,13849.106553182133
85,,,,,105.0,1.8858881621163706,13895.880254813253
86,,,,,106.0,1.8950970801916642,13942.653956444376
87,,,,,107.0,1.904305998266958,13989.427658075498
88,,,,,108.0,1.9135149163422518,14036.201359706618
89,,,,,109.0,1.9227238344175455,14082.97506133774
90,,,,,110.0,1.9319327524928394,14129.748762968862
91,,,,,111.0,1.941141670568133,14176.522464599984
92,,,,,112.0,1.950350588643427,14223.296166231106
93,,,,,113.0,1.9595595067187206,14270.069867862228
94,,,,,114.0,1.9687684247940145,14316.84356949335
95,,,,,115.0,1.9779773428693082,14363.617271124473
96,,,,,116.0,1.987186260944602,14410.390972755595
97,,,,,117.0,1.9963951790198957,14457.164674386715
98,,,,,118.0,2.0056040970951896,14503.938376017837
99,,,,,119.0,2.0148130151704833,14550.71207764896
100,,,,,120.0,2.024021933245777,14597.48577928008
101,,,,,121.0,2.033230851321071,14644.259480911202
102,,,,,122.0,2.0424397693963643,14691.033182542324
103,,,,,123.0,2.0516486874716584,14737.806884173446
104,,,,,124.0,2.060857605546952,14784.580585804568
105,,,,,125.0,2.0700665236222457,14831.35428743569
106,,,,,126.0,2.07927544169754,14878.127989066812
107,,,,,127.0,2.0884843597728335,14924.901690697934
108,,,,,128.0,2.097693277848127,14971.675392329056
109,,,,,129.0,2.106902195923421,15018.449093960176
110,,,,,130.0,2.1161111139987145,15065.222795591299
111,,,,,131.0,2.1253200320740087,15111.99649722242
112,,,,,132.0,2.1345289501493023,15158.770198853543
113,,,,,133.0,2.143737868224596,15205.543900484663
114,,,,,134.0,2.15294678629989,15252.317602115785
115,,,,,135.0,2.1621557043751833,15299.091303746907
116,,,,,136.0,2.1713646224504775,15345.86500537803
117,,,,,137.0,2.180573540525771,15392.638707009151
118,,,,,138.0,2.189782458601065,15439.412408640273
119,,,,,139.0,2.198991376676359,15486.186110271394
120,,,,,140.0,2.208200294751652,15532.959811902516
121,,,,,141.0,2.2174092128269463,15579.733513533638
122,,,,,142.0,2.22661813090224,15626.50721516476
123,,,,,143.0,2.2358270489775336,15673.28091679588
124,,,,,144.0,2.2450359670528277,15720.054618427002
125,,,,,145.0,2.2542448851281214,15766.828320058125
126,,,,,146.0,2.263453803203415,15813.602021689247
127,,,,,147.0,2.272662721278709,15860.375723320369
128,,,,,148.0,2.2818716393540024,15907.14942495149
129,,,,,149.0,2.2910805574292965,15953.923126582613
130,,,,,150.0,2.30028947550459,16000.696828213735
131,,,,,151.0,2.309498393579884,16047.470529844857
132,,,,,152.0,2.318707311655178,16094.244231475977
133,,,,,153.0,2.327916229730471,16141.017933107098
134,,,,,154.0,2.3371251478057653,16187.79163473822
