,xyref,xgbound,dydx,dldp,xh,yh,ww
0,342.1592572652618,20,0.9158590894086609,8984.539846619822,20,1.1000908043257644,9920.096304387052
1,554.6875249374674,195,0.009211585745855172,46.775838388055135,21,1.1093023900716195,9966.874127275414
2,,,,,22.0,1.1185139758174747,10013.651950163774
3,,,,,23.0,1.12772556156333,10060.429773052136
4,,,,,24.0,1.136937147309185,10107.207595940497
5,,,,,25.0,1.1461487330550402,10153.98541882886
6,,,,,26.0,1.1553603188008954,10200.76324171722
7,,,,,27.0,1.1645719045467506,10247.541064605583
8,,,,,28.0,1.1737834902926056,10294.318887493944
9,,,,,29.0,1.1829950760384609,10341.096710382306
10,,,,,30.0,1.1922066617843161,10387.874533270668
11,,,,,31.0,1.2014182475301713,10434.65235615903
12,,,,,32.0,1.2106298332760264,10481.43017904739
13,,,,,33.0,1.2198414190218816,10528.20800193575
14,,,,,34.0,1.2290530047677368,10574.985824824113
15,,,,,35.0,1.2382645905135918,10621.763647712474
16,,,,,36.0,1.247476176259447,10668.541470600836
17,,,,,37.0,1.2566877620053023,10715.319293489198
18,,,,,38.0,1.2658993477511573,10762.09711637756
19,,,,,39.0,1.2751109334970125,10808.874939265921
20,,,,,40.0,1.2843225192428678,10855.652762154281
21,,,,,41.0,1.293534104988723,10902.430585042643
22,,,,,42.0,1.3027456907345782,10949.208407931004
23,,,,,43.0,1.3119572764804333,10995.986230819366
24,,,,,44.0,1.3211688622262885,11042.764053707728
25,,,,,45.0,1.3303804479721437,11089.54187659609
26,,,,,46.0,1.3395920337179987,11136.319699484451
27,,,,,47.0,1.348803619463854,11183.097522372813
28,,,,,48.0,1.3580152052097092,11229.875345261175
29,,,,,49.0,1.3672267909555642,11276.653168149536
30,,,,,50.0,1.3764383767014194,11323.430991037898
31,,,,,51.0,1.3856499624472747,11370.208813926258
32,,,,,52.0,1.39486154819313,11416.98663681462
33,,,,,53.0,1.4040731339389851,11463.764459702981
34,,,,,54.0,1.4132847196848402,11510.542282591343
35,,,,,55.0,1.4224963054306954,11557.320105479705
36,,,,,56.0,1.4317078911765506,11604.097928368066
37,,,,,57.0,1.4409194769224056,11650.875751256426
38,,,,,58.0,1.4501310626682609,11697.653574144788
39,,,,,59.0,1.459342648414116,11744.43139703315
40,,,,,60.0,1.468554234159971,11791.209219921511
41,,,,,61.0,1.4777658199058266,11837.987042809873
42,,,,,62.0,1.4869774056516816,11884.764865698235
43,,,,,63.0,1.4961889913975368,11931.542688586596
44,,,,,64.0,1.505400577143392,11978.320511474958
45,,,,,65.0,1.514612162889247,12025.09833436332
46,,,,,66.0,1.5238237486351023,12071.876157251681
47,,,,,67.0,1.5330353343809575,12118.653980140041
48,,,,,68.0,1.5422469201268125,12165.431803028403
49,,,,,69.0,1.5514585058726678,12212.209625916765
50,,,,,70.0,1.560670091618523,12258.987448805126
51,,,,,71.0,1.569881677364378,12305.765271693488
52,,,,,72.0,1.5790932631102335,12352.54309458185
53,,,,,73.0,1.5883048488560885,12399.320917470211
54,,,,,74.0,1.5975164346019437,12446.098740358573
55,,,,,75.0,1.606728020347799,12492.876563246933
56,,,,,76.0,1.615939606093654,12539.654386135295
57,,,,,77.0,1.6251511918395092,12586.432209023656
58,,,,,78.0,1.6343627775853644,12633.210031912018
59,,,,,79.0,1.6435743633312194,12679.98785480038
60,,,,,80.0,1.6527859490770747,12726.765677688742
61,,,,,81.0,1.66199753482293,12773.543500577103
62,,,,,82.0,1.671209120568785,12820.321323465465
63,,,,,83.0,1.6804207063146404,12867.099146353827
64,,,,,84.0,1.6896322920604954,12913.876969242188
65,,,,,85.0,1.6988438778063506,12960.65479213055
66,,,,,86.0,1.7080554635522058,13007.43261501891
67,,,,,87.0,1.7172670492980608,13054.210437907272
68,,,,,88.0,1.726478635043916,13100.988260795633
69,,,,,89.0,1.7356902207897713,13147.766083683995
70,,,,,90.0,1.7449018065356263,13194.543906572357
71,,,,,91.0,1.7541133922814816,13241.321729460717
72,,,,,92.0,1.7633249780273368,13288.099552349078
73,,,,,93.0,1.7725365637731918,13334.87737523744
74,,,,,94.0,1.7817481495190473,13381.655198125802
75,,,,,95.0,1.7909597352649023,13428.433021014163
76,,,,,96.0,1.8001713210107575,13475.210843902525
77,,,,,97.0,1.8093829067566127,13521.988666790887
78,,,,,98.0,1.8185944925024677,13568.766489679248
79,,,,,99.0,1.827806078248323,13615.54431256761
80,,,,,100.0,1.8370176639941782,13662.322135455972
81,,,,,101.0,1.8462292497400332,13709.099958344334
82,,,,,102.0,1.8554408354858885,13755.877781232695
83,,,,,103.0,1.8646524212317437,13802.655604121057
84,,,,,104.0,1.8738640069775987,13849.433427009419
85,,,,,105.0,1.8830755927234542,13896.21124989778
86,,,,,106.0,1.8922871784693092,13942.989072786142
87,,,,,107.0,1.9014987642151642,13989.766895674502
88,,,,,108.0,1.9107103499610196,14036.544718562864
