,xg,yg,halfdyup,halfdylow
0,254.30372000000003,141.1801529404827,20,20
1,255.30372000000003,141.192920062905,20,20
2,256.30372,141.20568718532726,20,20
3,257.30372,141.21845430774954,20,20
4,258.30372,141.23122143017181,20,20
5,259.30372,141.2439885525941,20,20
6,260.30372,141.25675567501636,20,20
7,261.30372,141.2695227974386,20,20
8,262.30372,141.2822899198609,20,20
9,263.30372,141.29505704228316,20,20
10,264.30372,141.30782416470544,20,20
11,265.30372,141.3205912871277,20,20
12,266.30372,141.33335840955,20,20
13,267.30372,141.34612553197226,20,20
14,268.30372,141.35889265439454,20,20
15,269.30372,141.3716597768168,20,20
16,270.30372,141.3844268992391,20,20
17,271.30372,141.39719402166133,20,20
18,272.30372,141.4099611440836,20,20
19,273.30372,141.42272826650589,20,20
20,274.30372,141.43549538892816,20,20
21,275.30372,141.44826251135044,20,20
22,276.30372,141.4610296337727,20,20
23,277.30372,141.473796756195,20,20
24,278.30372,141.48656387861726,20,20
25,279.30372,141.49933100103954,20,20
26,280.30372,141.51209812346178,20,20
27,281.30372,141.52486524588406,20,20
28,282.30372,141.53763236830633,20,20
29,283.30372,141.5503994907286,20,20
30,284.30372,141.56316661315088,20,20
31,285.30372,141.57593373557316,20,20
32,286.30372,141.58870085799543,20,20
33,287.30372,141.6014679804177,20,20
34,288.30372,141.61423510283998,20,20
35,289.30372,141.62700222526226,20,20
36,290.30372,141.6397693476845,20,20
37,291.30372,141.65253647010678,20,20
38,292.30372,141.66530359252906,20,20
39,293.30372,141.67807071495133,20,20
40,294.30372,141.6908378373736,20,20
41,295.30372,141.70360495979588,20,20
42,296.30372,141.71637208221816,20,20
43,297.30372,141.72913920464043,20,20
44,298.30372,141.7419063270627,20,20
45,299.30372,141.75467344948498,20,20
46,300.30372,141.76744057190723,20,20
47,301.30372,141.7802076943295,20,20
48,302.30372,141.79297481675178,20,20
49,303.30372,141.80574193917406,20,20
50,304.30372,141.81850906159633,20,20
51,305.30372,141.8312761840186,20,20
52,306.30372,141.84404330644088,20,20
53,307.30372,141.85681042886316,20,20
54,308.30372,141.86957755128543,20,20
55,309.30372,141.8823446737077,20,20
56,310.30372,141.89511179612995,20,20
57,311.30372,141.90787891855223,20,20
58,312.30372,141.9206460409745,20,20
59,313.30372,141.93341316339678,20,20
60,314.30372,141.94618028581905,20,20
61,315.30372,141.95894740824133,20,20
62,316.30372,141.9717145306636,20,20
63,317.30372,141.98448165308588,20,20
64,318.30372,141.99724877550815,20,20
65,319.30372,142.01001589793043,20,20
66,320.30372,142.02278302035268,20,20
67,321.30372,142.03555014277495,20,20
68,322.30372,142.04831726519723,20,20
69,323.30372,142.0610843876195,20,20
70,324.30372,142.07385151004178,20,20
71,325.30372,142.08661863246405,20,20
72,326.30372,142.09938575488633,20,20
73,327.30372,142.1121528773086,20,20
74,328.30372,142.12491999973088,20,20
75,329.30372,142.13768712215312,20,20
