,xg,yg,halfdyup,halfdylow
0,645.75607,549.9353660412893,20,20
1,646.75607,549.9486119015337,20,20
2,647.75607,549.961857761778,20,20
3,648.75607,549.9751036220224,20,20
4,649.75607,549.9883494822668,20,20
5,650.75607,550.0015953425112,20,20
6,651.75607,550.0148412027556,20,20
7,652.75607,550.0280870629999,20,20
8,653.75607,550.0413329232443,20,20
9,654.75607,550.0545787834888,20,20
10,655.75607,550.0678246437332,20,20
11,656.75607,550.0810705039776,20,20
12,657.75607,550.0943163642219,20,20
13,658.75607,550.1075622244663,20,20
14,659.75607,550.1208080847107,20,20
15,660.75607,550.1340539449551,20,20
16,661.75607,550.1472998051995,20,20
17,662.75607,550.1605456654438,20,20
18,663.75607,550.1737915256882,20,20
19,664.75607,550.1870373859326,20,20
20,665.75607,550.200283246177,20,20
21,666.75607,550.2135291064214,20,20
22,667.75607,550.2267749666657,20,20
23,668.75607,550.2400208269102,20,20
24,669.75607,550.2532666871546,20,20
25,670.75607,550.266512547399,20,20
26,671.75607,550.2797584076433,20,20
27,672.75607,550.2930042678877,20,20
28,673.75607,550.3062501281321,20,20
29,674.75607,550.3194959883765,20,20
30,675.75607,550.3327418486209,20,20
31,676.75607,550.3459877088652,20,20
32,677.75607,550.3592335691096,20,20
33,678.75607,550.372479429354,20,20
34,679.75607,550.3857252895984,20,20
35,680.75607,550.3989711498429,20,20
36,681.75607,550.4122170100871,20,20
37,682.75607,550.4254628703316,20,20
38,683.75607,550.438708730576,20,20
39,684.75607,550.4519545908204,20,20
40,685.75607,550.4652004510648,20,20
41,686.75607,550.4784463113091,20,20
42,687.75607,550.4916921715535,20,20
43,688.75607,550.5049380317979,20,20
44,689.75607,550.5181838920423,20,20
45,690.75607,550.5314297522866,20,20
46,691.75607,550.544675612531,20,20
47,692.75607,550.5579214727754,20,20
48,693.75607,550.5711673330198,20,20
49,694.75607,550.5844131932643,20,20
50,695.75607,550.5976590535086,20,20
51,696.75607,550.610904913753,20,20
