,xyref,xgbound,dydx,dldp,xh,yh,ww
0,624.2331998081962,20,0.9112067130449356,9013.774500897887,20,1.1016704908610255,9947.634782416084
1,551.4167719371951,195,0.009523188890804498,46.69089689888898,21,1.11119367975183,9994.327796491993
2,,,,,22.0,1.1207168686426345,10041.020810567903
3,,,,,23.0,1.130240057533439,10087.713824643813
4,,,,,24.0,1.1397632464242435,10134.406838719722
5,,,,,25.0,1.149286435315048,10181.099852795633
6,,,,,26.0,1.1588096242058525,10227.792866871543
7,,,,,27.0,1.168332813096657,10274.485880947452
8,,,,,28.0,1.1778560019874615,10321.178895023362
9,,,,,29.0,1.187379190878266,10367.87190909927
10,,,,,30.0,1.1969023797690705,10414.564923175181
11,,,,,31.0,1.206425568659875,10461.257937251092
12,,,,,32.0,1.2159487575506795,10507.950951327
13,,,,,33.0,1.225471946441484,10554.64396540291
14,,,,,34.0,1.2349951353322886,10601.336979478821
15,,,,,35.0,1.244518324223093,10648.02999355473
16,,,,,36.0,1.2540415131138976,10694.72300763064
17,,,,,37.0,1.263564702004702,10741.416021706551
18,,,,,38.0,1.2730878908955066,10788.10903578246
19,,,,,39.0,1.282611079786311,10834.80204985837
20,,,,,40.0,1.2921342686771156,10881.495063934279
21,,,,,41.0,1.30165745756792,10928.18807801019
22,,,,,42.0,1.3111806464587246,10974.8810920861
23,,,,,43.0,1.320703835349529,11021.574106162008
24,,,,,44.0,1.3302270242403336,11068.267120237919
25,,,,,45.0,1.339750213131138,11114.960134313827
26,,,,,46.0,1.3492734020219426,11161.653148389738
27,,,,,47.0,1.358796590912747,11208.346162465648
28,,,,,48.0,1.3683197798035516,11255.039176541557
29,,,,,49.0,1.377842968694356,11301.732190617467
30,,,,,50.0,1.3873661575851606,11348.425204693378
31,,,,,51.0,1.396889346475965,11395.118218769287
32,,,,,52.0,1.4064125353667696,11441.811232845197
33,,,,,53.0,1.415935724257574,11488.504246921108
34,,,,,54.0,1.4254589131483786,11535.197260997016
35,,,,,55.0,1.434982102039183,11581.890275072927
36,,,,,56.0,1.4445052909299876,11628.583289148835
37,,,,,57.0,1.454028479820792,11675.276303224746
38,,,,,58.0,1.4635516687115966,11721.969317300656
39,,,,,59.0,1.473074857602401,11768.662331376565
40,,,,,60.0,1.4825980464932056,11815.355345452475
41,,,,,61.0,1.49212123538401,11862.048359528386
42,,,,,62.0,1.5016444242748146,11908.741373604294
43,,,,,63.0,1.511167613165619,11955.434387680205
