,xg,yg,halfdyup,halfdylow
0,639.99694,541.123261837612,20,20
1,640.99694,541.1327095971861,20,20
2,641.99694,541.1421573567603,20,20
3,642.99694,541.1516051163345,20,20
4,643.99694,541.1610528759086,20,20
5,644.99694,541.1705006354828,20,20
6,645.99694,541.179948395057,20,20
7,646.99694,541.1893961546311,20,20
8,647.99694,541.1988439142052,20,20
9,648.99694,541.2082916737794,20,20
10,649.99694,541.2177394333536,20,20
11,650.99694,541.2271871929278,20,20
12,651.99694,541.236634952502,20,20
13,652.99694,541.246082712076,20,20
14,653.99694,541.2555304716502,20,20
15,654.99694,541.2649782312244,20,20
16,655.99694,541.2744259907986,20,20
17,656.99694,541.2838737503727,20,20
18,657.99694,541.2933215099468,20,20
19,658.99694,541.302769269521,20,20
20,659.99694,541.3122170290952,20,20
21,660.99694,541.3216647886694,20,20
22,661.99694,541.3311125482435,20,20
23,662.99694,541.3405603078177,20,20
24,663.99694,541.3500080673919,20,20
25,664.99694,541.359455826966,20,20
26,665.99694,541.3689035865401,20,20
27,666.99694,541.3783513461143,20,20
28,667.99694,541.3877991056885,20,20
29,668.99694,541.3972468652627,20,20
30,669.99694,541.4066946248367,20,20
31,670.99694,541.4161423844109,20,20
32,671.99694,541.4255901439851,20,20
33,672.99694,541.4350379035593,20,20
34,673.99694,541.4444856631335,20,20
35,674.99694,541.4539334227076,20,20
36,675.99694,541.4633811822818,20,20
37,676.99694,541.4728289418559,20,20
38,677.99694,541.4822767014301,20,20
39,678.99694,541.4917244610042,20,20
40,679.99694,541.5011722205784,20,20
41,680.99694,541.5106199801526,20,20
42,681.99694,541.5200677397268,20,20
43,682.99694,541.5295154993009,20,20
44,683.99694,541.538963258875,20,20
45,684.99694,541.5484110184492,20,20
46,685.99694,541.5578587780234,20,20
47,686.99694,541.5673065375976,20,20
48,687.99694,541.5767542971716,20,20
49,688.99694,541.5862020567458,20,20
50,689.99694,541.59564981632,20,20
51,690.99694,541.6050975758942,20,20
52,691.99694,541.6145453354684,20,20
53,692.99694,541.6239930950425,20,20
54,693.99694,541.6334408546167,20,20
55,694.99694,541.6428886141908,20,20
56,695.99694,541.652336373765,20,20
57,696.99694,541.6617841333391,20,20
58,697.99694,541.6712318929133,20,20
59,698.99694,541.6806796524875,20,20
60,699.99694,541.6901274120617,20,20
61,700.99694,541.6995751716358,20,20
62,701.99694,541.7090229312099,20,20
63,702.99694,541.7184706907841,20,20
64,703.99694,541.7279184503583,20,20
65,704.99694,541.7373662099325,20,20
66,705.99694,541.7468139695065,20,20
67,706.99694,541.7562617290807,20,20
68,707.99694,541.7657094886549,20,20
69,708.99694,541.7751572482291,20,20
70,709.99694,541.7846050078032,20,20
71,710.99694,541.7940527673774,20,20
72,711.99694,541.8035005269516,20,20
73,712.99694,541.8129482865257,20,20
74,713.99694,541.8223960460999,20,20
75,714.99694,541.831843805674,20,20
76,715.99694,541.8412915652482,20,20
77,716.99694,541.8507393248224,20,20
78,717.99694,541.8601870843966,20,20
79,718.99694,541.8696348439706,20,20
80,719.99694,541.8790826035448,20,20
81,720.99694,541.888530363119,20,20
82,721.99694,541.8979781226932,20,20
83,722.99694,541.9074258822674,20,20
84,723.99694,541.9168736418414,20,20
85,724.99694,541.9263214014156,20,20
86,725.99694,541.9357691609898,20,20
87,726.99694,541.945216920564,20,20
88,727.99694,541.9546646801381,20,20
89,728.99694,541.9641124397123,20,20
90,729.99694,541.9735601992865,20,20
91,730.99694,541.9830079588606,20,20
92,731.99694,541.9924557184348,20,20
93,732.99694,542.0019034780089,20,20
94,733.99694,542.0113512375831,20,20
95,734.99694,542.0207989971573,20,20
96,735.99694,542.0302467567315,20,20
97,736.99694,542.0396945163055,20,20
98,737.99694,542.0491422758797,20,20
99,738.99694,542.0585900354539,20,20
100,739.99694,542.0680377950281,20,20
101,740.99694,542.0774855546023,20,20
102,741.99694,542.0869333141763,20,20
103,742.99694,542.0963810737505,20,20
104,743.99694,542.1058288333247,20,20
105,744.99694,542.1152765928989,20,20
106,745.99694,542.124724352473,20,20
107,746.99694,542.1341721120472,20,20
108,747.99694,542.1436198716214,20,20
109,748.99694,542.1530676311955,20,20
110,749.99694,542.1625153907696,20,20
111,750.99694,542.1719631503438,20,20
112,751.99694,542.181410909918,20,20
113,752.99694,542.1908586694922,20,20
114,753.99694,542.2003064290664,20,20
115,754.99694,542.2097541886404,20,20
116,755.99694,542.2192019482146,20,20
117,756.99694,542.2286497077888,20,20
118,757.99694,542.238097467363,20,20
119,758.99694,542.2475452269371,20,20
