,xyref,xgbound,dydx,dldp,xh,yh,ww
0,619.99694,20,0.931436646128731,9013.11077889984,20,1.1203918376119475,9946.397098311865
1,540.00287,195,0.009447759574160827,46.662233477835386,21,1.1298395971861084,9993.061414282467
2,,,,,22.0,1.1392873567602693,10039.725730253067
3,,,,,23.0,1.14873511633443,10086.390046223669
4,,,,,24.0,1.1581828759085908,10133.05436219427
5,,,,,25.0,1.1676306354827517,10179.71867816487
6,,,,,26.0,1.1770783950569126,10226.382994135472
7,,,,,27.0,1.1865261546310732,10273.047310106074
8,,,,,28.0,1.1959739142052341,10319.711626076674
9,,,,,29.0,1.205421673779395,10366.375942047276
10,,,,,30.0,1.214869433353556,10413.040258017878
11,,,,,31.0,1.2243171929277166,10459.70457398848
12,,,,,32.0,1.2337649525018775,10506.36888995908
13,,,,,33.0,1.2432127120760383,10553.033205929682
14,,,,,34.0,1.252660471650199,10599.697521900283
15,,,,,35.0,1.2621082312243599,10646.361837870885
16,,,,,36.0,1.2715559907985208,10693.026153841485
17,,,,,37.0,1.2810037503726817,10739.690469812087
18,,,,,38.0,1.2904515099468425,10786.354785782689
19,,,,,39.0,1.2998992695210032,10833.019101753289
20,,,,,40.0,1.309347029095164,10879.68341772389
21,,,,,41.0,1.318794788669325,10926.347733694492
22,,,,,42.0,1.3282425482434856,10973.012049665092
23,,,,,43.0,1.3376903078176465,11019.676365635694
24,,,,,44.0,1.3471380673918074,11066.340681606296
25,,,,,45.0,1.356585826965968,11113.004997576896
26,,,,,46.0,1.366033586540129,11159.669313547498
27,,,,,47.0,1.3754813461142898,11206.3336295181
28,,,,,48.0,1.3849291056884507,11252.9979454887
29,,,,,49.0,1.3943768652626116,11299.662261459302
30,,,,,50.0,1.4038246248367723,11346.326577429903
31,,,,,51.0,1.4132723844109332,11392.990893400505
32,,,,,52.0,1.422720143985094,11439.655209371105
33,,,,,53.0,1.4321679035592547,11486.319525341707
34,,,,,54.0,1.4416156631334156,11532.983841312309
35,,,,,55.0,1.4510634227075765,11579.64815728291
36,,,,,56.0,1.4605111822817372,11626.31247325351
37,,,,,57.0,1.4699589418558983,11672.976789224113
38,,,,,58.0,1.479406701430059,11719.641105194714
39,,,,,59.0,1.4888544610042198,11766.305421165314
40,,,,,60.0,1.4983022205783807,11812.969737135916
41,,,,,61.0,1.5077499801525414,11859.634053106518
42,,,,,62.0,1.5171977397267022,11906.298369077118
43,,,,,63.0,1.5266454993008631,11952.96268504772
44,,,,,64.0,1.5360932588750238,11999.627001018322
45,,,,,65.0,1.5455410184491847,12046.291316988922
46,,,,,66.0,1.5549887780233456,12092.955632959523
47,,,,,67.0,1.5644365375975062,12139.619948930125
48,,,,,68.0,1.5738842971716673,12186.284264900727
49,,,,,69.0,1.583332056745828,12232.948580871327
50,,,,,70.0,1.5927798163199889,12279.612896841929
51,,,,,71.0,1.6022275758941498,12326.27721281253
52,,,,,72.0,1.6116753354683104,12372.94152878313
53,,,,,73.0,1.6211230950424713,12419.605844753733
54,,,,,74.0,1.6305708546166322,12466.270160724334
55,,,,,75.0,1.6400186141907929,12512.934476694934
56,,,,,76.0,1.649466373764954,12559.598792665536
57,,,,,77.0,1.6589141333391146,12606.263108636138
58,,,,,78.0,1.6683618929132755,12652.927424606738
59,,,,,79.0,1.6778096524874364,12699.59174057734
60,,,,,80.0,1.687257412061597,12746.256056547942
61,,,,,81.0,1.696705171635758,12792.920372518543
62,,,,,82.0,1.7061529312099188,12839.584688489143
63,,,,,83.0,1.7156006907840795,12886.249004459745
64,,,,,84.0,1.7250484503582404,12932.913320430347
65,,,,,85.0,1.7344962099324013,12979.577636400947
66,,,,,86.0,1.743943969506562,13026.241952371549
67,,,,,87.0,1.753391729080723,13072.90626834215
68,,,,,88.0,1.7628394886548837,13119.57058431275
69,,,,,89.0,1.7722872482290446,13166.234900283354
70,,,,,90.0,1.7817350078032055,13212.899216253954
71,,,,,91.0,1.7911827673773661,13259.563532224554
72,,,,,92.0,1.800630526951527,13306.227848195158
73,,,,,93.0,1.810078286525688,13352.892164165758
74,,,,,94.0,1.8195260460998486,13399.556480136358
75,,,,,95.0,1.8289738056740097,13446.220796106962
76,,,,,96.0,1.8384215652481704,13492.885112077562
77,,,,,97.0,1.847869324822331,13539.549428048162
78,,,,,98.0,1.8573170843964921,13586.213744018765
79,,,,,99.0,1.8667648439706528,13632.878059989365
80,,,,,100.0,1.8762126035448137,13679.542375959967
81,,,,,101.0,1.8856603631189746,13726.206691930569
82,,,,,102.0,1.8951081226931352,13772.871007901169
83,,,,,103.0,1.904555882267296,13819.53532387177
84,,,,,104.0,1.914003641841457,13866.199639842373
85,,,,,105.0,1.9234514014156177,13912.863955812973
86,,,,,106.0,1.9328991609897788,13959.528271783574
87,,,,,107.0,1.9423469205639394,14006.192587754176
88,,,,,108.0,1.9517946801381,14052.856903724776
89,,,,,109.0,1.9612424397122612,14099.521219695378
90,,,,,110.0,1.9706901992864219,14146.18553566598
91,,,,,111.0,1.980137958860583,14192.84985163658
92,,,,,112.0,1.9895857184347436,14239.514167607182
93,,,,,113.0,1.9990334780089043,14286.178483577783
94,,,,,114.0,2.0084812375830654,14332.842799548385
95,,,,,115.0,2.017928997157226,14379.507115518987
96,,,,,116.0,2.0273767567313867,14426.171431489587
97,,,,,117.0,2.036824516305548,14472.835747460189
98,,,,,118.0,2.0462722758797085,14519.50006343079
99,,,,,119.0,2.055720035453869,14566.16437940139
100,,,,,120.0,2.0651677950280303,14612.828695371993
101,,,,,121.0,2.074615554602191,14659.493011342594
102,,,,,122.0,2.084063314176352,14706.157327313194
103,,,,,123.0,2.0935110737505127,14752.821643283796
104,,,,,124.0,2.1029588333246734,14799.485959254398
105,,,,,125.0,2.1124065928988345,14846.150275224998
106,,,,,126.0,2.121854352472995,14892.8145911956
107,,,,,127.0,2.131302112047156,14939.478907166202
108,,,,,128.0,2.140749871621317,14986.143223136802
