,xyref,xgbound,dydx,dldp,xh,yh,ww
0,229.02542,25,-0.708814388695826,6387.427367950956,25,-0.38955750968264846,6987.7009492520365
1,143.12601,250,0.012770275160527103,24.008985640030893,26,-0.3767872345221214,7011.7118925040795
2,,,,,27.0,-0.36401695936159423,7035.722835756123
3,,,,,28.0,-0.35124668420106714,7059.733779008166
4,,,,,29.0,-0.33847640904054005,7083.7447222602095
5,,,,,30.0,-0.3257061338800129,7107.755665512253
6,,,,,31.0,-0.3129358587194858,7131.766608764296
7,,,,,32.0,-0.3001655835589587,7155.777552016339
8,,,,,33.0,-0.28739530839843164,7179.788495268382
9,,,,,34.0,-0.27462503323790455,7203.799438520426
10,,,,,35.0,-0.2618547580773774,7227.810381772469
11,,,,,36.0,-0.2490844829168503,7251.821325024512
12,,,,,37.0,-0.23631420775632322,7275.832268276555
13,,,,,38.0,-0.22354393259579608,7299.843211528598
14,,,,,39.0,-0.210773657435269,7323.854154780642
15,,,,,40.0,-0.1980033822747419,7347.865098032685
16,,,,,41.0,-0.1852331071142148,7371.876041284728
17,,,,,42.0,-0.17246283195368772,7395.886984536771
18,,,,,43.0,-0.15969255679316063,7419.897927788814
19,,,,,44.0,-0.14692228163263343,7443.908871040858
20,,,,,45.0,-0.13415200647210634,7467.919814292901
21,,,,,46.0,-0.12138173131157926,7491.930757544944
22,,,,,47.0,-0.10861145615105217,7515.941700796987
23,,,,,48.0,-0.09584118099052508,7539.95264404903
24,,,,,49.0,-0.08307090582999799,7563.963587301074
25,,,,,50.0,-0.0703006306694709,7587.974530553116
26,,,,,51.0,-0.05753035550894381,7611.98547380516
27,,,,,52.0,-0.04476008034841672,7635.996417057203
28,,,,,53.0,-0.03198980518788952,7660.007360309246
29,,,,,54.0,-0.01921953002736243,7684.01830356129
30,,,,,55.0,-0.006449254866835341,7708.029246813332
31,,,,,56.0,0.006321020293691748,7732.040190065376
32,,,,,57.0,0.019091295454218837,7756.051133317419
33,,,,,58.0,0.03186157061474593,7780.062076569462
34,,,,,59.0,0.044631845775273016,7804.073019821506
35,,,,,60.0,0.057402120935800216,7828.083963073548
36,,,,,61.0,0.0701723960963273,7852.094906325592
37,,,,,62.0,0.0829426712568544,7876.105849577635
38,,,,,63.0,0.09571294641738148,7900.116792829678
39,,,,,64.0,0.10848322157790857,7924.127736081722
40,,,,,65.0,0.12125349673843566,7948.138679333764
41,,,,,66.0,0.13402377189896275,7972.149622585808
42,,,,,67.0,0.14679404705948984,7996.160565837851
43,,,,,68.0,0.15956432222001693,8020.171509089894
44,,,,,69.0,0.17233459738054413,8044.182452341938
45,,,,,70.0,0.18510487254107122,8068.19339559398
46,,,,,71.0,0.1978751477015983,8092.204338846024
47,,,,,72.0,0.2106454228621254,8116.215282098067
48,,,,,73.0,0.2234156980226525,8140.22622535011
49,,,,,74.0,0.23618597318317958,8164.237168602154
50,,,,,75.0,0.24895624834370667,8188.248111854196
51,,,,,76.0,0.26172652350423387,8212.25905510624
52,,,,,77.0,0.27449679866476095,8236.269998358282
53,,,,,78.0,0.28726707382528804,8260.280941610326
54,,,,,79.0,0.300037348985815,8284.29188486237
55,,,,,80.0,0.3128076241463422,8308.302828114412
56,,,,,81.0,0.3255778993068694,8332.313771366456
57,,,,,82.0,0.3383481744673964,8356.324714618499
58,,,,,83.0,0.3511184496279236,8380.335657870542
59,,,,,84.0,0.3638887247884506,8404.346601122586
60,,,,,85.0,0.3766589999489778,8428.357544374629
61,,,,,86.0,0.38942927510950476,8452.368487626673
62,,,,,87.0,0.40219955027003196,8476.379430878715
63,,,,,88.0,0.41496982543055916,8500.390374130759
64,,,,,89.0,0.42774010059108614,8524.401317382803
65,,,,,90.0,0.44051037575161334,8548.412260634845
66,,,,,91.0,0.4532806509121403,8572.423203886889
67,,,,,92.0,0.4660509260726675,8596.43414713893
68,,,,,93.0,0.4788212012331945,8620.445090390975
69,,,,,94.0,0.4915914763937217,8644.456033643019
70,,,,,95.0,0.5043617515542487,8668.46697689506
71,,,,,96.0,0.5171320267147759,8692.477920147105
72,,,,,97.0,0.5299023018753031,8716.488863399147
73,,,,,98.0,0.54267257703583,8740.49980665119
74,,,,,99.0,0.5554428521963573,8764.510749903235
75,,,,,100.0,0.5682131273568842,8788.521693155277
76,,,,,101.0,0.5809834025174114,8812.53263640732
77,,,,,102.0,0.5937536776779384,8836.543579659363
78,,,,,103.0,0.6065239528384656,8860.554522911407
79,,,,,104.0,0.6192942279989926,8884.56546616345
80,,,,,105.0,0.6320645031595198,8908.576409415493
81,,,,,106.0,0.644834778320047,8932.587352667537
82,,,,,107.0,0.657605053480574,8956.598295919579
83,,,,,108.0,0.6703753286411012,8980.609239171623
84,,,,,109.0,0.6831456038016281,9004.620182423667
85,,,,,110.0,0.6959158789621553,9028.631125675709
86,,,,,111.0,0.7086861541226823,9052.642068927753
87,,,,,112.0,0.7214564292832095,9076.653012179795
88,,,,,113.0,0.7342267044437367,9100.663955431839
89,,,,,114.0,0.7469969796042637,9124.674898683883
90,,,,,115.0,0.7597672547647909,9148.685841935925
91,,,,,116.0,0.7725375299253179,9172.696785187969
92,,,,,117.0,0.7853078050858451,9196.707728440011
93,,,,,118.0,0.7980780802463721,9220.718671692055
94,,,,,119.0,0.8108483554068993,9244.729614944099
95,,,,,120.0,0.8236186305674265,9268.740558196141
96,,,,,121.0,0.8363889057279534,9292.751501448185
97,,,,,122.0,0.8491591808884806,9316.762444700227
98,,,,,123.0,0.8619294560490076,9340.773387952271
99,,,,,124.0,0.8746997312095348,9364.784331204315
100,,,,,125.0,0.8874700063700618,9388.795274456357
101,,,,,126.0,0.900240281530589,9412.806217708401
102,,,,,127.0,0.913010556691116,9436.817160960443
103,,,,,128.0,0.9257808318516432,9460.828104212487
104,,,,,129.0,0.9385511070121704,9484.839047464531
105,,,,,130.0,0.9513213821726973,9508.849990716573
106,,,,,131.0,0.9640916573332245,9532.860933968617
107,,,,,132.0,0.9768619324937515,9556.87187722066
108,,,,,133.0,0.9896322076542787,9580.882820472703
109,,,,,134.0,1.0024024828148057,9604.893763724747
110,,,,,135.0,1.015172757975333,9628.90470697679
111,,,,,136.0,1.0279430331358599,9652.915650228833
112,,,,,137.0,1.040713308296387,9676.926593480875
113,,,,,138.0,1.0534835834569143,9700.93753673292
114,,,,,139.0,1.0662538586174413,9724.948479984963
