,xg,yg,halfdyup,halfdylow
0,248.01077,145.0603777612325,20,20
1,249.01077,145.06919298128912,20,20
2,250.01077,145.07800820134577,20,20
3,251.01077,145.08682342140239,20,20
4,252.01077,145.095638641459,20,20
5,253.01077,145.10445386151565,20,20
6,254.01077,145.11326908157227,20,20
7,255.01077,145.1220843016289,20,20
8,256.01077,145.1308995216855,20,20
9,257.01077,145.13971474174215,20,20
10,258.01077,145.14852996179877,20,20
11,259.01077,145.1573451818554,20,20
12,260.01077,145.16616040191204,20,20
13,261.01077,145.17497562196866,20,20
14,262.01077,145.18379084202527,20,20
15,263.01077,145.19260606208192,20,20
16,264.01077,145.20142128213854,20,20
17,265.01077,145.21023650219516,20,20
18,266.01077,145.21905172225178,20,20
19,267.01077,145.22786694230842,20,20
20,268.01077,145.23668216236504,20,20
21,269.01077,145.24549738242166,20,20
22,270.01077,145.2543126024783,20,20
23,271.01077,145.26312782253493,20,20
24,272.01077,145.27194304259154,20,20
25,273.01077,145.28075826264816,20,20
26,274.01077,145.2895734827048,20,20
27,275.01077,145.29838870276143,20,20
28,276.01077,145.30720392281805,20,20
29,277.01077,145.3160191428747,20,20
30,278.01077,145.3248343629313,20,20
31,279.01077,145.33364958298793,20,20
32,280.01077,145.34246480304458,20,20
33,281.01077,145.3512800231012,20,20
34,282.01077,145.36009524315782,20,20
35,283.01077,145.36891046321443,20,20
36,284.01077,145.37772568327108,20,20
37,285.01077,145.3865409033277,20,20
38,286.01077,145.39535612338432,20,20
39,287.01077,145.40417134344096,20,20
40,288.01077,145.41298656349758,20,20
41,289.01077,145.4218017835542,20,20
42,290.01077,145.43061700361082,20,20
43,291.01077,145.43943222366747,20,20
44,292.01077,145.44824744372409,20,20
45,293.01077,145.4570626637807,20,20
46,294.01077,145.46587788383735,20,20
47,295.01077,145.47469310389397,20,20
48,296.01077,145.4835083239506,20,20
49,297.01077,145.49232354400723,20,20
50,298.01077,145.50113876406385,20,20
51,299.01077,145.50995398412047,20,20
52,300.01077,145.5187692041771,20,20
53,301.01077,145.52758442423374,20,20
54,302.01077,145.53639964429036,20,20
55,303.01077,145.54521486434697,20,20
56,304.01077,145.55403008440362,20,20
57,305.01077,145.56284530446024,20,20
58,306.01077,145.57166052451686,20,20
59,307.01077,145.58047574457348,20,20
60,308.01077,145.58929096463012,20,20
61,309.01077,145.59810618468674,20,20
62,310.01077,145.60692140474336,20,20
63,311.01077,145.6157366248,20,20
64,312.01077,145.62455184485663,20,20
65,313.01077,145.63336706491324,20,20
66,314.01077,145.6421822849699,20,20
67,315.01077,145.6509975050265,20,20
68,316.01077,145.65981272508313,20,20
69,317.01077,145.66862794513975,20,20
70,318.01077,145.6774431651964,20,20
