,xyref,xgbound,dydx,dldp,xh,yh,ww
0,235.94059438450364,20,1.7331280477108943,8970.561366452397,20,1.9087887908467784,9881.551981507793
1,145.97457268539628,195,0.008783037156794207,45.54777396934226,21,1.9175718280035727,9927.101512260562
2,,,,,22.0,1.9263548651603668,9972.651043013333
3,,,,,23.0,1.935137902317161,10018.200573766102
4,,,,,24.0,1.9439209394739554,10063.750104518873
5,,,,,25.0,1.9527039766307495,10109.299635271642
6,,,,,26.0,1.9614870137875438,10154.849166024413
7,,,,,27.0,1.9702700509443378,10200.398696777182
8,,,,,28.0,1.9790530881011321,10245.948227529952
9,,,,,29.0,1.9878361252579264,10291.497758282721
10,,,,,30.0,1.9966191624147205,10337.04728903549
11,,,,,31.0,2.005402199571515,10382.596819788261
12,,,,,32.0,2.014185236728309,10428.14635054103
13,,,,,33.0,2.022968273885103,10473.695881293801
14,,,,,34.0,2.0317513110418974,10519.24541204657
15,,,,,35.0,2.0405343481986917,10564.79494279934
16,,,,,36.0,2.0493173853554856,10610.34447355211
17,,,,,37.0,2.05810042251228,10655.894004304879
18,,,,,38.0,2.066883459669074,10701.44353505765
19,,,,,39.0,2.0756664968258685,10746.993065810419
20,,,,,40.0,2.0844495339826628,10792.54259656319
21,,,,,41.0,2.093232571139457,10838.092127315958
22,,,,,42.0,2.102015608296251,10883.64165806873
23,,,,,43.0,2.110798645453045,10929.191188821498
24,,,,,44.0,2.1195816826098395,10974.740719574267
25,,,,,45.0,2.1283647197666338,11020.290250327038
26,,,,,46.0,2.1371477569234276,11065.839781079809
27,,,,,47.0,2.145930794080222,11111.389311832578
28,,,,,48.0,2.154713831237016,11156.938842585347
29,,,,,49.0,2.1634968683938105,11202.488373338118
30,,,,,50.0,2.172279905550605,11248.037904090887
31,,,,,51.0,2.181062942707399,11293.587434843657
32,,,,,52.0,2.189845979864193,11339.136965596426
33,,,,,53.0,2.1986290170209872,11384.686496349197
34,,,,,54.0,2.2074120541777815,11430.236027101966
35,,,,,55.0,2.216195091334576,11475.785557854735
36,,,,,56.0,2.2249781284913697,11521.335088607506
37,,,,,57.0,2.233761165648164,11566.884619360275
38,,,,,58.0,2.2425442028049583,11612.434150113046
39,,,,,59.0,2.2513272399617525,11657.983680865815
40,,,,,60.0,2.260110277118547,11703.533211618585
41,,,,,61.0,2.268893314275341,11749.082742371354
42,,,,,62.0,2.2776763514321354,11794.632273124123
43,,,,,63.0,2.2864593885889293,11840.181803876894
44,,,,,64.0,2.2952424257457236,11885.731334629665
45,,,,,65.0,2.304025462902518,11931.280865382434
46,,,,,66.0,2.3128085000593117,11976.830396135203
47,,,,,67.0,2.321591537216106,12022.379926887974
48,,,,,68.0,2.3303745743729003,12067.929457640743
49,,,,,69.0,2.3391576115296946,12113.478988393512
50,,,,,70.0,2.347940648686489,12159.028519146283
51,,,,,71.0,2.356723685843283,12204.578049899053
52,,,,,72.0,2.3655067230000775,12250.127580651822
53,,,,,73.0,2.3742897601568713,12295.677111404591
54,,,,,74.0,2.3830727973136656,12341.226642157362
55,,,,,75.0,2.39185583447046,12386.776172910133
56,,,,,76.0,2.400638871627254,12432.325703662902
57,,,,,77.0,2.409421908784048,12477.875234415671
58,,,,,78.0,2.4182049459408423,12523.424765168442
59,,,,,79.0,2.4269879830976366,12568.97429592121
60,,,,,80.0,2.435771020254431,12614.52382667398
61,,,,,81.0,2.4445540574112252,12660.07335742675
62,,,,,82.0,2.4533370945680195,12705.622888179521
63,,,,,83.0,2.4621201317248134,12751.17241893229
64,,,,,84.0,2.4709031688816077,12796.72194968506
65,,,,,85.0,2.479686206038402,12842.27148043783
