,xyref,xgbound,dydx,dldp,xh,yh,ww
0,257.0400247130342,20,1.6918565905439766,8972.419867820048,20,1.865963536991663,9884.704745292616
1,164.85174185492443,195,0.008705347322384316,45.61251557809552,21,1.8746688843140473,9930.318989166244
2,,,,,22.0,1.8833742316364317,9975.933233039874
3,,,,,23.0,1.8920795789588158,10021.547476913502
4,,,,,24.0,1.9007849262812002,10067.16172078713
5,,,,,25.0,1.9094902736035846,10112.77596466076
6,,,,,26.0,1.9181956209259687,10158.390208534387
7,,,,,27.0,1.926900968248353,10204.004452408015
8,,,,,28.0,1.9356063155707375,10249.618696281643
9,,,,,29.0,1.9443116628931219,10295.232940155272
10,,,,,30.0,1.9530170102155062,10340.8471840289
11,,,,,31.0,1.9617223575378904,10386.461427902528
12,,,,,32.0,1.9704277048602747,10432.075671776158
13,,,,,33.0,1.9791330521826591,10477.689915649786
14,,,,,34.0,1.9878383995050433,10523.304159523414
15,,,,,35.0,1.9965437468274276,10568.918403397043
16,,,,,36.0,2.005249094149812,10614.532647270671
17,,,,,37.0,2.013954441472196,10660.146891144299
18,,,,,38.0,2.0226597887945807,10705.761135017929
19,,,,,39.0,2.031365136116965,10751.375378891556
20,,,,,40.0,2.040070483439349,10796.989622765184
21,,,,,41.0,2.0487758307617336,10842.603866638812
22,,,,,42.0,2.057481178084118,10888.218110512442
23,,,,,43.0,2.0661865254065024,10933.83235438607
24,,,,,44.0,2.0748918727288865,10979.446598259698
25,,,,,45.0,2.0835972200512707,11025.060842133327
26,,,,,46.0,2.0923025673736553,11070.675086006955
27,,,,,47.0,2.1010079146960394,11116.289329880583
28,,,,,48.0,2.109713262018424,11161.903573754213
29,,,,,49.0,2.118418609340808,11207.51781762784
30,,,,,50.0,2.1271239566631923,11253.132061501468
31,,,,,51.0,2.135829303985577,11298.746305375098
32,,,,,52.0,2.144534651307961,11344.360549248726
33,,,,,53.0,2.153239998630345,11389.974793122354
34,,,,,54.0,2.16194534595273,11435.589036995982
35,,,,,55.0,2.170650693275114,11481.20328086961
36,,,,,56.0,2.179356040597498,11526.81752474324
37,,,,,57.0,2.1880613879198827,11572.431768616867
38,,,,,58.0,2.196766735242267,11618.046012490497
39,,,,,59.0,2.2054720825646514,11663.660256364125
40,,,,,60.0,2.2141774298870356,11709.274500237752
