,index,filepath,sci_ext_num,ROOTNAME,DATE-OBS,FILTER,PA_V3,SUBARRAY,POSTARG1,POSTARG2,EXPSTART,EXPTIME,IDCSCALE,ORIENTAT
0,11,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5a5q/idwbp5a5q_flt.fits,1,idwbp5a5q,2019-11-25,F606W,190.932297,True,0.0,0.0,58812.05099756,290.0,0.03962000086903572,-124.5182205087279
1,7,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5a6q/idwbp5a6q_flt.fits,1,idwbp5a6q,2019-11-25,F606W,190.932297,True,0.09235,0.09848,58812.05640274,290.0,0.03962000086903572,-124.5182205087279
2,22,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5aaq/idwbp5aaq_flt.fits,1,idwbp5aaq,2019-11-25,F606W,190.932297,True,0.18469,0.19695,58812.06180793,290.0,0.03962000086903572,-124.5182205087279
3,19,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5abq/idwbp5abq_flt.fits,1,idwbp5abq,2019-11-25,F814W,190.932297,True,0.0,0.0,58812.07323163,290.0,0.03962000086903572,-124.5182205087279
4,32,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5bbq/idwbp5bbq_flt.fits,1,idwbp5bbq,2019-11-25,F814W,190.932297,True,0.09235,0.09848,58812.11729422,290.0,0.03962000086903572,-124.5182205087279
5,10,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbp5bcq/idwbp5bcq_flt.fits,1,idwbp5bcq,2019-11-25,F814W,190.932297,True,0.18469,0.19695,58812.12274534,290.0,0.03962000086903572,-124.5182205087279
6,36,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk3z0q/idwbk3z0q_flt.fits,1,idwbk3z0q,2019-11-29,F105W,228.001205,False,-28.613661,-32.611141,58816.81739521,349.232727,0.1282500028610229,-87.30327028505151
7,4,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk3z1q/idwbk3z1q_flt.fits,1,idwbk3z1q,2019-11-29,G102,228.001205,False,-28.613661,-32.611141,58816.82177003,699.232483,0.1282500028610229,-87.30781580453576
8,43,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk3z3q/idwbk3z3q_flt.fits,1,idwbk3z3q,2019-11-29,G102,228.001099,False,-27.26066,-31.40214,58816.83060114,699.232483,0.1282500028610229,-87.30791771224993
9,23,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk3z4q/idwbk3z4q_flt.fits,1,idwbk3z4q,2019-11-29,G102,228.001099,False,-25.90766,-30.19314,58816.83943225,699.232483,0.1282500028610229,-87.30791771224993
