,xyref,xgbound,dydx,dldp,xh,yh,ww
0,620.00435,20,0.9116202493869154,9013.336398773528,20,1.1019265371645561,9947.21856302562
1,550.99954,195,0.009515314388882035,46.69199448565797,21,1.111441851553438,9993.912671238226
2,,,,,22.0,1.12095716594232,10040.60677945083
3,,,,,23.0,1.1304724803312023,10087.300887663436
4,,,,,24.0,1.1399877947200843,10133.99499587604
5,,,,,25.0,1.1495031091089662,10180.689104088644
6,,,,,26.0,1.1590184234978484,10227.383212301249
7,,,,,27.0,1.1685337378867304,10274.077320513854
8,,,,,28.0,1.1780490522756124,10320.771428726459
9,,,,,29.0,1.1875643666644944,10367.465536939064
10,,,,,30.0,1.1970796810533764,10414.159645151667
11,,,,,31.0,1.2065949954422586,10460.853753364272
12,,,,,32.0,1.2161103098311405,10507.547861576877
13,,,,,33.0,1.2256256242200225,10554.241969789482
14,,,,,34.0,1.2351409386089047,10600.936078002087
15,,,,,35.0,1.2446562529977867,10647.630186214692
16,,,,,36.0,1.2541715673866687,10694.324294427295
17,,,,,37.0,1.2636868817755507,10741.0184026399
18,,,,,38.0,1.2732021961644326,10787.712510852505
19,,,,,39.0,1.2827175105533148,10834.40661906511
20,,,,,40.0,1.2922328249421968,10881.100727277715
21,,,,,41.0,1.3017481393310788,10927.794835490318
22,,,,,42.0,1.311263453719961,10974.488943702923
23,,,,,43.0,1.320778768108843,11021.183051915528
24,,,,,44.0,1.330294082497725,11067.877160128133
25,,,,,45.0,1.339809396886607,11114.571268340738
26,,,,,46.0,1.349324711275489,11161.265376553343
27,,,,,47.0,1.3588400256643711,11207.959484765946
28,,,,,48.0,1.368355340053253,11254.653592978551
29,,,,,49.0,1.377870654442135,11301.347701191156
30,,,,,50.0,1.3873859688310173,11348.041809403761
31,,,,,51.0,1.3969012832198993,11394.735917616366
32,,,,,52.0,1.4064165976087812,11441.43002582897
33,,,,,53.0,1.4159319119976632,11488.124134041575
34,,,,,54.0,1.4254472263865452,11534.81824225418
35,,,,,55.0,1.4349625407754274,11581.512350466784
36,,,,,56.0,1.4444778551643094,11628.20645867939
37,,,,,57.0,1.4539931695531914,11674.900566891993
38,,,,,58.0,1.4635084839420736,11721.5946751046
39,,,,,59.0,1.4730237983309555,11768.288783317203
40,,,,,60.0,1.4825391127198375,11814.982891529808
41,,,,,61.0,1.4920544271087195,11861.676999742413
42,,,,,62.0,1.5015697414976015,11908.371107955018
43,,,,,63.0,1.5110850558864837,11955.065216167623
44,,,,,64.0,1.5206003702753657,12001.759324380226
45,,,,,65.0,1.5301156846642476,12048.45343259283
46,,,,,66.0,1.5396309990531298,12095.147540805436
47,,,,,67.0,1.5491463134420118,12141.84164901804
48,,,,,68.0,1.5586616278308938,12188.535757230646
49,,,,,69.0,1.5681769422197758,12235.229865443249
50,,,,,70.0,1.5776922566086578,12281.923973655856
51,,,,,71.0,1.58720757099754,12328.618081868459
52,,,,,72.0,1.596722885386422,12375.312190081064
53,,,,,73.0,1.606238199775304,12422.006298293669
54,,,,,74.0,1.615753514164186,12468.700406506272
55,,,,,75.0,1.625268828553068,12515.394514718879
56,,,,,76.0,1.63478414294195,12562.088622931482
57,,,,,77.0,1.644299457330832,12608.782731144087
58,,,,,78.0,1.653814771719714,12655.476839356692
59,,,,,79.0,1.6633300861085962,12702.170947569297
60,,,,,80.0,1.6728454004974782,12748.865055781902
61,,,,,81.0,1.6823607148863602,12795.559163994505
62,,,,,82.0,1.6918760292752424,12842.25327220711
63,,,,,83.0,1.7013913436641244,12888.947380419715
64,,,,,84.0,1.7109066580530063,12935.64148863232
65,,,,,85.0,1.7204219724418883,12982.335596844925
66,,,,,86.0,1.7299372868307703,13029.029705057528
67,,,,,87.0,1.7394526012196525,13075.723813270133
68,,,,,88.0,1.7489679156085345,13122.417921482738
69,,,,,89.0,1.7584832299974165,13169.112029695341
70,,,,,90.0,1.7679985443862987,13215.806137907948
71,,,,,91.0,1.7775138587751806,13262.500246120551
72,,,,,92.0,1.7870291731640626,13309.194354333156
73,,,,,93.0,1.7965444875529446,13355.888462545761
74,,,,,94.0,1.8060598019418266,13402.582570758366
75,,,,,95.0,1.8155751163307088,13449.276678970971
76,,,,,96.0,1.8250904307195908,13495.970787183574
77,,,,,97.0,1.8346057451084727,13542.66489539618
78,,,,,98.0,1.844121059497355,13589.359003608784
79,,,,,99.0,1.853636373886237,13636.05311182139
80,,,,,100.0,1.863151688275119,13682.747220033994
81,,,,,101.0,1.8726670026640009,13729.441328246598
82,,,,,102.0,1.8821823170528829,13776.135436459204
83,,,,,103.0,1.891697631441765,13822.829544671808
84,,,,,104.0,1.901212945830647,13869.523652884413
85,,,,,105.0,1.910728260219529,13916.217761097018
86,,,,,106.0,1.920243574608411,13962.91186930962
87,,,,,107.0,1.9297588889972932,14009.605977522227
88,,,,,108.0,1.9392742033861752,14056.30008573483
89,,,,,109.0,1.9487895177750572,14102.994193947436
90,,,,,110.0,1.9583048321639394,14149.68830216004
91,,,,,111.0,1.9678201465528213,14196.382410372646
92,,,,,112.0,1.9773354609417033,14243.07651858525
93,,,,,113.0,1.9868507753305853,14289.770626797854
94,,,,,114.0,1.9963660897194673,14336.464735010459
95,,,,,115.0,2.0058814041083495,14383.158843223064
96,,,,,116.0,2.0153967184972315,14429.852951435669
97,,,,,117.0,2.0249120328861134,14476.547059648274
98,,,,,118.0,2.0344273472749954,14523.241167860877
99,,,,,119.0,2.043942661663878,14569.935276073484
100,,,,,120.0,2.0534579760527594,14616.629384286087
101,,,,,121.0,2.062973290441642,14663.323492498692
102,,,,,122.0,2.0724886048305233,14710.017600711297
103,,,,,123.0,2.0820039192194058,14756.7117089239
104,,,,,124.0,2.0915192336082877,14803.405817136507
105,,,,,125.0,2.1010345479971697,14850.09992534911
106,,,,,126.0,2.110549862386052,14896.794033561715
107,,,,,127.0,2.1200651767749337,14943.48814177432
108,,,,,128.0,2.129580491163816,14990.182249986923
109,,,,,129.0,2.1390958055526976,15036.87635819953
110,,,,,130.0,2.14861111994158,15083.570466412133
111,,,,,131.0,2.158126434330462,15130.264574624738
112,,,,,132.0,2.167641748719344,15176.958682837343
113,,,,,133.0,2.177157063108226,15223.652791049948
114,,,,,134.0,2.186672377497108,15270.346899262553
115,,,,,135.0,2.1961876918859904,15317.041007475156
116,,,,,136.0,2.205703006274872,15363.735115687761
117,,,,,137.0,2.2152183206637543,15410.429223900366
118,,,,,138.0,2.224733635052636,15457.12333211297
119,,,,,139.0,2.2342489494415183,15503.817440325576
120,,,,,140.0,2.2437642638304003,15550.511548538181
121,,,,,141.0,2.2532795782192823,15597.205656750786
122,,,,,142.0,2.2627948926081647,15643.89976496339
123,,,,,143.0,2.2723102069970462,15690.593873175994
124,,,,,144.0,2.2818255213859286,15737.2879813886
125,,,,,145.0,2.29134083577481,15783.982089601202
126,,,,,146.0,2.3008561501636926,15830.676197813807
127,,,,,147.0,2.3103714645525746,15877.370306026412
128,,,,,148.0,2.3198867789414566,15924.064414239016
129,,,,,149.0,2.3294020933303385,15970.758522451622
130,,,,,150.0,2.3389174077192205,16017.452630664227
131,,,,,151.0,2.348432722108103,16064.146738876832
132,,,,,152.0,2.3579480364969845,16110.840847089436
133,,,,,153.0,2.367463350885867,16157.53495530204
134,,,,,154.0,2.3769786652747484,16204.229063514646
135,,,,,155.0,2.386493979663631,16250.923171727249
136,,,,,156.0,2.396009294052513,16297.617279939856
137,,,,,157.0,2.405524608441395,16344.311388152459
138,,,,,158.0,2.4150399228302772,16391.005496365065
139,,,,,159.0,2.4245552372191588,16437.69960457767
140,,,,,160.0,2.434070551608041,16484.393712790275
141,,,,,161.0,2.4435858659969227,16531.08782100288
142,,,,,162.0,2.453101180385805,16577.78192921548
143,,,,,163.0,2.462616494774687,16624.47603742809
144,,,,,164.0,2.472131809163569,16671.17014564069
145,,,,,165.0,2.481647123552451,16717.864253853295
146,,,,,166.0,2.491162437941333,16764.5583620659
147,,,,,167.0,2.5006777523302155,16811.252470278505
148,,,,,168.0,2.510193066719097,16857.94657849111
149,,,,,169.0,2.5197083811079795,16904.640686703715
150,,,,,170.0,2.529223695496861,16951.33479491632
151,,,,,171.0,2.5387390098857434,16998.028903128925
152,,,,,172.0,2.5482543242746254,17044.723011341528
153,,,,,173.0,2.5577696386635074,17091.417119554135
154,,,,,174.0,2.56728495305239,17138.111227766738
155,,,,,175.0,2.5768002674412713,17184.80533597934
156,,,,,176.0,2.5863155818301538,17231.499444191948
157,,,,,177.0,2.5958308962190353,17278.193552404555
158,,,,,178.0,2.6053462106079177,17324.887660617154
159,,,,,179.0,2.6148615249967997,17371.58176882976
160,,,,,180.0,2.6243768393856817,17418.275877042368
161,,,,,181.0,2.6338921537745636,17464.96998525497
162,,,,,182.0,2.6434074681634456,17511.664093467574
163,,,,,183.0,2.652922782552328,17558.35820168018
164,,,,,184.0,2.6624380969412096,17605.052309892784
165,,,,,185.0,2.671953411330092,17651.746418105387
166,,,,,186.0,2.6814687257189735,17698.440526317994
167,,,,,187.0,2.690984040107856,17745.1346345306
168,,,,,188.0,2.700499354496738,17791.828742743204
169,,,,,189.0,2.71001466888562,17838.522850955807
170,,,,,190.0,2.7195299832745023,17885.216959168414
171,,,,,191.0,2.729045297663384,17931.911067381017
172,,,,,192.0,2.7385606120522663,17978.60517559362
173,,,,,193.0,2.748075926441148,18025.299283806227
174,,,,,194.0,2.7575912408300303,18071.99339201883
