,xg,yg,halfdyup,halfdylow
0,199.72078,188.55016753659962,20,20
1,200.72078,188.56322039288403,20,20
2,201.72078,188.57627324916845,20,20
3,202.72078,188.58932610545287,20,20
4,203.72078,188.6023789617373,20,20
5,204.72078,188.6154318180217,20,20
6,205.72078,188.62848467430612,20,20
7,206.72078,188.64153753059054,20,20
8,207.72078,188.65459038687496,20,20
9,208.72078,188.66764324315938,20,20
10,209.72078,188.6806960994438,20,20
11,210.72078,188.6937489557282,20,20
12,211.72078,188.7068018120126,20,20
13,212.72078,188.71985466829702,20,20
14,213.72078,188.73290752458144,20,20
15,214.72078,188.74596038086585,20,20
16,215.72078,188.75901323715027,20,20
17,216.72078,188.7720660934347,20,20
18,217.72078,188.7851189497191,20,20
19,218.72078,188.79817180600352,20,20
20,219.72078,188.81122466228794,20,20
21,220.72078,188.82427751857236,20,20
22,221.72078,188.83733037485678,20,20
23,222.72078,188.8503832311412,20,20
24,223.72078,188.8634360874256,20,20
25,224.72078,188.87648894371003,20,20
26,225.72078,188.88954179999445,20,20
27,226.72078,188.90259465627886,20,20
28,227.72078,188.91564751256328,20,20
29,228.72078,188.9287003688477,20,20
30,229.72078,188.94175322513212,20,20
31,230.72078,188.95480608141654,20,20
32,231.72078,188.96785893770095,20,20
33,232.72078,188.98091179398537,20,20
34,233.72078,188.99396465026976,20,20
35,234.72078,189.00701750655418,20,20
36,235.72078,189.0200703628386,20,20
37,236.72078,189.033123219123,20,20
38,237.72078,189.04617607540743,20,20
39,238.72078,189.05922893169185,20,20
40,239.72078,189.07228178797627,20,20
41,240.72078,189.08533464426068,20,20
42,241.72078,189.0983875005451,20,20
43,242.72078,189.11144035682952,20,20
44,243.72078,189.12449321311394,20,20
45,244.72078,189.13754606939835,20,20
46,245.72078,189.15059892568277,20,20
47,246.72078,189.1636517819672,20,20
48,247.72078,189.1767046382516,20,20
49,248.72078,189.18975749453602,20,20
50,249.72078,189.20281035082044,20,20
51,250.72078,189.21586320710486,20,20
52,251.72078,189.22891606338928,20,20
53,252.72078,189.2419689196737,20,20
54,253.72078,189.2550217759581,20,20
55,254.72078,189.2680746322425,20,20
56,255.72078,189.28112748852692,20,20
57,256.72078,189.29418034481134,20,20
58,257.72078,189.30723320109576,20,20
59,258.72078,189.32028605738017,20,20
60,259.72078,189.3333389136646,20,20
61,260.72078,189.346391769949,20,20
62,261.72078,189.35944462623343,20,20
63,262.72078,189.37249748251784,20,20
64,263.72078,189.38555033880226,20,20
65,264.72078,189.39860319508668,20,20
66,265.72078,189.4116560513711,20,20
67,266.72078,189.4247089076555,20,20
68,267.72078,189.43776176393993,20,20
69,268.72078,189.45081462022435,20,20
70,269.72078,189.46386747650877,20,20
71,270.72078,189.47692033279318,20,20
72,271.72078,189.4899731890776,20,20
73,272.72078,189.50302604536202,20,20
74,273.72078,189.51607890164644,20,20
