,xg,yg,halfdyup,halfdylow
0,366.60372,551.8007364919249,10,10
1,367.60372,551.8139858964429,10,10
2,368.60372,551.827235300961,10,10
3,369.60372,551.840484705479,10,10
4,370.60372,551.8537341099969,10,10
5,371.60372,551.8669835145149,10,10
6,372.60372,551.8802329190329,10,10
7,373.60372,551.8934823235509,10,10
8,374.60372,551.9067317280688,10,10
9,375.60372,551.9199811325868,10,10
10,376.60372,551.9332305371048,10,10
11,377.60372,551.9464799416228,10,10
12,378.60372,551.9597293461408,10,10
13,379.60372,551.9729787506587,10,10
14,380.60372,551.9862281551767,10,10
15,381.60372,551.9994775596947,10,10
16,382.60372,552.0127269642127,10,10
17,383.60372,552.0259763687308,10,10
18,384.60372,552.0392257732487,10,10
19,385.60372,552.0524751777667,10,10
20,386.60372,552.0657245822847,10,10
21,387.60372,552.0789739868027,10,10
22,388.60372,552.0922233913207,10,10
23,389.60372,552.1054727958386,10,10
24,390.60372,552.1187222003566,10,10
25,391.60372,552.1319716048746,10,10
26,392.60372,552.1452210093926,10,10
27,393.60372,552.1584704139105,10,10
28,394.60372,552.1717198184285,10,10
29,395.60372,552.1849692229465,10,10
30,396.60372,552.1982186274645,10,10
31,397.60372,552.2114680319825,10,10
32,398.60372,552.2247174365004,10,10
33,399.60372,552.2379668410185,10,10
34,400.60372,552.2512162455365,10,10
35,401.60372,552.2644656500545,10,10
36,402.60372,552.2777150545725,10,10
37,403.60372,552.2909644590904,10,10
38,404.60372,552.3042138636084,10,10
39,405.60372,552.3174632681264,10,10
40,406.60372,552.3307126726444,10,10
41,407.60372,552.3439620771624,10,10
42,408.60372,552.3572114816803,10,10
43,409.60372,552.3704608861983,10,10
44,410.60372,552.3837102907163,10,10
45,411.60372,552.3969596952343,10,10
46,412.60372,552.4102090997523,10,10
47,413.60372,552.4234585042702,10,10
48,414.60372,552.4367079087882,10,10
49,415.60372,552.4499573133063,10,10
50,416.60372,552.4632067178243,10,10
51,417.60372,552.4764561223423,10,10
52,418.60372,552.4897055268602,10,10
53,419.60372,552.5029549313782,10,10
54,420.60372,552.5162043358962,10,10
55,421.60372,552.5294537404142,10,10
56,422.60372,552.5427031449321,10,10
57,423.60372,552.5559525494501,10,10
58,424.60372,552.5692019539681,10,10
59,425.60372,552.5824513584861,10,10
60,426.60372,552.5957007630041,10,10
61,427.60372,552.608950167522,10,10
62,428.60372,552.62219957204,10,10
63,429.60372,552.635448976558,10,10
64,430.60372,552.6486983810761,10,10
65,431.60372,552.6619477855941,10,10
66,432.60372,552.675197190112,10,10
67,433.60372,552.68844659463,10,10
68,434.60372,552.701695999148,10,10
69,435.60372,552.714945403666,10,10
70,436.60372,552.728194808184,10,10
71,437.60372,552.7414442127019,10,10
72,438.60372,552.7546936172199,10,10
73,439.60372,552.7679430217379,10,10
74,440.60372,552.7811924262559,10,10
75,441.60372,552.7944418307738,10,10
76,442.60372,552.8076912352918,10,10
77,443.60372,552.8209406398098,10,10
78,444.60372,552.8341900443278,10,10
79,445.60372,552.8474394488458,10,10
80,446.60372,552.8606888533639,10,10
81,447.60372,552.8739382578818,10,10
82,448.60372,552.8871876623998,10,10
83,449.60372,552.9004370669178,10,10
84,450.60372,552.9136864714358,10,10
85,451.60372,552.9269358759537,10,10
86,452.60372,552.9401852804717,10,10
87,453.60372,552.9534346849897,10,10
88,454.60372,552.9666840895077,10,10
89,455.60372,552.9799334940257,10,10
90,456.60372,552.9931828985436,10,10
91,457.60372,553.0064323030616,10,10
92,458.60372,553.0196817075796,10,10
93,459.60372,553.0329311120976,10,10
94,460.60372,553.0461805166156,10,10
95,461.60372,553.0594299211336,10,10
96,462.60372,553.0726793256516,10,10
97,463.60372,553.0859287301696,10,10
98,464.60372,553.0991781346876,10,10
99,465.60372,553.1124275392056,10,10
100,466.60372,553.1256769437235,10,10
