,xg,yg,halfdyup,halfdylow
0,366.04475,176.5793345894651,10,10
1,367.04475,176.59163878150943,10,10
2,368.04475,176.60394297355376,10,10
3,369.04475,176.61624716559808,10,10
4,370.04475,176.6285513576424,10,10
5,371.04475,176.64085554968673,10,10
6,372.04475,176.65315974173106,10,10
7,373.04475,176.66546393377536,10,10
8,374.04475,176.67776812581968,10,10
9,375.04475,176.690072317864,10,10
10,376.04475,176.70237650990833,10,10
11,377.04475,176.71468070195266,10,10
12,378.04475,176.72698489399698,10,10
13,379.04475,176.7392890860413,10,10
14,380.04475,176.75159327808564,10,10
15,381.04475,176.76389747012996,10,10
16,382.04475,176.7762016621743,10,10
17,383.04475,176.7885058542186,10,10
18,384.04475,176.80081004626294,10,10
19,385.04475,176.81311423830726,10,10
20,386.04475,176.8254184303516,10,10
21,387.04475,176.8377226223959,10,10
22,388.04475,176.8500268144402,10,10
23,389.04475,176.86233100648454,10,10
24,390.04475,176.87463519852886,10,10
25,391.04475,176.8869393905732,10,10
26,392.04475,176.89924358261752,10,10
27,393.04475,176.91154777466184,10,10
28,394.04475,176.92385196670617,10,10
29,395.04475,176.9361561587505,10,10
30,396.04475,176.94846035079482,10,10
31,397.04475,176.96076454283914,10,10
32,398.04475,176.97306873488347,10,10
33,399.04475,176.9853729269278,10,10
34,400.04475,176.99767711897212,10,10
35,401.04475,177.00998131101642,10,10
36,402.04475,177.02228550306074,10,10
37,403.04475,177.03458969510507,10,10
38,404.04475,177.0468938871494,10,10
39,405.04475,177.05919807919372,10,10
40,406.04475,177.07150227123805,10,10
41,407.04475,177.08380646328237,10,10
42,408.04475,177.0961106553267,10,10
43,409.04475,177.10841484737102,10,10
44,410.04475,177.12071903941535,10,10
45,411.04475,177.13302323145967,10,10
46,412.04475,177.145327423504,10,10
47,413.04475,177.15763161554833,10,10
48,414.04475,177.16993580759265,10,10
49,415.04475,177.18223999963698,10,10
50,416.04475,177.19454419168127,10,10
51,417.04475,177.2068483837256,10,10
52,418.04475,177.21915257576993,10,10
53,419.04475,177.23145676781425,10,10
54,420.04475,177.24376095985858,10,10
55,421.04475,177.2560651519029,10,10
56,422.04475,177.26836934394723,10,10
57,423.04475,177.28067353599155,10,10
58,424.04475,177.29297772803588,10,10
59,425.04475,177.3052819200802,10,10
60,426.04475,177.31758611212453,10,10
61,427.04475,177.32989030416886,10,10
62,428.04475,177.34219449621318,10,10
63,429.04475,177.3544986882575,10,10
64,430.04475,177.3668028803018,10,10
65,431.04475,177.37910707234613,10,10
66,432.04475,177.39141126439046,10,10
67,433.04475,177.40371545643478,10,10
68,434.04475,177.4160196484791,10,10
69,435.04475,177.42832384052343,10,10
70,436.04475,177.44062803256776,10,10
71,437.04475,177.45293222461208,10,10
72,438.04475,177.4652364166564,10,10
73,439.04475,177.47754060870074,10,10
74,440.04475,177.48984480074506,10,10
75,441.04475,177.5021489927894,10,10
76,442.04475,177.5144531848337,10,10
77,443.04475,177.52675737687804,10,10
78,444.04475,177.53906156892234,10,10
79,445.04475,177.55136576096666,10,10
80,446.04475,177.563669953011,10,10
