,index,filepath,sci_ext_num,ROOTNAME,DATE-OBS,FILTER,PA_V3,SUBARRAY,POSTARG1,POSTARG2,EXPSTART,EXPTIME,IDCSCALE,ORIENTAT
14,14,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01yzq/icqw01yzq_flt.fits,1,icqw01yzq,2015-01-02,F098M,265.739105,False,-20.0,0.0,57024.00219132,5.864582,0.1282500028610229,-49.60730010658307
21,21,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01z1q/icqw01z1q_flt.fits,1,icqw01z1q,2015-01-02,G102,265.739105,False,-20.0,0.0,57024.00294355,102.934334,0.1282500028610229,-49.57042645168922
17,17,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01z2q/icqw01z2q_flt.fits,1,icqw01z2q,2015-01-02,F098M,265.735504,False,-90.0,0.0,57024.0052354,5.864582,0.1282500028610229,-49.67139120471303
10,10,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01z4q/icqw01z4q_flt.fits,1,icqw01z4q,2015-01-02,G102,265.735504,False,-90.0,0.0,57024.00598762,102.934334,0.1282500028610229,-49.5740411091907
2,2,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zhq/icqw01zhq_flt.fits,1,icqw01zhq,2015-01-02,F098M,265.73349,False,-71.0,-50.0,57024.03919355,5.864582,0.1282500028610229,-49.61447031923706
23,23,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zjq/icqw01zjq_flt.fits,1,icqw01zjq,2015-01-02,G102,265.73349,False,-71.0,-50.0,57024.03994577,102.934334,0.1282500028610229,-49.57608813342848
4,4,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zpq/icqw01zpq_flt.fits,1,icqw01zpq,2015-01-02,F098M,265.734406,False,-71.0,-35.0,57024.06290873,5.864582,0.1282500028610229,-49.62126785937291
18,18,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zrq/icqw01zrq_flt.fits,1,icqw01zrq,2015-01-02,G102,265.734406,False,-71.0,-35.0,57024.06366132,102.934334,0.1282500028610229,-49.57512934144987
12,12,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01ztq/icqw01ztq_flt.fits,1,icqw01ztq,2015-01-02,F098M,265.735901,False,-71.0,-10.0,57024.0657791,5.864582,0.1282500028610229,-49.57367197377429
16,16,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zvq/icqw01zvq_flt.fits,1,icqw01zvq,2015-01-02,G102,265.735901,False,-71.0,-10.0,57024.06653169,102.934334,0.1282500028610229,-49.57367197377429
8,8,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zwq/icqw01zwq_flt.fits,1,icqw01zwq,2015-01-02,F098M,265.736511,False,-71.0,0.0,57024.06855688,5.864582,0.1282500028610229,-49.61651597779737
6,6,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01zyq/icqw01zyq_flt.fits,1,icqw01zyq,2015-01-02,G102,265.736511,False,-71.0,0.0,57024.06930947,102.934334,0.1282500028610229,-49.57295287820619
11,11,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01asq/icqw01asq_flt.fits,1,icqw01asq,2015-01-02,F098M,265.737091,False,-71.0,10.0,57024.10554762,5.864582,0.1282500028610229,-49.6392901819219
19,19,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01auq/icqw01auq_flt.fits,1,icqw01auq,2015-01-02,G102,265.737091,False,-71.0,10.0,57024.10630021,102.934334,0.1282500028610229,-49.57247348035872
3,3,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01awq/icqw01awq_flt.fits,1,icqw01awq,2015-01-02,F098M,265.738586,False,-71.0,35.0,57024.10841799,5.864582,0.1282500028610229,-49.61206167469951
9,9,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01ayq/icqw01ayq_flt.fits,1,icqw01ayq,2015-01-02,G102,265.738586,False,-71.0,35.0,57024.10917058,102.934334,0.1282500028610229,-49.57090585126657
7,7,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01azq/icqw01azq_flt.fits,1,icqw01azq,2015-01-02,F098M,265.739502,False,-71.0,50.0,57024.11124206,5.864582,0.1282500028610229,-49.61427886776436
22,22,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01b1q/icqw01b1q_flt.fits,1,icqw01b1q,2015-01-02,G102,265.739502,False,-71.0,50.0,57024.11199466,102.934334,0.1282500028610229,-49.57005732171183
0,0,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01b3q/icqw01b3q_flt.fits,1,icqw01b3q,2015-01-02,F098M,265.734314,False,-55.0,-50.0,57024.13221429,5.864582,0.1282500028610229,-49.6215158890286
15,15,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01b5q/icqw01b5q_flt.fits,1,icqw01b5q,2015-01-02,G102,265.734314,False,-55.0,-50.0,57024.13296688,102.934334,0.1282500028610229,-49.57523959988279
13,13,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01b7q/icqw01b7q_flt.fits,1,icqw01b7q,2015-01-02,F098M,265.737305,False,-55.0,0.0,57024.13520058,5.864582,0.1282500028610229,-49.60372728457679
1,1,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01b9q/icqw01b9q_flt.fits,1,icqw01b9q,2015-01-02,G102,265.737305,False,-55.0,0.0,57024.1359528,102.934334,0.1282500028610229,-49.57223378119439
5,5,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01baq/icqw01baq_flt.fits,1,icqw01baq,2015-01-02,F098M,265.740387,False,-55.0,50.0,57024.13818651,5.864582,0.1282500028610229,-49.61110041184646
20,20,/Users/kbhirombhakdi/_work/_data/14024/mastDownload/HST/icqw01bcq/icqw01bcq_flt.fits,1,icqw01bcq,2015-01-02,G102,265.740387,False,-55.0,50.0,57024.1389391,102.934334,0.1282500028610229,-49.56909852166429
